Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Siena Saints,.481,.382,.689,11.470588235294118,22.294117647058822,14.382352941176471,9.411764705882353,3.5,11.323529411764707,15.470588235294118,2
South Alabama Jaguars,.531,.362,.704,12.242424242424242,24.757575757575758,15.424242424242424,6.090909090909091,3.0303030303030303,13.848484848484848,17.242424242424242,1
Stanford Cardinal,.480,.366,.694,13.277777777777779,25.86111111111111,14.583333333333334,4.388888888888889,5.194444444444445,12.277777777777779,17.02777777777778,3
Temple Owls,.533,.369,.740,8.882352941176471,23.705882352941178,15.0,6.294117647058823,4.352941176470588,12.705882352941176,17.676470588235293,1
Tennessee Volunteers,.523,.357,.659,13.916666666666666,23.805555555555557,17.694444444444443,9.277777777777779,3.3055555555555554,13.166666666666666,20.805555555555557,3
Texas A&M Aggies,.514,.359,.633,11.777777777777779,27.166666666666668,13.5,4.388888888888889,4.027777777777778,12.722222222222221,16.97222222222222,2
Texas Longhorns,.487,.386,.683,13.052631578947368,25.05263157894737,13.18421052631579,6.0,5.2105263157894735,9.447368421052632,16.55263157894737,4
UCLA Bruins,.525,.350,.732,12.615384615384615,24.102564102564102,14.41025641025641,7.3076923076923075,4.282051282051282,12.58974358974359,14.58974358974359,5
UConn Huskies,.495,.361,.720,13.606060606060606,28.303030303030305,14.787878787878787,5.7272727272727275,8.636363636363637,13.666666666666666,15.333333333333334,1
UMBC Retrievers,.481,.389,.725,11.242424242424242,22.87878787878788,15.151515151515152,6.333333333333333,3.4545454545454546,9.636363636363637,16.272727272727273,1
UNLV Rebels,.482,.332,.747,10.17142857142857,24.37142857142857,14.571428571428571,7.942857142857143,3.0285714285714285,10.82857142857143,17.285714285714285,2
USC Trojans,.515,.387,.685,9.242424242424242,24.272727272727273,12.393939393939394,5.696969696969697,4.393939393939394,14.606060606060606,16.060606060606062,1
UT-Martin Skyhawks,.514,.344,.690,13.06060606060606,24.12121212121212,13.969696969696969,7.181818181818182,2.393939393939394,13.848484848484848,16.96969696969697,1
Vanderbilt Commodores,.506,.399,.735,10.558823529411764,24.647058823529413,17.823529411764707,6.088235294117647,3.4705882352941178,14.529411764705882,18.323529411764707,1
Villanova Wildcats,.478,.344,.727,13.057142857142857,22.857142857142858,13.314285714285715,8.085714285714285,2.8,14.371428571428572,20.771428571428572,3
Washington State Cougars,.530,.368,.728,7.828571428571428,22.0,13.771428571428572,6.228571428571429,2.914285714285714,10.228571428571428,15.257142857142858,3
West Virginia Mountaineers,.504,.355,.689,12.243243243243244,23.756756756756758,15.432432432432432,6.945945945945946,5.081081081081081,11.162162162162161,19.18918918918919,3
Western Kentucky Hilltoppers,.510,.393,.701,12.63888888888889,22.416666666666668,12.722222222222221,8.0,3.75,14.277777777777779,21.333333333333332,3
Winthrop Eagles,.471,.370,.591,11.558823529411764,23.58823529411765,12.794117647058824,8.352941176470589,3.6470588235294117,12.911764705882353,17.38235294117647,1
Wisconsin Badgers,.493,.356,.705,11.63888888888889,24.25,12.63888888888889,6.138888888888889,3.3333333333333335,12.166666666666666,14.36111111111111,3
Xavier Musketeers,.522,.391,.749,11.135135135135135,24.594594594594593,15.243243243243244,5.5675675675675675,3.3783783783783785,12.972972972972974,17.37837837837838,4
