Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Arizona Wildcats,.515,.390,.765,10.27027027027027,26.43243243243243,13.54054054054054,5.4324324324324325,3.2162162162162162,11.162162162162161,16.89189189189189,3
Arkansas Razorbacks,.500,.365,.761,11.13888888888889,24.916666666666668,13.805555555555555,7.722222222222222,4.722222222222222,11.88888888888889,20.52777777777778,2
Baylor Bears,.525,.359,.723,12.885714285714286,25.085714285714285,15.542857142857143,5.142857142857143,4.742857142857143,13.4,17.62857142857143,3
Bucknell Bison,.543,.379,.681,8.628571428571428,25.742857142857144,14.571428571428571,7.2,3.8285714285714287,13.314285714285715,18.714285714285715,1
Butler Bulldogs,.545,.366,.741,8.441176470588236,23.647058823529413,13.323529411764707,6.0588235294117645,2.823529411764706,10.176470588235293,18.823529411764707,3
Cincinnati Bearcats,.521,.346,.686,12.13888888888889,24.75,15.472222222222221,7.25,4.805555555555555,10.027777777777779,15.722222222222221,2
Creighton Bluejays,.565,.397,.682,8.257142857142858,26.685714285714287,17.085714285714285,6.085714285714285,2.914285714285714,12.428571428571429,16.62857142857143,1
Dayton Flyers,.515,.385,.690,8.65625,25.625,15.625,7.78125,4.0,11.75,18.78125,1
Duke Blue Devils,.536,.378,.762,10.54054054054054,25.7027027027027,13.08108108108108,6.108108108108108,4.648648648648648,11.378378378378379,18.243243243243242,2
Florida Gators,.503,.358,.729,11.555555555555555,25.416666666666668,12.5,7.555555555555555,4.638888888888889,11.972222222222221,18.36111111111111,4
Florida Gulf Coast Eagles,.569,.347,.702,11.147058823529411,26.176470588235293,15.5,6.088235294117647,3.411764705882353,12.382352941176471,18.676470588235293,1
Florida State Seminoles,.544,.347,.689,11.685714285714285,26.142857142857142,14.6,7.4,5.142857142857143,11.857142857142858,19.542857142857144,2
Gonzaga Bulldogs,.564,.382,.717,9.692307692307692,31.0,15.256410256410257,6.794871794871795,4.6923076923076925,11.487179487179487,16.923076923076923,6
Iona Gaels,.493,.397,.768,9.628571428571428,26.085714285714285,15.457142857142857,6.828571428571428,3.085714285714286,12.028571428571428,19.114285714285714,1
Iowa State Cyclones,.518,.400,.700,9.085714285714285,25.742857142857144,15.8,7.771428571428571,3.5428571428571427,10.142857142857142,15.914285714285715,2
Jacksonville State Gamecocks,.506,.377,.714,10.142857142857142,25.4,14.085714285714285,4.485714285714286,3.8285714285714287,13.628571428571428,17.942857142857143,1
Kansas Jayhawks,.536,.404,.678,11.88888888888889,26.805555555555557,16.22222222222222,6.944444444444445,4.5,12.666666666666666,17.75,4
Kansas State Wildcats,.518,.362,.694,9.428571428571429,22.914285714285715,14.885714285714286,7.742857142857143,3.7142857142857144,12.942857142857143,18.0,1
Kent State Golden Flashes,.486,.320,.719,14.972222222222221,25.416666666666668,12.472222222222221,6.388888888888889,3.7222222222222223,12.916666666666666,19.02777777777778,1
Kentucky Wildcats,.529,.353,.704,12.368421052631579,27.42105263157895,15.394736842105264,6.026315789473684,5.2631578947368425,11.657894736842104,18.842105263157894,4
Louisville Cardinals,.505,.355,.686,13.441176470588236,26.058823529411764,13.558823529411764,6.676470588235294,5.470588235294118,11.0,19.176470588235293,2
Marquette Golden Eagles,.528,.429,.781,8.75,24.3125,16.40625,7.21875,3.59375,12.375,19.375,1
Maryland Terrapins,.512,.359,.699,10.636363636363637,24.90909090909091,14.303030303030303,5.454545454545454,4.666666666666667,12.909090909090908,18.575757575757574,1
Miami (OH) RedHawks,.503,.308,.691,9.3125,24.78125,11.375,7.4375,3.90625,14.59375,20.0625,1
