TEAM,POSTSEASON,YEAR
Texas Tech,Round_Of_2,1
Virginia,Round_Of_1,1
Duke,Round_Of_8,1
Purdue,Round_Of_8,1
Kentucky,Round_Of_8,1
Gonzaga,Round_Of_8,1
Michigan St.,Round_Of_4,1
Auburn,Round_Of_4,1
UCF,Round_Of_32,1
Iowa,Round_Of_32,1
Maryland,Round_Of_32,1
Minnesota,Round_Of_32,1
Ohio St.,Round_Of_32,1
Baylor,Round_Of_32,1
Kansas,Round_Of_32,1
Oklahoma,Round_Of_32,1
Villanova,Round_Of_32,1
Liberty,Round_Of_32,1
UC Irvine,Round_Of_32,1
Buffalo,Round_Of_32,1
Murray St.,Round_Of_32,1
Washington,Round_Of_32,1
Wofford,Round_Of_32,1
Florida,Round_Of_32,1
Saint Louis,Round_Of_64,1
VCU,Round_Of_64,1
Louisville,Round_Of_64,1
Syracuse,Round_Of_64,1
Vermont,Round_Of_64,1
Cincinnati,Round_Of_64,1
Wisconsin,Round_Of_64,1
Iowa St.,Round_Of_64,1
Kansas St.,Round_Of_64,1
Marquette,Round_Of_64,1
Seton Hall,Round_Of_64,1
Montana,Round_Of_64,1
Gardner Webb,Round_Of_64,1
Northeastern,Round_Of_64,1
Old Dominion,Round_Of_64,1
Northern Kentucky,Round_Of_64,1
Yale,Round_Of_64,1
Iona,Round_Of_64,1
Bradley,Round_Of_64,1
Nevada,Round_Of_64,1
Utah St.,Round_Of_64,1
Fairleigh Dickinson,Round_Of_64,1
Belmont,Round_Of_64,1
Arizona St.,Round_Of_64,1
Colgate,Round_Of_64,1
Georgia St.,Round_Of_64,1
Mississippi,Round_Of_64,1
Mississippi St.,Round_Of_64,1
Abilene Christian,Round_Of_64,1
North Dakota St.,Round_Of_64,1
New Mexico St.,Round_Of_64,1
Saint Mary's,Round_Of_64,1
Temple,Round_Of_68,1
St. John's,Round_Of_68,1
North Carolina Central,Round_Of_68,1
Prairie View A&M,Round_Of_68,1
Florida St.,Round_Of_16,1
North Carolina,Round_Of_16,1
Virginia Tech,Round_Of_16,1
Houston,Round_Of_16,1
Michigan,Round_Of_16,1
Oregon,Round_Of_16,1
LSU,Round_Of_16,1
Tennessee,Round_Of_16,1
