TEAM,POSTSEASON,YEAR
Wisconsin,Round_Of_2,1
Duke,Round_Of_1,1
Louisville,Round_Of_8,1
Notre Dame,Round_Of_8,1
Arizona,Round_Of_8,1
Gonzaga,Round_Of_8,1
Michigan St.,Round_Of_4,1
Kentucky,Round_Of_4,1
Dayton,Round_Of_32,1
Virginia,Round_Of_32,1
Cincinnati,Round_Of_32,1
Iowa,Round_Of_32,1
Maryland,Round_Of_32,1
Ohio St.,Round_Of_32,1
Kansas,Round_Of_32,1
Butler,Round_Of_32,1
Georgetown,Round_Of_32,1
Villanova,Round_Of_32,1
UAB,Round_Of_32,1
Northern Iowa,Round_Of_32,1
San Diego St.,Round_Of_32,1
Oregon,Round_Of_32,1
Georgia St.,Round_Of_32,1
Arkansas,Round_Of_32,1
Davidson,Round_Of_64,1
VCU,Round_Of_64,1
Albany,Round_Of_64,1
SMU,Round_Of_64,1
Indiana,Round_Of_64,1
Purdue,Round_Of_64,1
Baylor,Round_Of_64,1
Iowa St.,Round_Of_64,1
Oklahoma St.,Round_Of_64,1
Texas,Round_Of_64,1
Providence,Round_Of_64,1
St. John's,Round_Of_64,1
Eastern Washington,Round_Of_64,1
Coastal Carolina,Round_Of_64,1
UC Irvine,Round_Of_64,1
Northeastern,Round_Of_64,1
Valparaiso,Round_Of_64,1
Harvard,Round_Of_64,1
Buffalo,Round_Of_64,1
Hampton,Round_Of_64,1
Wyoming,Round_Of_64,1
Robert Morris,Round_Of_64,1
Belmont,Round_Of_64,1
Lafayette,Round_Of_64,1
Wofford,Round_Of_64,1
Georgia,Round_Of_64,1
LSU,Round_Of_64,1
Mississippi,Round_Of_64,1
Stephen F. Austin,Round_Of_64,1
North Dakota St.,Round_Of_64,1
Texas Southern,Round_Of_64,1
New Mexico St.,Round_Of_64,1
North Florida,Round_Of_68,1
Manhattan,Round_Of_68,1
Boise St.,Round_Of_68,1
BYU,Round_Of_68,1
North Carolina,Round_Of_16,1
North Carolina St.,Round_Of_16,1
Oklahoma,Round_Of_16,1
West Virginia,Round_Of_16,1
Xavier,Round_Of_16,1
Wichita St.,Round_Of_16,1
UCLA,Round_Of_16,1
Utah,Round_Of_16,1
