TEAM,POSTSEASON,YEAR
North Carolina,Round_Of_2,1
Villanova,Round_Of_1,1
Notre Dame,Round_Of_8,1
Virginia,Round_Of_8,1
Kansas,Round_Of_8,1
Oregon,Round_Of_8,1
Syracuse,Round_Of_4,1
Oklahoma,Round_Of_4,1
Saint Joseph's,Round_Of_32,1
VCU,Round_Of_32,1
Connecticut,Round_Of_32,1
Iowa,Round_Of_32,1
Butler,Round_Of_32,1
Providence,Round_Of_32,1
Xavier,Round_Of_32,1
Hawaii,Round_Of_32,1
Middle Tennessee,Round_Of_32,1
Yale,Round_Of_32,1
Northern Iowa,Round_Of_32,1
Wichita St.,Round_Of_32,1
Utah,Round_Of_32,1
Arkansas Little Rock,Round_Of_32,1
Kentucky,Round_Of_32,1
Stephen F. Austin,Round_Of_32,1
Dayton,Round_Of_64,1
Pittsburgh,Round_Of_64,1
Stony Brook,Round_Of_64,1
Cincinnati,Round_Of_64,1
Temple,Round_Of_64,1
Florida Gulf Coast,Round_Of_64,1
Michigan,Round_Of_64,1
Michigan St.,Round_Of_64,1
Purdue,Round_Of_64,1
Baylor,Round_Of_64,1
Texas,Round_Of_64,1
Texas Tech,Round_Of_64,1
West Virginia,Round_Of_64,1
Seton Hall,Round_Of_64,1
Weber St.,Round_Of_64,1
UNC Asheville,Round_Of_64,1
UNC Wilmington,Round_Of_64,1
Green Bay,Round_Of_64,1
Iona,Round_Of_64,1
Buffalo,Round_Of_64,1
Hampton,Round_Of_64,1
Fresno St.,Round_Of_64,1
Austin Peay,Round_Of_64,1
Arizona,Round_Of_64,1
California,Round_Of_64,1
Colorado,Round_Of_64,1
Oregon St.,Round_Of_64,1
USC,Round_Of_64,1
Holy Cross,Round_Of_64,1
Chattanooga,Round_Of_64,1
South Dakota St.,Round_Of_64,1
Cal St. Bakersfield,Round_Of_64,1
Tulsa,Round_Of_68,1
Fairleigh Dickinson,Round_Of_68,1
Vanderbilt,Round_Of_68,1
Southern,Round_Of_68,1
Duke,Round_Of_16,1
Miami FL,Round_Of_16,1
Indiana,Round_Of_16,1
Maryland,Round_Of_16,1
Wisconsin,Round_Of_16,1
Iowa St.,Round_Of_16,1
Texas A&M,Round_Of_16,1
Gonzaga,Round_Of_16,1
