TEAM,POSTSEASON,YEAR
Michigan,Round_Of_2,1
Villanova,Round_Of_1,1
Duke,Round_Of_8,1
Florida St.,Round_Of_8,1
Kansas St.,Round_Of_8,1
Texas Tech,Round_Of_8,1
Kansas,Round_Of_4,1
Loyola Chicago,Round_Of_4,1
Rhode Island,Round_Of_32,1
North Carolina,Round_Of_32,1
UMBC,Round_Of_32,1
Cincinnati,Round_Of_32,1
Houston,Round_Of_32,1
Michigan St.,Round_Of_32,1
Ohio St.,Round_Of_32,1
Butler,Round_Of_32,1
Seton Hall,Round_Of_32,1
Xavier,Round_Of_32,1
Marshall,Round_Of_32,1
Buffalo,Round_Of_32,1
Alabama,Round_Of_32,1
Auburn,Round_Of_32,1
Florida,Round_Of_32,1
Tennessee,Round_Of_32,1
Davidson,Round_Of_64,1
St. Bonaventure,Round_Of_64,1
Miami FL,Round_Of_64,1
North Carolina St.,Round_Of_64,1
Virginia,Round_Of_64,1
Virginia Tech,Round_Of_64,1
Wichita St.,Round_Of_64,1
Lipscomb,Round_Of_64,1
Oklahoma,Round_Of_64,1
TCU,Round_Of_64,1
Texas,Round_Of_64,1
Creighton,Round_Of_64,1
Providence,Round_Of_64,1
Montana,Round_Of_64,1
Radford,Round_Of_64,1
Cal St. Fullerton,Round_Of_64,1
College of Charleston,Round_Of_64,1
Wright St.,Round_Of_64,1
Penn,Round_Of_64,1
Iona,Round_Of_64,1
San Diego St.,Round_Of_64,1
Murray St.,Round_Of_64,1
Arizona,Round_Of_64,1
Bucknell,Round_Of_64,1
Georgia St.,Round_Of_64,1
UNC Greensboro,Round_Of_64,1
Arkansas,Round_Of_64,1
Missouri,Round_Of_64,1
Stephen F. Austin,Round_Of_64,1
South Dakota St.,Round_Of_64,1
Texas Southern,Round_Of_64,1
New Mexico St.,Round_Of_64,1
North Carolina Central,Round_Of_68,1
LIU Brooklyn,Round_Of_68,1
Arizona St.,Round_Of_68,1
UCLA,Round_Of_68,1
Clemson,Round_Of_16,1
Syracuse,Round_Of_16,1
Purdue,Round_Of_16,1
West Virginia,Round_Of_16,1
Nevada,Round_Of_16,1
Kentucky,Round_Of_16,1
Texas A&M,Round_Of_16,1
Gonzaga,Round_Of_16,1
