Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Notre Dame Fighting Irish,.493,.332,.704,10.147058823529411,20.735294117647058,14.617647058823529,5.205882352941177,3.3529411764705883,10.058823529411764,13.823529411764707,1
Ohio Bobcats,.480,.344,.690,12.18918918918919,18.513513513513512,13.18918918918919,9.378378378378379,2.7837837837837838,13.0,19.54054054054054,3
Ohio State Buckeyes,.529,.334,.709,11.461538461538462,23.025641025641026,14.564102564102564,7.205128205128205,3.2051282051282053,11.512820512820513,16.153846153846153,5
Purdue Boilermakers,.478,.377,.656,11.17142857142857,18.514285714285716,13.428571428571429,6.457142857142857,3.142857142857143,8.742857142857142,17.714285714285715,2
Saint Louis Billikens,.501,.359,.720,10.176470588235293,19.058823529411764,13.5,6.9411764705882355,2.911764705882353,11.235294117647058,16.735294117647058,2
Saint Mary's Gaels,.557,.344,.729,11.454545454545455,23.454545454545453,15.757575757575758,6.878787878787879,3.090909090909091,11.606060606060606,15.969696969696969,1
San Diego State Aztecs,.503,.341,.701,10.588235294117647,23.323529411764707,12.264705882352942,5.5588235294117645,2.323529411764706,12.529411764705882,15.970588235294118,1
South Florida Bulls,.490,.316,.705,10.38888888888889,20.583333333333332,11.75,5.555555555555555,3.8055555555555554,13.472222222222221,15.333333333333334,2
Southern Miss Golden Eagles,.440,.358,.736,13.852941176470589,19.470588235294116,11.0,6.029411764705882,2.8823529411764706,11.088235294117647,19.147058823529413,1
St. Bonaventure Bonnies,.504,.345,.761,11.0,21.4375,13.875,5.8125,4.15625,13.71875,18.5,1
Syracuse Orange,.519,.349,.698,12.405405405405405,19.513513513513512,15.243243243243244,9.135135135135135,6.891891891891892,10.513513513513514,15.513513513513514,4
Temple Owls,.502,.397,.719,10.40625,21.4375,15.40625,7.1875,4.1875,12.53125,17.71875,1
Texas Longhorns,.482,.328,.733,13.323529411764707,19.558823529411764,12.323529411764707,6.794117647058823,3.676470588235294,12.529411764705882,19.38235294117647,1
UConn Huskies,.501,.332,.662,12.205882352941176,21.647058823529413,13.441176470588236,5.852941176470588,6.852941176470588,12.294117647058824,14.470588235294118,1
UNC Asheville Bulldogs,.545,.355,.764,11.088235294117647,21.058823529411764,16.647058823529413,8.323529411764707,2.588235294117647,13.411764705882353,18.0,1
UNLV Rebels,.515,.364,.676,11.657142857142857,23.4,17.6,8.542857142857143,4.828571428571428,13.314285714285715,17.257142857142856,1
Vanderbilt Commodores,.512,.388,.699,10.027777777777779,21.22222222222222,12.722222222222221,5.944444444444445,4.0,12.916666666666666,16.11111111111111,2
VCU Rams,.460,.334,.685,12.194444444444445,18.77777777777778,12.027777777777779,10.527777777777779,3.638888888888889,11.416666666666666,17.944444444444443,2
Vermont Catamounts,.486,.340,.739,11.13888888888889,21.25,13.194444444444445,6.138888888888889,2.388888888888889,12.36111111111111,17.416666666666668,1
Virginia Cavaliers,.511,.330,.722,7.90625,21.59375,12.3125,6.46875,2.75,11.46875,15.8125,1
West Virginia Mountaineers,.499,.298,.671,14.93939393939394,19.454545454545453,14.454545454545455,6.363636363636363,2.5757575757575757,12.787878787878787,16.818181818181817,1
Western Kentucky Hilltoppers,.437,.306,.687,12.82857142857143,20.685714285714287,11.0,5.571428571428571,4.171428571428572,15.257142857142858,19.742857142857144,1
Wichita State Shockers,.536,.371,.748,10.878787878787879,24.181818181818183,14.696969696969697,6.333333333333333,3.9393939393939394,12.212121212121213,16.757575757575758,1
Wisconsin Badgers,.465,.368,.739,9.694444444444445,21.194444444444443,11.88888888888889,5.027777777777778,3.5,8.88888888888889,14.222222222222221,3
Xavier Musketeers,.487,.351,.695,10.5,22.36111111111111,13.083333333333334,6.0,3.75,12.444444444444445,18.47222222222222,3
