Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Air Force Falcons,.558,.404,.745,6.580645161290323,18.032258064516128,14.35483870967742,8.03225806451613,2.161290322580645,10.806451612903226,15.225806451612904,1
Alabama-Birmingham Blazers,.513,.343,.647,10.870967741935484,20.451612903225808,15.548387096774194,10.870967741935484,3.5806451612903225,12.741935483870968,18.06451612903226,1
Alabama Crimson Tide,.505,.345,.708,12.548387096774194,24.06451612903226,12.225806451612904,6.290322580645161,4.903225806451613,13.580645161290322,13.96774193548387,2
Albany (NY) Great Danes,.486,.379,.711,10.90625,22.75,12.59375,6.53125,2.53125,14.09375,18.9375,1
Arizona Wildcats,.482,.319,.709,13.727272727272727,20.818181818181817,14.909090909090908,9.757575757575758,3.787878787878788,13.242424242424242,16.636363636363637,2
Arkansas Razorbacks,.508,.336,.692,12.1875,22.75,15.46875,8.3125,6.0625,13.375,16.90625,1
Belmont Bruins,.564,.377,.691,11.741935483870968,23.70967741935484,16.70967741935484,7.741935483870968,3.5483870967741935,16.225806451612904,19.741935483870968,1
Boston College Eagles,.538,.361,.675,12.944444444444445,22.52777777777778,17.75,6.166666666666667,4.472222222222222,13.11111111111111,16.27777777777778,3
Bradley Braves,.480,.336,.718,12.696969696969697,24.90909090909091,16.151515151515152,8.909090909090908,4.575757575757576,15.06060606060606,18.606060606060606,3
Bucknell Bison,.501,.390,.696,9.625,22.625,14.28125,8.71875,1.71875,14.8125,17.53125,2
California Golden Bears,.478,.374,.733,9.709677419354838,22.612903225806452,12.96774193548387,5.225806451612903,2.6774193548387095,12.387096774193548,16.70967741935484,1
Davidson Wildcats,.510,.369,.761,12.67741935483871,26.516129032258064,18.29032258064516,4.870967741935484,1.6451612903225807,12.870967741935484,18.387096774193548,1
Duke Blue Devils,.541,.386,.761,9.722222222222221,23.72222222222222,15.166666666666666,9.36111111111111,5.611111111111111,13.777777777777779,17.25,3
Florida Gators,.559,.392,.744,10.794871794871796,25.153846153846153,16.666666666666668,7.615384615384615,5.3076923076923075,14.384615384615385,15.974358974358974,7
George Mason Patriots,.538,.356,.664,10.057142857142857,24.82857142857143,14.485714285714286,7.114285714285714,3.5142857142857142,12.82857142857143,15.114285714285714,5
George Washington Colonials,.509,.356,.646,14.033333333333333,24.066666666666666,17.033333333333335,9.266666666666667,4.5,14.0,18.433333333333334,2
Georgetown Hoyas,.535,.355,.706,10.727272727272727,21.96969696969697,15.575757575757576,6.03030303030303,3.606060606060606,11.545454545454545,14.727272727272727,3
Gonzaga Bulldogs,.518,.364,.782,12.454545454545455,25.09090909090909,13.909090909090908,7.090909090909091,2.8484848484848486,13.151515151515152,18.939393939393938,3
Hampton Pirates,.457,.316,.619,13.8125,25.5,12.1875,7.53125,3.09375,16.125,20.5625,0.5
Illinois Fighting Illini,.512,.361,.643,12.212121212121213,23.515151515151516,15.151515151515152,6.151515151515151,2.393939393939394,12.303030303030303,17.696969696969695,2
Indiana Hoosiers,.505,.395,.690,10.290322580645162,23.677419354838708,15.03225806451613,6.32258064516129,2.3225806451612905,14.387096774193548,18.516129032258064,2
Iona Gaels,.509,.402,.691,13.32258064516129,23.451612903225808,15.516129032258064,7.709677419354839,4.129032258064516,15.096774193548388,18.580645161290324,1
Iowa Hawkeyes,.475,.335,.710,10.941176470588236,26.852941176470587,14.764705882352942,6.617647058823529,4.911764705882353,14.882352941176471,15.205882352941176,1
