Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Alabama-Birmingham Blazers,.468,.333,.738,12.055555555555555,24.666666666666668,14.333333333333334,6.583333333333333,5.111111111111111,13.38888888888889,17.5,2
Albany (NY) Great Danes,.479,.358,.758,10.121212121212121,23.545454545454547,10.575757575757576,5.666666666666667,1.606060606060606,11.545454545454545,16.484848484848484,1
Arizona Wildcats,.533,.360,.719,10.81578947368421,26.0,13.894736842105264,7.2368421052631575,3.4473684210526314,11.026315789473685,17.92105263157895,4
Arkansas Razorbacks,.488,.349,.724,13.055555555555555,22.77777777777778,16.083333333333332,7.694444444444445,4.666666666666667,11.944444444444445,19.0,2
Baylor Bears,.462,.377,.674,14.617647058823529,24.58823529411765,14.617647058823529,7.735294117647059,3.8823529411764706,12.764705882352942,16.61764705882353,1
Belmont Bruins,.565,.380,.692,9.303030303030303,23.818181818181817,15.272727272727273,6.333333333333333,2.0,13.666666666666666,16.636363636363637,1
Boise State Broncos,.501,.392,.729,8.764705882352942,24.147058823529413,12.029411764705882,6.0588235294117645,2.323529411764706,10.235294117647058,17.11764705882353,0.5
Buffalo Bulls,.476,.341,.719,12.727272727272727,25.454545454545453,13.121212121212121,7.515151515151516,4.0,11.454545454545455,18.575757575757574,1
Butler Bulldogs,.463,.356,.686,12.0,24.441176470588236,11.382352941176471,6.382352941176471,3.0294117647058822,11.058823529411764,17.41176470588235,2
BYU Cougars,.509,.393,.766,12.028571428571428,26.514285714285716,16.97142857142857,7.3428571428571425,2.942857142857143,11.914285714285715,20.6,0.5
Cincinnati Bearcats,.496,.329,.670,11.264705882352942,23.38235294117647,11.588235294117647,6.529411764705882,5.4411764705882355,12.705882352941176,14.911764705882353,2
Coastal Carolina Chanticleers,.480,.360,.690,13.147058823529411,26.205882352941178,11.323529411764707,7.0588235294117645,3.264705882352941,11.735294117647058,16.441176470588236,1
Davidson Wildcats,.530,.391,.705,10.46875,25.28125,17.09375,5.34375,2.90625,9.46875,18.78125,1
Dayton Flyers,.526,.357,.686,7.083333333333333,24.055555555555557,13.61111111111111,6.944444444444445,2.5277777777777777,11.527777777777779,15.916666666666666,2
Duke Blue Devils,.559,.387,.699,11.41025641025641,25.41025641025641,15.076923076923077,7.128205128205129,3.8205128205128207,10.794871794871796,15.564102564102564,7
Eastern Washington Eagles,.534,.400,.726,10.028571428571428,23.771428571428572,12.971428571428572,6.257142857142857,4.771428571428571,10.742857142857142,17.82857142857143,1
Georgetown Hoyas,.505,.353,.704,11.121212121212121,23.78787878787879,12.93939393939394,7.606060606060606,4.7272727272727275,12.575757575757576,20.242424242424242,2
Georgia Bulldogs,.472,.342,.692,10.909090909090908,27.272727272727273,12.454545454545455,5.545454545454546,4.575757575757576,12.727272727272727,18.424242424242426,1
Georgia State Panthers,.537,.333,.725,9.2,22.685714285714287,13.685714285714285,9.17142857142857,4.085714285714285,10.457142857142857,18.34285714285714,2
Gonzaga Bulldogs,.576,.400,.691,10.289473684210526,27.63157894736842,16.31578947368421,5.947368421052632,3.3157894736842106,10.447368421052632,16.763157894736842,4
Hampton Pirates,.456,.304,.652,11.885714285714286,25.02857142857143,10.628571428571428,6.714285714285714,4.0285714285714285,14.114285714285714,21.485714285714284,1
Harvard Crimson,.462,.354,.719,10.533333333333333,23.633333333333333,12.8,7.1,4.5,11.633333333333333,15.733333333333333,1
Indiana Hoosiers,.502,.406,.719,11.970588235294118,24.029411764705884,13.911764705882353,5.0,3.176470588235294,11.529411764705882,17.823529411764707,1
Iowa Hawkeyes,.473,.333,.744,12.411764705882353,25.058823529411764,14.176470588235293,6.411764705882353,4.647058823529412,11.088235294117647,15.764705882352942,2
Iowa State Cyclones,.543,.362,.696,9.5,26.41176470588235,16.058823529411764,6.411764705882353,3.911764705882353,11.029411764705882,15.5,1
Kansas Jayhawks,.464,.379,.724,11.833333333333334,26.055555555555557,13.194444444444445,6.583333333333333,4.861111111111111,12.86111111111111,17.75,2
Kentucky Wildcats,.512,.349,.726,12.58974358974359,25.41025641025641,14.179487179487179,6.487179487179487,6.871794871794871,10.461538461538462,17.05128205128205,5
Lafayette Leopards,.527,.408,.767,8.545454545454545,22.272727272727273,15.575757575757576,5.484848484848484,2.515151515151515,11.090909090909092,15.606060606060606,1
Louisville Cardinals,.484,.307,.668,12.61111111111111,24.916666666666668,11.63888888888889,7.861111111111111,5.333333333333333,11.333333333333334,17.305555555555557,4
LSU Fighting Tigers,.501,.339,.684,12.151515151515152,27.060606060606062,15.636363636363637,7.2727272727272725,6.181818181818182,14.424242424242424,15.636363636363637,1
Manhattan Jaspers,.488,.336,.691,10.454545454545455,21.818181818181817,13.93939393939394,8.0,2.787878787878788,14.575757575757576,22.96969696969697,0.5
Maryland Terrapins,.480,.376,.756,8.971428571428572,25.97142857142857,10.742857142857142,4.828571428571428,4.314285714285714,12.314285714285715,16.685714285714287,2
Michigan State Spartans,.508,.385,.632,11.179487179487179,26.205128205128204,16.564102564102566,5.205128205128205,4.512820512820513,11.307692307692308,18.923076923076923,5
NC State Wolfpack,.473,.357,.686,12.083333333333334,25.944444444444443,11.527777777777779,3.8333333333333335,5.111111111111111,10.416666666666666,17.694444444444443,3
New Mexico State Aggies,.495,.367,.694,12.588235294117647,22.676470588235293,11.941176470588236,6.4411764705882355,3.6470588235294117,13.823529411764707,15.911764705882353,1
