Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Air Force Falcons,.598,.379,.711,6.0,15.482758620689655,13.310344827586206,7.758620689655173,2.3448275862068964,10.96551724137931,16.586206896551722,1
Alabama-Birmingham Blazers,.492,.330,.666,12.53125,22.4375,17.625,11.59375,3.59375,13.46875,21.28125,3
Alabama Crimson Tide,.489,.378,.709,11.090909090909092,23.696969696969695,11.969696969696969,6.454545454545454,3.3636363636363638,12.818181818181818,18.12121212121212,4
Alabama State Hornets,.463,.335,.656,11.612903225806452,22.774193548387096,10.161290322580646,7.064516129032258,3.064516129032258,17.322580645161292,18.741935483870968,1
Arizona State Sun Devils,.475,.337,.735,12.11111111111111,23.48148148148148,15.777777777777779,5.555555555555555,3.185185185185185,15.11111111111111,21.0,1
Boston College Eagles,.491,.326,.679,12.5,23.5,15.970588235294118,7.088235294117647,3.0,13.441176470588236,15.794117647058824,2
BYU Cougars,.547,.351,.724,10.533333333333333,23.366666666666667,14.833333333333334,6.933333333333334,3.2666666666666666,13.633333333333333,18.866666666666667,1
Charleston Southern Buccaneers,.471,.312,.635,10.392857142857142,21.678571428571427,13.285714285714286,7.321428571428571,3.6785714285714284,15.535714285714286,20.142857142857142,1
Cincinnati Bearcats,.492,.387,.669,13.125,24.28125,16.15625,7.53125,5.25,12.28125,19.375,2
Dayton Flyers,.520,.321,.665,12.393939393939394,25.96969696969697,14.818181818181818,4.545454545454546,2.8484848484848486,14.151515151515152,17.484848484848484,1
DePaul Blue Demons,.498,.362,.697,11.9375,24.28125,13.65625,5.5,2.3125,13.1875,17.5625,2
Duke Blue Devils,.525,.364,.736,12.81081081081081,23.7027027027027,14.486486486486486,9.18918918918919,6.486486486486487,13.81081081081081,18.89189189189189,5
Eastern Washington Eagles,.523,.367,.706,9.3,21.3,16.0,6.4,1.6333333333333333,15.1,20.166666666666668,1
Florida A&M Rattlers,.467,.347,.708,FLAG,FLAG,12.65625,8.46875,1.59375,16.78125,21.65625,1
Florida Gators,.548,.377,.750,9.870967741935484,25.0,15.870967741935484,6.451612903225806,3.161290322580645,14.64516129032258,18.903225806451612,1
Georgia Tech Yellow Jackets,.513,.366,.692,11.289473684210526,26.13157894736842,15.236842105263158,8.894736842105264,4.526315789473684,15.210526315789474,20.92105263157895,6
Gonzaga Bulldogs,.553,.397,.750,11.225806451612904,28.451612903225808,17.93548387096774,6.193548387096774,3.7419354838709675,13.483870967741936,16.129032258064516,2
Illinois Fighting Illini,.530,.349,.695,11.545454545454545,23.333333333333332,17.12121212121212,6.787878787878788,3.696969696969697,12.151515151515152,18.727272727272727,3
Kansas Jayhawks,.519,.335,.707,12.393939393939394,27.09090909090909,17.333333333333332,7.03030303030303,5.0,14.696969696969697,20.03030303030303,4
Kentucky Wildcats,.524,.357,.697,11.59375,24.65625,15.75,7.78125,3.4375,14.625,18.25,2
Lafayette Leopards,.531,.400,.713,8.892857142857142,25.678571428571427,15.321428571428571,5.535714285714286,5.142857142857143,15.321428571428571,18.035714285714285,1
Lehigh Mountain Hawks,.464,.346,.716,11.516129032258064,25.0,13.290322580645162,7.387096774193548,3.4838709677419355,14.516129032258064,18.612903225806452,0.5
Liberty Flames,.493,.307,.676,13.363636363636363,24.060606060606062,13.969696969696969,8.848484848484848,3.1515151515151514,16.0,19.515151515151516,1
Louisville Cardinals,.475,.338,.749,11.7,25.833333333333332,15.333333333333334,8.3,5.033333333333333,13.766666666666667,20.533333333333335,1
Loyola (IL) Ramblers,.493,.288,.651,12.551724137931034,23.689655172413794,12.89655172413793,7.758620689655173,4.379310344827586,15.724137931034482,19.379310344827587,1
Manhattan Jaspers,.471,.368,.761,12.064516129032258,22.741935483870968,10.903225806451612,9.258064516129032,4.129032258064516,12.741935483870968,20.516129032258064,2
Maryland Terrapins,.474,.337,.631,15.15625,26.15625,14.09375,8.5625,6.71875,15.15625,19.71875,2
Memphis Tigers,.464,.359,.657,13.4,24.566666666666666,14.166666666666666,7.266666666666667,5.0,12.766666666666667,18.1,2
Michigan State Spartans,.534,.401,.771,9.0,21.333333333333332,14.7,7.133333333333334,1.8,14.6,21.0,1
Mississippi State Bulldogs,.517,.354,.664,14.8,26.233333333333334,13.866666666666667,9.333333333333334,4.4,15.266666666666667,16.3,2
Monmouth Hawks,.458,.350,.740,9.181818181818182,23.78787878787879,13.757575757575758,7.636363636363637,2.5454545454545454,13.515151515151516,17.545454545454547,1
Murray State Racers,.570,.340,.710,12.235294117647058,24.852941176470587,18.705882352941178,7.970588235294118,4.294117647058823,14.0,18.08823529411765,1
NC State Wolfpack,.535,.345,.799,10.225806451612904,23.516129032258064,14.64516129032258,6.709677419354839,2.225806451612903,13.548387096774194,18.580645161290324,2
Nevada Wolf Pack,.489,.343,.729,13.205882352941176,25.676470588235293,14.058823529411764,6.411764705882353,4.529411764705882,13.088235294117647,18.352941176470587,3
UNC Tar Heels,.502,.352,.688,15.333333333333334,24.3,17.933333333333334,9.566666666666666,4.0,15.4,18.533333333333335,2
Northern Iowa Panthers,.493,.354,.738,8.64516129032258,25.806451612903224,13.225806451612904,5.32258064516129,2.032258064516129,12.516129032258064,16.677419354838708,1
Oklahoma State Cowboys,.553,.376,.695,11.228571428571428,24.571428571428573,16.02857142857143,7.742857142857143,3.657142857142857,13.371428571428572,18.714285714285715,5
Pacific Tigers,.523,.357,.736,9.212121212121213,24.151515151515152,14.484848484848484,5.878787878787879,3.121212121212121,14.272727272727273,17.0,2
Pitt Panthers,.527,.306,.652,12.944444444444445,23.72222222222222,14.527777777777779,5.972222222222222,4.694444444444445,12.63888888888889,14.777777777777779,3
Princeton Tigers,.568,.338,.711,8.607142857142858,21.964285714285715,13.428571428571429,6.857142857142857,3.2142857142857144,13.285714285714286,18.107142857142858,1
Providence Friars,.508,.362,.720,11.793103448275861,21.862068965517242,15.689655172413794,9.10344827586207,4.931034482758621,14.931034482758621,16.17241379310345,1
Richmond Spiders,.463,.310,.721,12.212121212121213,23.060606060606062,12.303030303030303,7.121212121212121,4.333333333333333,13.090909090909092,18.696969696969695,1
Seton Hall Pirates,.505,.347,.714,11.580645161290322,25.0,13.096774193548388,6.67741935483871,3.064516129032258,13.0,18.483870967741936,2
South Carolina Gamecocks,.493,.327,.674,12.441176470588236,23.558823529411764,14.676470588235293,8.823529411764707,5.235294117647059,13.176470588235293,17.91176470588235,1
Southern Illinois Salukis,.491,.338,.689,13.1,22.133333333333333,14.133333333333333,10.066666666666666,3.033333333333333,12.0,19.2,1
Stanford Cardinal,.520,.364,.751,11.4375,25.375,16.03125,6.4375,4.375,14.15625,17.90625,2
Syracuse Orange,.505,.328,.643,13.64516129032258,24.419354838709676,15.0,7.580645161290323,6.612903225806452,12.774193548387096,17.870967741935484,3
Texas Longhorns,.471,.372,.680,15.666666666666666,25.393939393939394,13.545454545454545,6.636363636363637,3.787878787878788,11.757575757575758,19.545454545454547,3
Texas Tech Red Raiders,.494,.337,.741,11.323529411764707,22.58823529411765,14.852941176470589,8.176470588235293,3.4411764705882355,12.470588235294118,16.529411764705884,2
UConn Huskies,.507,.402,.623,15.025641025641026,29.641025641025642,17.46153846153846,5.9743589743589745,8.076923076923077,13.64102564102564,16.0,7
Utah Utes,.509,.387,.723,10.757575757575758,23.78787878787879,12.909090909090908,4.424242424242424,3.3636363636363638,14.030303030303031,17.151515151515152,1
UTEP Miners,.516,.384,.752,10.25,24.3125,16.34375,7.125,2.6875,13.90625,17.875,1
Valparaiso Crusaders,.498,.308,.705,11.870967741935484,26.29032258064516,15.290322580645162,6.774193548387097,3.129032258064516,16.129032258064516,22.322580645161292,1
Vanderbilt Commodores,.500,.367,.711,11.121212121212121,23.727272727272727,16.393939393939394,7.515151515151516,3.393939393939394,12.696969696969697,17.454545454545453,3
VCU Rams,.512,.392,.606,12.161290322580646,25.225806451612904,13.129032258064516,6.741935483870968,3.870967741935484,16.451612903225808,17.70967741935484,1
Vermont Catamounts,.473,.329,.679,11.612903225806452,24.70967741935484,14.419354838709678,7.032258064516129,2.806451612903226,12.483870967741936,15.32258064516129,1
Wake Forest Demon Deacons,.520,.386,.712,13.451612903225806,23.580645161290324,15.709677419354838,8.935483870967742,3.064516129032258,14.741935483870968,20.677419354838708,3
Washington Huskies,.513,.353,.713,12.32258064516129,23.258064516129032,16.161290322580644,7.290322580645161,2.935483870967742,15.225806451612904,21.516129032258064,1
Western Michigan Broncos,.500,.371,.721,14.483870967741936,23.483870967741936,15.290322580645162,8.903225806451612,2.6774193548387095,13.258064516129032,19.35483870967742,1
Wisconsin Badgers,.502,.337,.719,10.84375,21.9375,13.28125,6.875,2.8125,10.0,15.40625,2
