Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Alabama-Birmingham Blazers,.559,.345,.750,10.090909090909092,27.939393939393938,16.96969696969697,5.393939393939394,3.8484848484848486,13.242424242424242,14.848484848484848,2
Arizona State Sun Devils,.532,.363,.733,9.84375,25.34375,14.3125,6.53125,3.5625,10.71875,18.875,0.5
Arizona Wildcats,.567,.369,.760,10.085714285714285,26.4,15.17142857142857,4.942857142857143,4.514285714285714,12.17142857142857,17.228571428571428,1
Arkansas Razorbacks,.512,.395,.681,10.028571428571428,24.485714285714284,14.314285714285715,6.228571428571429,4.6571428571428575,10.885714285714286,20.0,1
Auburn Tigers,.487,.357,.774,11.970588235294118,25.970588235294116,14.147058823529411,7.411764705882353,5.294117647058823,12.088235294117647,19.764705882352942,2
Bucknell Bison,.550,.348,.719,9.285714285714286,27.314285714285713,14.428571428571429,5.542857142857143,4.3428571428571425,12.485714285714286,18.714285714285715,1
Buffalo Bulls,.544,.370,.699,11.944444444444445,26.61111111111111,16.583333333333332,6.25,4.055555555555555,12.38888888888889,20.97222222222222,2
Butler Bulldogs,.543,.357,.776,9.257142857142858,24.97142857142857,13.971428571428572,6.628571428571429,2.857142857142857,11.17142857142857,18.34285714285714,2
Charleston Southern Buccaneers,.511,.330,.723,11.129032258064516,23.419354838709676,11.870967741935484,7.225806451612903,3.4193548387096775,13.161290322580646,16.677419354838708,1
Cincinnati Bearcats,.502,.353,.692,13.305555555555555,25.944444444444443,15.833333333333334,7.111111111111111,5.388888888888889,11.222222222222221,15.583333333333334,2
Clemson Tigers,.516,.366,.755,8.942857142857143,26.942857142857143,13.228571428571428,5.6571428571428575,4.828571428571428,11.82857142857143,16.114285714285714,3
Creighton Bluejays,.590,.372,.748,7.545454545454546,29.0,17.818181818181817,5.666666666666667,2.6666666666666665,11.242424242424242,15.181818181818182,1
Davidson Wildcats,.565,.389,.798,6.9393939393939394,25.727272727272727,16.696969696969695,4.696969696969697,1.9696969696969697,9.545454545454545,15.242424242424242,1
Duke Blue Devils,.560,.372,.710,13.405405405405405,27.64864864864865,17.513513513513512,7.4324324324324325,5.0,12.432432432432432,15.513513513513514,4
Florida Gators,.474,.370,.718,10.794117647058824,24.441176470588236,13.088235294117647,6.970588235294118,4.823529411764706,9.852941176470589,17.38235294117647,2
Florida State Seminoles,.536,.350,.691,11.371428571428572,26.4,14.942857142857143,6.885714285714286,5.314285714285714,13.028571428571428,18.62857142857143,4
Georgia State Panthers,.514,.385,.678,8.82857142857143,24.942857142857143,13.0,7.314285714285714,4.571428571428571,11.285714285714286,18.257142857142856,1
Gonzaga Bulldogs,.582,.368,.708,11.162162162162161,28.756756756756758,15.243243243243244,6.324324324324325,3.6216216216216215,11.35135135135135,17.054054054054053,3
Howard Bison,.473,.347,.708,11.272727272727273,23.666666666666668,12.333333333333334,5.393939393939394,2.8181818181818183,13.393939393939394,20.484848484848484,2
Iona Gaels,.515,.383,.738,8.558823529411764,25.147058823529413,15.941176470588236,6.735294117647059,3.0294117647058822,11.617647058823529,17.264705882352942,1
Kansas Jayhawks,.556,.401,.708,9.76923076923077,25.82051282051282,16.641025641025642,6.512820512820513,4.102564102564102,11.692307692307692,15.307692307692308,5
Kansas State Wildcats,.534,.341,.734,8.216216216216216,22.486486486486488,13.783783783783784,7.945945945945946,2.972972972972973,11.432432432432432,18.486486486486488,4
Kentucky Wildcats,.512,.357,.698,11.91891891891892,26.756756756756758,13.216216216216216,5.621621621621622,4.756756756756757,12.972972972972974,18.972972972972972,3
LIU-Brooklyn Blackbirds,.529,.342,.696,10.571428571428571,27.34285714285714,12.628571428571428,5.542857142857143,3.1714285714285713,14.17142857142857,19.62857142857143,0.5
Loyola (IL) Ramblers,.568,.396,.725,6.2631578947368425,25.894736842105264,15.631578947368421,6.342105263157895,2.3684210526315788,12.421052631578947,13.894736842105264,5
Marshall Thundering Herd,.557,.358,.764,8.13888888888889,27.61111111111111,17.083333333333332,7.0,5.805555555555555,13.222222222222221,17.13888888888889,2
Miami (FL) Hurricanes,.522,.364,.662,9.9375,24.84375,13.25,6.5625,4.0625,11.46875,16.1875,1
Michigan State Spartans,.552,.400,.747,11.571428571428571,29.542857142857144,19.142857142857142,4.085714285714285,7.171428571428572,13.114285714285714,18.285714285714285,2
Michigan Wolverines,.552,.357,.661,8.414634146341463,24.926829268292682,14.268292682926829,6.365853658536586,3.073170731707317,9.24390243902439,15.682926829268293,6
Missouri Tigers,.505,.383,.734,10.090909090909092,27.03030303030303,13.424242424242424,5.151515151515151,4.242424242424242,14.212121212121213,18.0,1
Montana Grizzlies,.515,.339,.706,11.823529411764707,25.176470588235293,12.588235294117647,7.764705882352941,3.3529411764705883,12.411764705882353,21.058823529411764,1
Murray State Racers,.553,.377,.734,10.65625,26.40625,14.71875,6.75,3.25,12.0,17.46875,1
NC State Wolfpack,.521,.372,.696,12.151515151515152,23.484848484848484,16.09090909090909,7.393939393939394,3.696969696969697,12.121212121212121,18.454545454545453,1
Nevada Wolf Pack,.521,.392,.743,9.243243243243244,26.324324324324323,16.16216216216216,6.216216216216216,4.054054054054054,9.64864864864865,17.027027027027028,3
New Mexico State Aggies,.530,.334,.643,12.558823529411764,28.676470588235293,14.147058823529411,5.5588235294117645,3.0294117647058822,12.617647058823529,17.764705882352942,1
UNC Tar Heels,.510,.359,.743,13.81081081081081,28.62162162162162,18.216216216216218,5.756756756756757,4.081081081081081,12.027027027027026,15.864864864864865,2
Ohio State Buckeyes,.547,.353,.731,9.823529411764707,26.794117647058822,14.676470588235293,6.147058823529412,3.8823529411764706,11.735294117647058,17.5,2
Oklahoma Sooners,.533,.359,.746,10.59375,27.8125,14.96875,6.5,4.71875,13.375,17.21875,1
Penn Quakers,.539,.350,.659,8.575757575757576,28.96969696969697,15.393939393939394,5.878787878787879,2.787878787878788,11.848484848484848,17.151515151515152,1
Providence Friars,.495,.332,.704,10.542857142857143,25.085714285714285,13.857142857142858,6.8,3.657142857142857,12.285714285714286,17.82857142857143,1
Purdue Boilermakers,.541,.420,.743,8.621621621621621,26.37837837837838,16.16216216216216,5.702702702702703,4.864864864864865,10.783783783783784,15.675675675675675,3
Radford Highlanders,.475,.349,.725,11.527777777777779,23.02777777777778,12.277777777777779,6.277777777777778,2.9166666666666665,12.25,16.555555555555557,1
Rhode Island Rams,.504,.352,.697,11.441176470588236,22.970588235294116,15.294117647058824,7.323529411764706,3.4705882352941178,10.647058823529411,18.970588235294116,2
San Diego State Aztecs,.527,.337,.715,11.090909090909092,26.78787878787879,14.787878787878787,6.242424242424242,3.242424242424242,11.93939393939394,17.09090909090909,1
Seton Hall Pirates,.519,.365,.698,12.235294117647058,26.058823529411764,15.5,6.176470588235294,3.4411764705882355,12.705882352941176,18.058823529411764,2
St. Bonaventure Bonnies,.485,.386,.752,10.117647058823529,25.41176470588235,13.882352941176471,7.029411764705882,3.4705882352941178,11.5,19.823529411764707,1
Stephen F. Austin Lumberjacks,.538,.372,.705,11.485714285714286,24.17142857142857,14.228571428571428,10.314285714285715,3.057142857142857,15.428571428571429,21.857142857142858,1
Syracuse Orange,.466,.318,.736,11.945945945945946,25.216216216216218,10.675675675675675,6.972972972972973,5.351351351351352,12.432432432432432,16.513513513513512,3
TCU Horned Frogs,.551,.395,.706,11.151515151515152,25.242424242424242,18.636363636363637,6.484848484848484,3.606060606060606,12.696969696969697,16.757575757575758,1
Tennessee Volunteers,.473,.380,.757,11.542857142857143,24.514285714285716,15.714285714285714,6.3428571428571425,4.457142857142857,12.057142857142857,19.428571428571427,2
Texas A&M Aggies,.525,.329,.661,12.342857142857143,29.085714285714285,15.371428571428572,5.428571428571429,5.9714285714285715,13.6,16.4,3
Texas Longhorns,.512,.320,.665,10.617647058823529,25.176470588235293,11.588235294117647,6.147058823529412,4.9411764705882355,11.735294117647058,16.08823529411765,1
Texas Southern Tigers,.485,.359,.725,10.333333333333334,25.805555555555557,12.166666666666666,5.75,4.027777777777778,12.583333333333334,17.52777777777778,1
Texas Tech Red Raiders,.511,.359,.704,11.0,25.0,14.297297297297296,7.081081081081081,4.27027027027027,12.27027027027027,18.08108108108108,4
UCLA Bruins,.514,.381,.720,10.212121212121213,28.666666666666668,15.0,5.575757575757576,3.9696969696969697,12.090909090909092,17.939393939393938,0.5
UMBC Retrievers,.490,.387,.646,9.666666666666666,24.916666666666668,15.194444444444445,7.472222222222222,2.4166666666666665,12.222222222222221,16.444444444444443,2
UNC Greensboro Spartans,.522,.353,.698,11.942857142857143,25.4,13.914285714285715,7.628571428571429,3.7714285714285714,13.742857142857142,18.571428571428573,1
Villanova Wildcats,.590,.401,.779,9.625,26.275,16.375,6.475,4.05,10.65,16.125,7
Virginia Cavaliers,.501,.383,.754,8.294117647058824,24.029411764705884,13.470588235294118,6.823529411764706,3.6470588235294117,8.529411764705882,14.117647058823529,1
Virginia Tech Hokies,.573,.388,.709,7.454545454545454,25.21212121212121,16.424242424242426,5.787878787878788,2.242424242424242,11.969696969696969,15.848484848484848,1
West Virginia Mountaineers,.488,.353,.766,14.08108108108108,23.783783783783782,15.162162162162161,8.135135135135135,5.1891891891891895,11.35135135135135,21.56756756756757,3
Wichita State Shockers,.538,.381,.739,12.272727272727273,28.21212121212121,18.484848484848484,4.666666666666667,3.8484848484848486,11.666666666666666,17.575757575757574,1
Wright State Raiders,.483,.337,.715,10.17142857142857,26.0,13.142857142857142,6.6,2.2,13.114285714285714,15.942857142857143,1
Xavier Musketeers,.559,.372,.779,9.857142857142858,28.485714285714284,16.542857142857144,5.857142857142857,3.1142857142857143,12.6,17.2,2
