Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
New Mexico State Aggies,.500,.313,.656,12.257142857142858,23.02857142857143,11.457142857142857,5.6571428571428575,5.514285714285714,14.457142857142857,15.0,1
North Carolina A&T Aggies,.460,.304,.658,10.45945945945946,21.054054054054053,10.945945945945946,7.054054054054054,4.45945945945946,15.243243243243244,19.35135135135135,1
UNC Tar Heels,.470,.376,.675,13.277777777777779,21.555555555555557,17.11111111111111,8.416666666666666,3.25,12.027777777777779,14.972222222222221,2
Northwestern State Demons,.520,.313,.686,13.59375,21.8125,15.28125,9.59375,4.71875,14.0,19.34375,1
Notre Dame Fighting Irish,.506,.370,.709,11.057142857142857,21.685714285714287,16.771428571428572,5.0,3.7714285714285714,11.228571428571428,14.142857142857142,1
Ohio State Buckeyes,.494,.356,.708,10.216216216216216,22.72972972972973,13.324324324324325,6.702702702702703,4.378378378378378,10.18918918918919,15.945945945945946,4
Oklahoma Sooners,.476,.323,.757,11.78125,21.53125,12.3125,6.4375,2.78125,11.75,17.40625,1
Oklahoma State Cowboys,.495,.316,.746,10.727272727272727,22.90909090909091,12.06060606060606,7.515151515151516,4.696969696969697,12.454545454545455,18.12121212121212,1
Oregon Ducks,.491,.333,.705,12.18918918918919,22.54054054054054,13.08108108108108,8.486486486486486,3.945945945945946,15.0,17.594594594594593,3
Pacific Tigers,.480,.381,.689,9.514285714285714,20.114285714285714,14.571428571428571,5.542857142857143,1.3142857142857143,11.142857142857142,17.742857142857144,1
Pitt Panthers,.515,.349,.668,12.878787878787879,19.454545454545453,16.272727272727273,6.606060606060606,3.9696969696969697,11.030303030303031,17.424242424242426,1
Saint Louis Billikens,.500,.340,.704,8.742857142857142,20.742857142857144,12.942857142857143,7.628571428571429,3.1142857142857143,10.942857142857143,17.228571428571428,2
Saint Mary's Gaels,.526,.375,.725,12.057142857142857,22.2,14.342857142857143,6.114285714285714,2.8,11.885714285714286,17.485714285714284,1
San Diego State Aztecs,.491,.327,.683,11.058823529411764,22.58823529411765,12.5,6.911764705882353,4.5588235294117645,12.058823529411764,14.617647058823529,2
Southern Jaguars,.470,.365,.689,8.727272727272727,22.636363636363637,11.393939393939394,7.393939393939394,4.0606060606060606,10.878787878787879,17.03030303030303,1
Syracuse Orange,.485,.335,.675,14.0,20.5,14.05,9.0,6.2,12.375,15.925,5
Temple Owls,.488,.328,.723,11.205882352941176,19.88235294117647,14.617647058823529,7.852941176470588,3.7058823529411766,10.764705882352942,16.41176470588235,2
UCLA Bruins,.489,.333,.724,11.057142857142857,22.228571428571428,15.971428571428572,8.085714285714285,3.6285714285714286,11.17142857142857,15.028571428571428,1
UNLV Rebels,.491,.329,.703,11.942857142857143,24.65714285714286,16.057142857142857,7.228571428571429,5.8,13.914285714285715,16.942857142857143,1
Valparaiso Crusaders,.559,.372,.731,8.911764705882353,20.735294117647058,13.735294117647058,6.823529411764706,3.3529411764705883,14.294117647058824,17.235294117647058,1
VCU Rams,.505,.351,.701,13.305555555555555,18.77777777777778,14.472222222222221,11.722222222222221,3.0277777777777777,11.305555555555555,19.666666666666668,2
Villanova Wildcats,.462,.331,.719,11.264705882352942,21.558823529411764,12.147058823529411,7.735294117647059,3.3529411764705883,15.676470588235293,19.147058823529413,1
Western Kentucky Hilltoppers,.489,.319,.674,12.25,21.194444444444443,11.11111111111111,6.194444444444445,3.1944444444444446,14.916666666666666,19.194444444444443,1
Wichita State Shockers,.496,.339,.699,13.128205128205128,21.615384615384617,13.58974358974359,7.410256410256411,4.435897435897436,12.615384615384615,17.94871794871795,5
Wisconsin Badgers,.480,.330,.634,11.457142857142857,22.885714285714286,13.285714285714286,5.714285714285714,4.371428571428571,9.542857142857143,14.028571428571428,1
