Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Alabama Crimson Tide,.513,.289,.711,10.666666666666666,21.636363636363637,12.181818181818182,7.242424242424242,4.151515151515151,12.818181818181818,18.393939393939394,.561,.690,14.0,1.8,2.7,.505,.615,13.1,1.8,1.9,.563,.817,12.0,2.8,2.0,1
Baylor Bears,.506,.383,.754,12.368421052631579,21.31578947368421,15.0,7.526315789473684,4.684210526315789,13.736842105263158,17.736842105263158,.502,.822,13.8,5.9,3.5,.520,.696,13.5,1.3,1.7,.576,.782,12.0,1.0,1.9,4
Belmont Bruins,.551,.378,.734,11.457142857142857,21.428571428571427,17.314285714285713,7.285714285714286,2.2285714285714286,12.285714285714286,18.02857142857143,.599,.766,13.8,5.2,2.4,.546,.822,12.7,2.4,1.3,.404,.714,10.8,3.9,1.7,1
BYU Cougars,.524,.343,.700,10.885714285714286,24.057142857142857,17.114285714285714,8.457142857142857,4.4,13.514285714285714,18.2,.588,.842,16.8,1.5,1.6,.517,.662,15.2,2.1,2.9,.460,.759,12.2,4.6,3.0,1
California Golden Bears,.509,.363,.744,10.029411764705882,22.176470588235293,15.882352941176471,4.676470588235294,3.1176470588235294,12.088235294117647,14.382352941176471,.464,.843,15.2,2.1,1.6,.475,.744,13.0,4.1,2.4,.480,.801,12.6,5.0,2.0,0.5
Cincinnati Bearcats,.464,.341,.644,13.216216216216216,19.89189189189189,12.945945945945946,8.054054054054054,4.594594594594595,10.891891891891891,15.405405405405405,.497,.750,14.3,2.1,1.5,.450,.699,13.0,2.1,1.8,.475,.604,12.2,0.7,1.1,3
Colorado Buffaloes,.488,.348,.691,9.75,23.36111111111111,11.722222222222221,5.833333333333333,3.25,13.0,17.055555555555557,.529,.723,12.6,2.0,1.9,.537,.614,11.6,1.2,1.8,.518,.689,11.1,0.9,1.3,2
Colorado State Rams,.501,.400,.768,8.3125,21.03125,12.15625,5.375,1.875,12.75,18.9375,.422,.878,15.5,2.0,2.1,.526,.831,13.1,2.4,1.8,.446,.722,9.4,0.9,2.0,1
Creighton Bluejays,.547,.424,.726,9.428571428571429,23.8,17.6,4.828571428571428,2.342857142857143,12.028571428571428,16.914285714285715,.633,.796,22.9,1.1,2.3,.442,.735,12.1,4.5,1.9,.607,.669,9.7,0.6,1.5,2
Davidson Wildcats,.516,.336,.763,12.575757575757576,22.78787878787879,13.787878787878787,5.575757575757576,3.515151515151515,11.757575757575758,20.393939393939394,.559,.721,15.7,0.8,1.7,.531,.876,14.3,1.4,2.1,.453,.886,10.9,3.6,1.7,1
Detroit Titans,.507,.298,.730,12.055555555555555,19.166666666666668,12.86111111111111,7.555555555555555,4.583333333333333,12.5,19.0,.551,.766,15.4,4.0,2.2,.406,.766,13.3,2.4,2.7,.553,.857,12.0,0.4,0.8,1
Duke Blue Devils,.510,.371,.701,11.941176470588236,21.941176470588236,12.441176470588236,6.176470588235294,4.0,12.205882352941176,18.41176470588235,.477,.658,15.5,2.1,2.3,.456,.873,13.2,2.4,2.0,.469,.807,11.8,1.1,1.4,1
Florida Gators,.530,.380,.713,11.243243243243244,20.64864864864865,14.891891891891891,6.297297297297297,3.3513513513513513,11.08108108108108,15.54054054054054,.497,.754,15.9,2.7,1.4,.541,.769,14.8,2.2,2.1,.433,.815,12.1,4.6,2.1,4
