Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Albany (NY) Great Danes,.494,.374,.722,11.030303030303031,22.666666666666668,13.212121212121213,5.787878787878788,2.484848484848485,13.242424242424242,19.21212121212121,.475,.746,18.8,4.8,3.6,.517,.818,13.8,2.3,2.1,.545,.718,11.0,0.9,1.0,1
Arizona Wildcats,.533,.341,.750,12.258064516129032,25.096774193548388,16.483870967741936,6.096774193548387,3.3225806451612905,13.774193548387096,13.709677419354838,.546,.695,16.6,2.2,2.7,.555,.845,15.6,2.0,1.6,.535,.872,15.1,2.1,2.1,1
Arkansas Razorbacks,.516,.346,.703,11.2,24.02857142857143,14.885714285714286,6.857142857142857,6.314285714285714,15.2,17.485714285714284,.475,.812,13.9,3.1,2.0,.545,.729,11.8,2.1,2.5,.489,.775,10.7,1.3,2.1,1
Belmont Bruins,.546,.355,.692,11.303030303030303,25.90909090909091,15.545454545454545,6.090909090909091,3.1818181818181817,16.0,18.333333333333332,.508,.784,14.3,2.5,2.0,.610,.561,10.8,0.5,1.8,.515,.667,9.4,2.7,2.1,1
Boston College Eagles,.538,.349,.724,11.93939393939394,22.666666666666668,14.636363636363637,5.696969696969697,5.787878787878788,13.787878787878787,15.303030303030303,.602,.743,19.0,3.0,2.6,.570,.795,17.6,5.4,3.3,.496,.679,14.8,1.9,2.1,2
Butler Bulldogs,.498,.369,.760,9.055555555555555,20.61111111111111,12.13888888888889,5.416666666666667,1.7777777777777777,9.472222222222221,19.11111111111111,.406,.948,16.9,2.4,1.7,.453,.742,13.9,4.0,2.8,.509,.675,11.4,2.0,1.3,3
BYU Cougars,.525,.415,.660,12.176470588235293,25.264705882352942,15.941176470588236,6.029411764705882,3.4705882352941178,13.411764705882353,19.470588235294116,.543,.803,17.4,1.5,2.2,.546,.492,12.6,1.2,1.6,.649,.794,9.4,2.7,1.4,1
Central Connecticut Blue Devils,.466,.381,.730,11.794117647058824,22.91176470588235,12.470588235294118,6.0,3.3823529411764706,14.147058823529411,16.0,.400,.924,17.1,4.1,3.1,.475,.754,16.8,3.2,2.6,.476,.761,14.4,1.4,2.6,1
Creighton Bluejays,.507,.338,.754,10.303030303030303,22.424242424242426,13.363636363636363,6.363636363636363,2.515151515151515,12.636363636363637,16.727272727272727,.540,.863,17.7,3.0,2.2,.526,.658,13.4,1.9,2.0,.497,.809,10.7,2.5,2.2,1
Davidson Wildcats,.505,.369,.753,13.676470588235293,26.852941176470587,16.441176470588236,8.0,2.676470588235294,14.558823529411764,17.705882352941178,.536,.855,21.5,2.8,2.8,.442,.811,13.5,7.3,3.1,.542,.732,13.2,1.2,1.8,1
Duke Blue Devils,.506,.381,.689,11.484848484848484,23.818181818181817,13.121212121212121,7.303030303030303,4.757575757575758,15.424242424242424,17.484848484848484,.535,.593,14.1,2.0,2.5,.523,.664,13.0,3.5,2.4,.444,.846,12.2,1.8,1.6,1
Eastern Kentucky Colonels,.555,.348,.680,8.484848484848484,19.696969696969695,14.454545454545455,7.96969696969697,2.5454545454545454,13.515151515151516,13.606060606060606,.503,.765,15.1,1.8,1.7,.463,.826,12.5,2.6,2.0,.637,.565,11.1,4.8,4.0,1
Florida A&M Rattlers,.490,.360,.662,FLAG,FLAG,13.628571428571428,7.0,1.8,17.8,18.514285714285716,.653,.758,15.2,0.9,2.4,.489,.567,11.7,2.4,2.7,.456,.892,11.3,1.1,1.6,0.5
Florida Gators,.587,.409,.690,11.175,26.425,15.35,6.65,4.85,14.125,15.65,.497,.849,13.3,3.7,2.7,.544,.723,13.2,2.9,2.5,.612,.644,13.2,2.2,1.8,7
George Washington Colonials,.490,.368,.700,12.15625,21.90625,14.4375,9.125,4.4375,13.875,18.84375,.460,.726,15.8,2.1,1.8,.448,.784,12.9,4.8,3.4,.555,.740,10.5,1.1,1.6,1
Georgetown Hoyas,.578,.370,.711,11.054054054054054,22.72972972972973,14.72972972972973,5.1891891891891895,5.108108108108108,13.432432432432432,16.45945945945946,.559,.775,14.3,3.2,2.6,.671,.686,12.9,1.1,1.2,.528,.872,11.4,3.1,2.3,5
Georgia Tech Yellow Jackets,.536,.372,.681,13.90625,22.53125,15.34375,9.875,3.5625,15.71875,20.78125,.488,.783,14.4,5.8,3.9,.498,.743,14.4,2.0,2.2,.590,.767,13.2,0.9,1.2,1
Gonzaga Bulldogs,.521,.395,.751,10.382352941176471,27.0,14.470588235294118,6.235294117647059,3.6176470588235294,13.911764705882353,19.235294117647058,.498,.961,18.0,2.6,1.8,.569,.718,15.5,0.4,1.6,.515,.732,12.1,4.6,3.3,1
Holy Cross Crusaders,.475,.351,.734,11.352941176470589,20.735294117647058,13.617647058823529,9.529411764705882,3.6176470588235294,15.323529411764707,18.264705882352942,.589,.767,16.9,1.9,1.8,.361,.771,13.7,4.7,4.0,.498,.822,11.7,1.2,2.7,1
Illinois Fighting Illini,.482,.349,.624,12.485714285714286,22.685714285714287,13.942857142857143,5.857142857142857,2.8285714285714287,14.028571428571428,17.257142857142856,.504,.711,13.7,2.0,2.6,.549,.513,11.4,0.2,1.9,.298,.686,9.6,2.3,1.5,1
Indiana Hoosiers,.485,.381,.710,11.71875,22.09375,13.25,6.4375,4.375,12.375,20.53125,.512,.685,13.8,1.3,1.9,.479,.660,12.6,1.1,1.4,.528,.806,9.6,4.3,2.2,2
Jackson State Tigers,.460,.313,.711,13.428571428571429,22.285714285714285,13.4,8.257142857142858,3.057142857142857,15.342857142857143,20.685714285714287,.450,.743,27.1,2.6,3.6,.535,.722,8.9,1.5,1.6,.461,.787,8.7,1.5,1.9,1
Kansas Jayhawks,.528,.396,.660,12.789473684210526,26.86842105263158,17.13157894736842,9.210526315789474,6.473684210526316,14.18421052631579,18.894736842105264,.451,.681,13.8,2.0,2.1,.562,.770,12.2,3.3,2.4,.562,.613,12.0,2.2,2.4,4
