Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Kentucky Wildcats,.515,.369,.733,9.709677419354838,23.774193548387096,12.741935483870968,6.645161290322581,4.806451612903226,15.806451612903226,18.903225806451612,.548,.762,17.9,2.1,2.8,.581,.731,16.4,1.7,2.1,.458,.830,15.9,3.4,3.3,1
Louisville Cardinals,.535,.350,.647,11.472222222222221,25.694444444444443,15.055555555555555,8.027777777777779,4.944444444444445,13.63888888888889,18.305555555555557,.667,.660,11.2,2.0,1.5,.544,.654,11.1,1.4,2.3,.460,.571,11.1,4.5,2.9,4
Marquette Golden Eagles,.493,.353,.706,13.542857142857143,23.228571428571428,14.714285714285714,9.285714285714286,3.7714285714285714,12.885714285714286,20.942857142857143,.511,.702,14.9,3.5,2.8,.449,.664,12.9,4.4,2.1,.483,.773,12.8,0.6,1.8,2
Memphis Tigers,.529,.349,.614,14.125,26.375,15.925,8.425,6.1,11.75,17.275,.578,.712,18.1,1.8,2.1,.521,.712,14.9,4.7,2.7,.458,.675,9.2,1.1,1.5,6
Miami (FL) Hurricanes,.460,.385,.747,12.735294117647058,25.294117647058822,13.264705882352942,5.9411764705882355,4.617647058823529,13.352941176470589,18.764705882352942,.429,.919,17.7,2.6,2.5,.496,.907,10.3,1.8,0.8,.489,.845,8.8,1.6,1.4,2
Michigan State Spartans,.516,.371,.737,12.222222222222221,24.72222222222222,17.52777777777778,5.777777777777778,4.222222222222222,13.61111111111111,18.47222222222222,.586,.672,14.0,1.6,2.3,.417,.860,13.9,4.0,1.4,.445,.768,10.3,3.8,2.0,3
Mississippi State Bulldogs,.533,.334,.646,12.058823529411764,28.676470588235293,13.176470588235293,5.852941176470588,7.852941176470588,14.970588235294118,16.705882352941178,.563,.673,17.4,0.9,2.4,.480,.693,17.2,4.9,4.1,.444,.696,11.5,2.6,2.3,2
Mississippi Valley State Delta Devils,.418,.337,.678,11.787878787878787,21.757575757575758,11.484848484848484,6.242424242424242,2.727272727272727,14.333333333333334,17.636363636363637,.448,.726,12.5,0.9,2.2,.495,.596,12.2,0.2,2.3,.340,.676,10.5,2.6,2.5,1
UNC Tar Heels,.521,.372,.757,15.512820512820513,27.94871794871795,16.82051282051282,8.153846153846153,4.461538461538462,14.35897435897436,16.871794871794872,.547,.806,22.6,0.9,2.1,.510,.826,16.6,2.0,1.7,.582,.835,12.7,5.2,2.2,5
Notre Dame Fighting Irish,.478,.405,.738,13.212121212121213,28.333333333333332,18.424242424242426,6.212121212121212,3.787878787878788,13.0,15.06060606060606,.503,.763,20.4,1.7,2.3,.428,.821,15.1,3.5,2.0,.480,.853,12.5,1.9,2.1,2
