Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Alabama A&M Bulldogs,.454,.302,.613,13.21875,24.59375,13.3125,10.5625,3.875,15.25,19.34375,.447,.681,15.3,4.8,3.3,.509,.513,13.7,1.0,2.0,.410,.693,8.6,1.6,1.0,1
Alabama-Birmingham Blazers,.498,.347,.696,11.818181818181818,21.21212121212121,15.636363636363637,11.575757575757576,3.0,13.454545454545455,19.575757575757574,.563,.786,15.5,3.0,2.3,.502,.732,12.5,1.7,2.4,.505,.671,11.0,1.7,1.5,2
Alabama Crimson Tide,.537,.394,.736,10.4375,26.40625,14.15625,5.125,4.46875,12.8125,14.71875,.475,.775,17.9,2.6,2.5,.603,.808,16.3,2.0,2.1,.591,.786,13.9,1.8,2.3,1
Arizona Wildcats,.507,.402,.776,13.324324324324325,23.45945945945946,16.486486486486488,8.0,3.891891891891892,14.81081081081081,16.10810810810811,.503,.910,18.4,2.2,2.4,.570,.830,15.8,1.9,1.7,.514,.714,12.7,2.8,2.3,4
Boston College Eagles,.540,.252,.712,14.133333333333333,23.7,17.566666666666666,7.233333333333333,4.1,13.433333333333334,15.1,.518,.671,18.0,1.7,2.2,.544,.754,16.5,3.2,1.6,.500,.628,11.1,1.8,1.4,2
Bucknell Bison,.489,.369,.701,9.272727272727273,22.363636363636363,12.606060606060606,7.9393939393939394,2.909090909090909,15.393939393939394,19.09090909090909,.361,.888,12.6,2.4,2.3,.601,.674,12.6,0.8,2.3,.442,.760,12.5,1.6,2.8,2
Charlotte 49ers,.467,.368,.684,14.482758620689655,24.103448275862068,14.10344827586207,8.689655172413794,3.1724137931034484,13.413793103448276,17.06896551724138,.475,.662,18.0,1.8,3.0,.510,.724,15.2,3.7,2.6,.306,.618,13.7,1.7,1.4,1
Chattanooga Mocs,.526,.303,.679,16.419354838709676,25.0,14.516129032258064,7.451612903225806,1.935483870967742,17.258064516129032,16.870967741935484,.574,.626,11.8,1.5,2.3,.563,.716,11.5,2.3,2.1,.560,.629,11.3,0.9,1.9,1
Cincinnati Bearcats,.479,.349,.690,14.272727272727273,26.78787878787879,14.93939393939394,5.424242424242424,6.818181818181818,13.181818181818182,17.757575757575758,.545,.645,15.3,0.8,1.9,.534,.585,13.7,0.8,1.7,.402,.761,10.4,2.7,2.1,2
Creighton Bluejays,.476,.414,.730,9.882352941176471,21.38235294117647,14.205882352941176,6.882352941176471,3.264705882352941,12.117647058823529,17.58823529411765,.544,.825,17.8,2.3,1.8,.497,.784,11.8,2.1,1.9,.415,.733,9.4,1.2,1.0,1
Delaware Fightin' Blue Hens,.487,.318,.655,10.870967741935484,24.64516129032258,12.903225806451612,6.161290322580645,2.838709677419355,16.70967741935484,19.483870967741936,.535,.708,18.5,1.4,3.1,.466,.741,13.2,2.1,2.8,.489,.540,9.0,6.5,2.5,1
Duke Blue Devils,.489,.380,.713,13.090909090909092,25.12121212121212,12.757575757575758,8.696969696969697,6.666666666666667,13.757575757575758,18.545454545454547,.415,.938,21.8,2.6,2.5,.582,.662,15.5,0.9,2.6,.498,.692,15.3,4.0,3.0,3
Eastern Kentucky Colonels,.533,.351,.670,11.612903225806452,23.967741935483872,15.483870967741936,7.483870967741935,3.935483870967742,14.548387096774194,19.322580645161292,.432,.740,14.4,6.3,4.0,.629,.713,13.4,2.3,2.1,.522,.839,11.7,1.7,1.2,1
Fairleigh Dickinson Knights,.501,.348,.666,12.363636363636363,24.0,15.090909090909092,7.181818181818182,4.393939393939394,14.121212121212121,18.90909090909091,.460,.669,16.0,1.6,2.3,.517,.743,15.7,5.5,3.1,.585,.600,13.1,2.4,1.8,1
Florida Gators,.533,.390,.707,11.4375,25.625,14.84375,7.125,4.5625,13.875,18.6875,.547,.900,18.7,2.6,1.9,.491,.821,14.6,3.0,2.5,.532,.714,13.6,2.2,2.7,2
George Washington Colonials,.515,.362,.693,13.0,23.6,16.133333333333333,9.766666666666667,4.266666666666667,14.933333333333334,17.6,.462,.823,13.6,2.9,2.2,.537,.766,13.4,2.1,2.0,.571,.571,12.6,0.8,2.0,1
Georgia Tech Yellow Jackets,.504,.333,.691,12.5,26.5,14.71875,8.28125,5.0625,15.09375,20.25,.549,.866,15.5,4.5,3.4,.451,.717,12.6,1.1,1.7,.482,.762,12.5,2.5,2.4,2
Gonzaga Bulldogs,.541,.380,.739,11.870967741935484,26.548387096774192,15.67741935483871,5.451612903225806,3.4193548387096775,13.419354838709678,17.29032258064516,.564,.758,19.0,2.8,1.7,.513,.683,15.9,1.5,2.3,.372,.903,13.0,4.8,2.1,2
Illinois Fighting Illini,.542,.392,.728,10.897435897435898,23.41025641025641,18.641025641025642,7.6923076923076925,3.1538461538461537,10.974358974358974,15.666666666666666,.547,.788,15.9,3.8,1.8,.611,.772,13.3,4.5,1.9,.491,.677,12.5,6.8,2.8,6
Iowa Hawkeyes,.496,.376,.691,11.242424242424242,25.0,15.181818181818182,7.484848484848484,5.2727272727272725,14.424242424242424,18.727272727272727,.537,.529,17.8,4.2,4.2,.537,.690,14.7,1.9,2.4,.556,.808,14.2,1.6,1.4,2
Kansas Jayhawks,.527,.367,.695,11.666666666666666,25.966666666666665,16.5,6.566666666666666,3.8333333333333335,14.433333333333334,19.133333333333333,.563,.816,20.3,1.4,2.3,.509,.601,14.4,2.8,2.0,.545,.680,10.1,1.4,1.6,1
Kentucky Wildcats,.523,.343,.663,12.264705882352942,22.941176470588236,14.970588235294118,9.147058823529411,4.323529411764706,13.088235294117647,17.11764705882353,.560,.729,14.7,1.5,1.6,.444,.702,11.0,3.6,1.8,.522,.730,10.9,2.3,1.9,4
Lafayette Leopards,.471,.302,.735,10.178571428571429,25.607142857142858,12.392857142857142,6.107142857142857,3.0714285714285716,17.714285714285715,19.571428571428573,.436,.897,10.9,1.0,1.3,.537,.671,9.9,1.5,1.5,.321,.632,9.1,1.7,3.1,1
Louisville Cardinals,.516,.398,.723,12.868421052631579,25.94736842105263,15.526315789473685,8.605263157894736,3.8947368421052633,14.078947368421053,18.44736842105263,.496,.877,15.7,3.9,2.7,.570,.847,15.2,2.0,1.7,.440,.813,14.4,2.4,1.7,5
LSU Fighting Tigers,.510,.359,.730,11.633333333333333,24.933333333333334,14.733333333333333,6.966666666666667,4.233333333333333,13.5,16.333333333333332,.577,.777,17.3,0.8,1.8,.525,.698,13.5,1.0,1.7,.514,.663,13.1,1.9,1.6,1
Michigan State Spartans,.552,.356,.777,12.030303030303031,24.272727272727273,17.12121212121212,7.818181818181818,2.6363636363636362,13.666666666666666,19.393939393939394,.530,.822,14.1,1.8,1.8,.611,.877,13.2,1.7,1.6,.553,.670,12.3,1.6,2.0,5
Milwaukee Panthers,.506,.356,.703,13.15625,22.75,14.0625,8.34375,3.5625,13.59375,19.0625,.439,.810,17.4,1.8,1.7,.509,.723,16.2,2.3,2.6,.509,.831,10.2,1.3,1.7,2
Minnesota Golden Gophers,.493,.349,.706,11.65625,22.4375,14.15625,9.125,4.53125,16.125,16.0,.501,.739,17.9,2.4,2.7,.530,.743,11.2,2.2,2.7,.471,.789,8.4,2.9,2.3,1
Mississippi State Bulldogs,.490,.337,.665,14.470588235294118,26.38235294117647,13.970588235294118,6.823529411764706,3.3529411764705883,14.794117647058824,15.647058823529411,.466,.653,16.9,1.9,2.7,.500,.750,12.3,1.0,1.7,.465,.713,11.1,2.4,1.6,2
Montana Grizzlies,.506,.354,.677,10.387096774193548,25.677419354838708,13.67741935483871,5.870967741935484,3.0,17.032258064516128,17.193548387096776,.545,.724,15.2,1.2,3.2,.493,.775,12.3,2.1,1.9,.467,.804,9.4,3.5,3.1,1
NC State Wolfpack,.515,.370,.705,10.714285714285714,21.314285714285713,15.114285714285714,7.428571428571429,4.457142857142857,12.428571428571429,18.8,.530,.668,17.0,4.8,2.6,.480,.667,9.8,2.1,2.1,.567,.732,9.6,1.0,1.2,3
Nevada Wolf Pack,.500,.270,.707,12.34375,27.34375,15.0,7.03125,5.21875,14.53125,15.75,.554,.789,20.7,0.9,2.2,.561,.744,12.5,1.2,1.6,.468,.678,9.4,2.1,2.4,2
New Mexico Lobos,.561,.391,.679,9.909090909090908,24.242424242424242,14.878787878787879,7.636363636363637,3.484848484848485,13.757575757575758,16.90909090909091,.563,.755,18.8,2.4,2.4,.456,.532,11.0,2.5,1.9,.541,.747,10.5,2.8,1.7,1
Niagara Purple Eagles,.485,.359,.760,15.7,25.033333333333335,15.766666666666667,6.866666666666666,3.2666666666666666,12.9,18.933333333333334,.534,.815,23.5,1.3,2.3,.467,.752,17.1,2.7,2.2,.458,.783,13.2,6.4,2.5,1
UNC Tar Heels,.541,.403,.725,13.567567567567568,26.945945945945947,19.08108108108108,9.783783783783784,3.8378378378378377,16.054054054054053,17.89189189189189,.571,.758,17.5,1.7,2.5,.544,.722,16.0,2.7,1.9,.616,.813,13.1,1.4,1.5,7
Northern Iowa Panthers,.531,.381,.698,8.84375,24.625,15.34375,6.0,4.3125,11.65625,17.375,.509,.806,17.9,2.7,2.1,.535,.700,13.3,2.6,1.6,.578,.780,11.3,1.2,1.3,1
Oakland Golden Grizzlies,.504,.339,.665,12.0,20.625,14.8125,7.125,2.40625,12.1875,17.53125,.496,.731,19.9,2.2,3.2,.545,.573,18.1,2.2,2.0,.451,.703,9.5,3.9,2.4,0.5
Ohio Bobcats,.528,.328,.698,10.875,21.9375,11.6875,8.53125,2.6875,13.21875,17.84375,.506,.744,15.0,1.6,1.8,.563,.797,12.6,3.1,3.0,.644,.571,11.9,0.2,1.6,1
Oklahoma Sooners,.521,.372,.690,12.969696969696969,22.545454545454547,15.484848484848484,8.818181818181818,4.090909090909091,13.606060606060606,18.393939393939394,.557,.646,14.6,1.5,2.4,.480,.800,12.5,5.0,2.8,.594,.580,11.5,0.6,1.3,2
Oklahoma State Cowboys,.529,.426,.780,11.272727272727273,22.696969696969695,16.848484848484848,7.333333333333333,2.6363636363636362,13.727272727272727,18.151515151515152,.538,.887,17.7,2.0,2.7,.473,.905,17.7,4.1,1.6,.585,.754,12.5,1.6,2.0,3
Old Dominion Monarchs,.494,.337,.699,12.029411764705882,24.41176470588235,16.235294117647058,9.676470588235293,4.4411764705882355,12.235294117647058,17.558823529411764,.524,.779,14.1,1.6,1.7,.429,.761,13.4,2.1,1.9,.565,.711,10.4,1.0,1.6,1
