Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Akron Zips,.474,.332,.708,11.777777777777779,21.52777777777778,12.38888888888889,7.5,2.2222222222222223,13.61111111111111,20.694444444444443,.482,.683,11.2,1.1,1.9,.527,.813,10.3,1.5,2.0,.492,.654,9.2,1.1,1.4,1
Alabama State Hornets,.528,.329,.634,11.1875,24.125,13.90625,5.6875,4.78125,13.59375,17.4375,.541,.771,13.7,6.6,3.3,.494,.713,13.7,1.4,2.1,.570,.623,9.7,0.5,1.3,0.5
American Eagles,.522,.374,.648,9.4375,23.25,13.15625,5.5,2.46875,13.1875,18.15625,.421,.771,17.9,1.6,2.6,.619,.682,12.5,2.0,2.3,.494,.609,11.7,4.4,2.2,1
Arizona State Sun Devils,.571,.370,.737,8.228571428571428,22.771428571428572,15.542857142857143,5.742857142857143,2.057142857142857,11.457142857142857,15.914285714285715,.564,.756,20.1,4.2,3.4,.662,.779,14.5,0.9,1.2,.439,.714,10.3,1.6,1.3,2
Arizona Wildcats,.510,.387,.738,11.057142857142857,22.742857142857144,14.285714285714286,6.2,2.9714285714285715,12.628571428571428,15.657142857142857,.537,.654,18.3,1.5,2.9,.528,.801,18.0,3.4,2.4,.476,.848,15.7,4.6,2.9,3
Binghamton Bearcats,.493,.334,.670,11.15625,23.25,11.96875,7.09375,4.1875,13.46875,20.375,.543,.635,20.0,1.1,1.8,.545,.741,11.7,0.9,0.9,.431,.820,11.5,3.7,3.1,1
Boston College Eagles,.494,.334,.738,14.264705882352942,22.764705882352942,14.794117647058824,6.117647058823529,4.323529411764706,13.441176470588236,18.058823529411764,.468,.856,16.9,5.3,3.8,.477,.791,13.4,1.5,2.0,.538,.684,12.9,1.5,1.9,1
Butler Bulldogs,.510,.352,.724,10.25,23.9375,13.03125,6.03125,3.1875,12.5,17.75,.562,.773,14.8,1.1,1.6,.523,.815,13.1,2.0,1.7,.474,.757,11.9,3.5,2.1,1
BYU Cougars,.535,.381,.729,9.151515151515152,27.09090909090909,16.272727272727273,7.303030303030303,3.606060606060606,11.363636363636363,18.393939393939394,.558,.871,16.8,3.4,1.6,.534,.847,16.2,4.1,2.6,.482,.764,15.7,1.8,1.3,1
California Golden Bears,.503,.427,.755,10.090909090909092,23.636363636363637,15.424242424242424,4.818181818181818,2.0,12.090909090909092,16.96969696969697,.534,.863,18.3,5.0,2.9,.483,.830,14.5,2.1,1.7,.488,.792,13.1,2.5,2.2,1
Chattanooga Mocs,.498,.352,.657,12.514285714285714,26.742857142857144,13.628571428571428,6.228571428571429,2.257142857142857,15.742857142857142,18.514285714285716,.459,.797,18.1,1.5,1.7,.564,.629,13.7,1.4,2.5,.535,.773,13.4,2.5,2.3,1
