Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Arkansas-Pine Bluff Golden Lions,.445,.303,.668,12.411764705882353,25.41176470588235,12.382352941176471,6.735294117647059,3.5588235294117645,16.735294117647058,22.470588235294116,.375,.815,10.2,3.9,3.1,.352,.723,9.9,1.7,2.4,.452,.671,9.9,0.5,1.6,1
Baylor Bears,.536,.385,.725,12.305555555555555,26.805555555555557,14.11111111111111,6.583333333333333,6.722222222222222,13.63888888888889,17.75,.487,.857,19.6,1.9,2.5,.500,.788,15.0,5.9,2.5,.505,.685,13.9,2.7,2.4,4
Butler Bulldogs,.509,.342,.738,9.289473684210526,23.36842105263158,12.210526315789474,7.026315789473684,2.263157894736842,12.0,18.026315789473685,.592,.829,15.5,1.7,2.3,.502,.734,14.1,3.0,2.1,.490,.784,11.6,0.8,1.6,6
BYU Cougars,.516,.417,.790,10.194444444444445,26.805555555555557,15.75,8.527777777777779,3.5,11.583333333333334,17.25,.468,.892,22.1,4.7,2.7,.594,.744,12.5,2.7,1.2,.544,.917,11.3,1.5,1.2,2
California Golden Bears,.520,.374,.757,11.285714285714286,24.17142857142857,14.285714285714286,5.6571428571428575,2.4571428571428573,12.028571428571428,16.942857142857143,.509,.933,18.6,4.3,3.5,.512,.860,15.6,2.0,1.4,.527,.797,14.2,2.3,2.0,2
Clemson Tigers,.509,.342,.661,13.125,23.6875,14.15625,9.40625,4.71875,15.0,17.625,.547,.591,15.2,2.5,1.9,.483,.783,11.4,3.1,2.7,.458,.800,9.2,2.4,1.8,1
Cornell Big Red,.517,.430,.730,10.264705882352942,23.529411764705884,15.970588235294118,7.147058823529412,3.588235294117647,12.176470588235293,17.58823529411765,.538,.826,17.5,1.8,1.7,.525,.841,12.8,4.7,2.2,.625,.592,12.3,2.3,2.5,3
Duke Blue Devils,.470,.385,.759,14.225,24.775,13.875,6.65,4.05,10.725,18.05,.418,.878,18.2,4.9,1.6,.424,.798,17.7,2.4,2.0,.460,.767,17.4,3.0,1.8,7
Florida Gators,.506,.313,.703,13.382352941176471,23.823529411764707,14.088235294117647,7.147058823529412,2.764705882352941,12.441176470588236,14.735294117647058,.479,.747,14.0,2.7,2.0,.329,.812,12.6,4.9,2.5,.572,.662,12.4,2.6,2.0,1
Florida State Seminoles,.507,.334,.644,12.6875,25.15625,13.9375,8.34375,6.25,16.5,17.96875,.534,.794,11.7,0.5,1.9,.494,.496,10.2,2.2,3.0,.800,.500,10.0,3.0,1.0,1
