Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Alabama Crimson Tide,.472,.322,.713,13.413793103448276,23.79310344827586,12.137931034482758,6.448275862068965,3.8620689655172415,13.10344827586207,18.17241379310345,.539,.838,16.4,3.9,3.0,.519,.717,14.8,1.1,2.1,.427,.667,11.1,2.0,2.5,1
Arizona State Sun Devils,.526,.324,.674,13.5625,22.75,15.8125,5.40625,4.34375,13.65625,19.5625,.625,.735,19.0,0.8,2.8,.529,.721,15.9,2.5,1.7,.507,.574,11.2,2.7,3.0,2
Arizona Wildcats,.508,.353,.709,14.96875,27.96875,17.78125,8.5625,4.25,14.625,17.46875,.462,.776,14.8,4.9,2.8,.519,.864,13.0,1.8,2.1,.571,.664,12.6,0.7,1.0,4
Auburn Tigers,.517,.346,.660,12.264705882352942,23.029411764705884,13.441176470588236,7.911764705882353,5.176470588235294,15.911764705882353,16.5,.566,.673,18.4,3.3,3.0,.575,.685,13.3,1.0,2.9,.470,.812,9.8,1.5,1.8,3
Austin Peay Governors,.517,.347,.690,10.935483870967742,24.032258064516128,13.67741935483871,7.258064516129032,4.612903225806452,15.35483870967742,18.29032258064516,.595,.634,15.5,1.6,2.3,.471,.708,14.0,2.4,2.5,.639,.684,12.8,1.8,2.8,1
Butler Bulldogs,.536,.392,.719,7.909090909090909,20.060606060606062,12.727272727272727,6.2727272727272725,1.7878787878787878,10.696969696969697,16.0,.464,.816,11.9,3.4,2.2,.549,.481,11.7,2.9,3.0,.672,.667,10.9,0.5,0.8,3
BYU Cougars,.502,.375,.755,11.03125,24.40625,13.375,6.9375,2.5625,13.625,21.5,.480,.799,16.8,2.4,2.6,.453,.830,13.9,2.3,1.8,.569,.642,12.0,1.2,3.0,1
California Golden Bears,.503,.374,.681,11.290322580645162,24.032258064516128,15.709677419354838,6.548387096774194,2.806451612903226,13.96774193548387,17.193548387096776,.571,.759,20.4,2.3,1.9,.506,.653,15.1,3.0,2.1,.422,.800,14.9,3.0,2.5,2
Central Michigan Chippewas,.561,.390,.762,10.84375,22.875,15.75,7.40625,3.75,18.03125,20.5625,.622,.749,22.4,1.2,4.4,.579,.766,16.6,1.2,2.4,.575,.869,14.3,3.3,2.8,2
Cincinnati Bearcats,.435,.344,.690,12.620689655172415,22.896551724137932,12.310344827586206,5.241379310344827,4.310344827586207,10.586206896551724,19.17241379310345,.468,.708,15.7,3.2,2.7,.446,.672,11.9,0.4,1.8,.323,.907,11.6,0.8,0.5,1
Colorado Buffaloes,.482,.326,.669,14.40625,27.8125,13.25,6.125,6.6875,13.96875,17.75,.482,.777,16.9,3.4,2.2,.547,.563,13.9,0.5,2.3,.505,.803,12.9,1.8,1.1,1
Colorado State Rams,.546,.361,.697,11.333333333333334,24.272727272727273,15.575757575757576,5.424242424242424,4.515151515151516,16.757575757575758,20.666666666666668,.643,.684,17.0,1.2,1.9,.508,.814,13.9,2.3,2.1,.622,.732,10.8,3.1,2.2,1
Creighton Bluejays,.557,.390,.693,10.970588235294118,23.0,16.91176470588235,8.323529411764707,4.5,13.558823529411764,17.38235294117647,.443,.908,17.8,3.1,2.0,.547,.745,11.1,1.2,1.5,.663,.657,8.4,0.3,1.1,1
Dayton Flyers,.508,.359,.714,13.433333333333334,22.933333333333334,15.066666666666666,5.3,2.933333333333333,13.233333333333333,17.633333333333333,.529,.765,12.8,2.3,1.8,.577,.779,12.7,1.0,1.5,.459,.658,12.2,4.8,1.9,1
Duke Blue Devils,.499,.363,.712,13.06060606060606,23.484848484848484,13.454545454545455,8.666666666666666,5.393939393939394,14.0,21.151515151515152,.498,.749,17.7,0.9,1.9,.439,.919,15.0,2.0,1.6,.447,.821,12.0,1.4,2.0,3
Florida Gators,.532,.390,.703,10.666666666666666,24.151515151515152,16.424242424242426,7.545454545454546,3.9696969696969697,13.272727272727273,16.939393939393938,.531,.733,15.2,1.5,1.6,.432,.820,12.3,1.8,1.5,.504,.739,12.2,3.1,2.9,2
Gonzaga Bulldogs,.516,.376,.724,11.93939393939394,25.454545454545453,15.757575757575758,6.606060606060606,3.515151515151515,14.363636363636363,18.757575757575758,.472,.833,18.0,6.0,3.3,.526,.760,15.6,0.6,1.9,.525,.574,11.4,1.0,1.6,2
Holy Cross Crusaders,.502,.362,.708,12.161290322580646,24.322580645161292,15.774193548387096,7.935483870967742,4.451612903225806,13.741935483870968,18.612903225806452,.563,.759,12.4,0.8,1.6,.524,.893,11.5,1.6,1.8,.422,.712,11.4,1.4,1.8,1
Illinois Fighting Illini,.541,.366,.725,9.53125,25.875,17.96875,7.09375,3.125,13.0625,18.6875,.526,.820,20.0,2.0,2.8,.529,.681,12.0,5.0,1.9,.661,.579,8.7,0.4,0.8,2
Indiana Hoosiers,.475,.349,.718,11.382352941176471,24.91176470588235,13.823529411764707,4.294117647058823,5.147058823529412,11.529411764705882,18.029411764705884,.487,.752,16.2,2.1,2.1,.446,.748,14.9,2.0,2.3,.449,.821,11.9,4.5,1.9,2
IUPUI Jaguars,.503,.343,.700,11.882352941176471,21.0,13.441176470588236,8.5,1.7941176470588236,16.08823529411765,19.235294117647058,.531,.687,14.7,1.6,2.6,.579,.638,12.7,1.3,2.0,.606,.682,12.2,2.6,2.2,1
Kansas Jayhawks,.541,.335,.656,14.473684210526315,27.342105263157894,17.18421052631579,9.81578947368421,5.052631578947368,14.789473684210526,16.657894736842106,.571,.635,18.5,2.2,2.4,.532,.704,17.3,3.5,2.2,.578,.635,15.9,2.0,1.9,6
Kentucky Wildcats,.539,.356,.704,12.777777777777779,24.0,15.944444444444445,7.805555555555555,4.888888888888889,13.916666666666666,17.36111111111111,.528,.738,15.7,2.7,2.2,.520,.765,12.3,2.4,1.6,.596,.560,11.6,1.1,1.7,4
