Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Alabama-Birmingham Blazers,.468,.333,.738,12.055555555555555,24.666666666666668,14.333333333333334,6.583333333333333,5.111111111111111,13.38888888888889,17.5,.458,.738,13.7,3.0,2.1,.494,.794,8.0,1.1,1.4,.543,.662,7.9,0.5,1.0,2
Albany (NY) Great Danes,.479,.358,.758,10.121212121212121,23.545454545454547,10.575757575757576,5.666666666666667,1.606060606060606,11.545454545454545,16.484848484848484,.512,.820,13.9,1.8,2.7,.525,.756,13.7,2.3,1.8,.421,.809,13.0,2.8,2.0,1
Arizona Wildcats,.533,.360,.719,10.81578947368421,26.0,13.894736842105264,7.2368421052631575,3.4473684210526314,11.026315789473685,17.92105263157895,.478,.742,13.8,1.7,2.2,.537,.703,12.2,0.7,1.4,.537,.707,11.2,1.6,1.6,4
Arkansas Razorbacks,.488,.349,.724,13.055555555555555,22.77777777777778,16.083333333333332,7.694444444444445,4.666666666666667,11.944444444444445,19.0,.541,.737,17.5,1.2,1.6,.504,.775,15.9,1.7,1.7,.474,.862,9.6,4.6,2.3,2
Baylor Bears,.462,.377,.674,14.617647058823529,24.58823529411765,14.617647058823529,7.735294117647059,3.8823529411764706,12.764705882352942,16.61764705882353,.530,.644,13.9,1.3,2.0,.459,.618,11.6,0.5,1.0,.385,.824,11.3,4.1,2.6,1
Belmont Bruins,.565,.380,.692,9.303030303030303,23.818181818181817,15.272727272727273,6.333333333333333,2.0,13.666666666666666,16.636363636363637,.556,.747,18.3,3.1,3.1,.703,.648,14.2,1.3,2.5,.597,.433,10.6,1.3,0.8,1
Boise State Broncos,.501,.392,.729,8.764705882352942,24.147058823529413,12.029411764705882,6.0588235294117645,2.323529411764706,10.235294117647058,17.11764705882353,.522,.771,19.4,3.0,2.1,.500,.767,15.0,1.6,1.3,.677,.655,11.2,0.6,1.0,0.5
Buffalo Bulls,.476,.341,.719,12.727272727272727,25.454545454545453,13.121212121212121,7.515151515151516,4.0,11.454545454545455,18.575757575757574,.526,.730,17.5,0.6,2.2,.437,.799,15.4,4.6,2.5,.508,.692,9.7,0.6,1.5,1
Butler Bulldogs,.463,.356,.686,12.0,24.441176470588236,11.382352941176471,6.382352941176471,3.0294117647058822,11.058823529411764,17.41176470588235,.445,.850,16.5,0.9,1.5,.421,.606,12.7,3.7,2.6,.480,.617,11.2,1.7,1.3,2
BYU Cougars,.509,.393,.766,12.028571428571428,26.514285714285716,16.97142857142857,7.3428571428571425,2.942857142857143,11.914285714285715,20.6,.522,.873,22.2,2.4,2.0,.484,.736,13.8,6.0,2.9,.427,.785,13.2,2.0,1.4,0.5
