Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Cincinnati Bearcats,.496,.329,.670,11.264705882352942,23.38235294117647,11.588235294117647,6.529411764705882,5.4411764705882355,12.705882352941176,14.911764705882353,.560,.689,9.9,1.3,2.2,.461,.788,9.6,3.6,2.1,.460,.792,8.5,1.4,1.1,2
Coastal Carolina Chanticleers,.480,.360,.690,13.147058823529411,26.205882352941178,11.323529411764707,7.0588235294117645,3.264705882352941,11.735294117647058,16.441176470588236,.477,.872,13.4,3.2,2.6,.483,.752,12.8,1.5,1.5,.396,.709,11.3,0.6,1.2,1
Davidson Wildcats,.530,.391,.705,10.46875,25.28125,17.09375,5.34375,2.90625,9.46875,18.78125,.513,.789,16.7,4.1,1.4,.530,.856,16.2,4.8,2.5,.472,.764,12.7,3.9,1.4,1
Dayton Flyers,.526,.357,.686,7.083333333333333,24.055555555555557,13.61111111111111,6.944444444444445,2.5277777777777777,11.527777777777779,15.916666666666666,.610,.788,16.1,2.0,1.8,.508,.676,12.7,2.9,2.0,.559,.580,12.7,1.1,2.4,2
Duke Blue Devils,.559,.387,.699,11.41025641025641,25.41025641025641,15.076923076923077,7.128205128205129,3.8205128205128207,10.794871794871796,15.564102564102564,.664,.510,17.3,1.3,2.5,.536,.891,15.3,2.6,1.2,.516,.641,12.6,2.1,1.8,7
Eastern Washington Eagles,.534,.400,.726,10.028571428571428,23.771428571428572,12.971428571428572,6.257142857142857,4.771428571428571,10.742857142857142,17.82857142857143,.528,.852,23.1,2.6,2.0,.620,.540,16.7,2.0,2.3,.495,.810,9.7,4.7,1.8,1
Georgetown Hoyas,.505,.353,.704,11.121212121212121,23.78787878787879,12.93939393939394,7.606060606060606,4.7272727272727275,12.575757575757576,20.242424242424242,.455,.861,16.3,3.2,1.6,.621,.646,10.8,1.2,2.0,.551,.680,9.1,2.4,1.8,2
Georgia Bulldogs,.472,.342,.692,10.909090909090908,27.272727272727273,12.454545454545455,5.545454545454546,4.575757575757576,12.727272727272727,18.424242424242426,.502,.691,12.3,1.0,1.5,.457,.713,11.7,1.6,1.5,.431,.668,11.2,3.6,3.2,1
Georgia State Panthers,.537,.333,.725,9.2,22.685714285714287,13.685714285714285,9.17142857142857,4.085714285714285,10.457142857142857,18.34285714285714,.488,.878,19.7,3.6,2.2,.543,.717,18.3,3.6,1.9,.600,.674,9.7,1.8,1.7,2
Gonzaga Bulldogs,.576,.400,.691,10.289473684210526,27.63157894736842,16.31578947368421,5.947368421052632,3.3157894736842106,10.447368421052632,16.763157894736842,.576,.789,16.8,1.9,1.1,.478,.824,11.6,4.8,1.3,.620,.504,10.9,1.3,1.8,4
Hampton Pirates,.456,.304,.652,11.885714285714286,25.02857142857143,10.628571428571428,6.714285714285714,4.0285714285714285,14.114285714285714,21.485714285714284,.541,.677,13.0,0.7,2.7,.387,.594,11.9,1.7,1.5,.534,.617,10.6,0.9,2.0,1
Harvard Crimson,.462,.354,.719,10.533333333333333,23.633333333333333,12.8,7.1,4.5,11.633333333333333,15.733333333333333,.460,.773,16.6,4.3,2.6,.371,.814,9.9,4.3,2.3,.461,.720,9.6,0.9,1.6,1
Indiana Hoosiers,.502,.406,.719,11.970588235294118,24.029411764705884,13.911764705882353,5.0,3.176470588235294,11.529411764705882,17.823529411764707,.460,.860,16.3,4.9,1.9,.450,.806,15.7,1.5,1.6,.544,.742,13.0,2.0,2.2,1
Iowa Hawkeyes,.473,.333,.744,12.411764705882353,25.058823529411764,14.176470588235293,6.411764705882353,4.647058823529412,11.088235294117647,15.764705882352942,.558,.819,16.4,1.4,1.2,.468,.737,12.4,1.7,1.0,.520,.750,8.1,0.4,1.1,2
Iowa State Cyclones,.543,.362,.696,9.5,26.41176470588235,16.058823529411764,6.411764705882353,3.911764705882353,11.029411764705882,15.5,.485,.808,15.3,3.4,2.7,.547,.753,11.9,5.2,1.1,.583,.598,11.0,0.6,1.2,1
Kansas Jayhawks,.464,.379,.724,11.833333333333334,26.055555555555557,13.194444444444445,6.583333333333333,4.861111111111111,12.86111111111111,17.75,.467,.730,13.8,1.2,1.7,.446,.786,12.6,3.9,2.1,.395,.657,9.4,2.6,2.1,2
Kentucky Wildcats,.512,.349,.726,12.58974358974359,25.41025641025641,14.179487179487179,6.487179487179487,6.871794871794871,10.461538461538462,17.05128205128205,.475,.782,11.0,1.4,0.9,.577,.813,10.3,1.1,1.4,.527,.828,10.0,1.1,1.0,5
Lafayette Leopards,.527,.408,.767,8.545454545454545,22.272727272727273,15.575757575757576,5.484848484848484,2.515151515151515,11.090909090909092,15.606060606060606,.576,.780,17.3,1.3,2.3,.564,.839,13.1,2.5,2.1,.527,.850,12.5,5.2,2.0,1
Louisville Cardinals,.484,.307,.668,12.61111111111111,24.916666666666668,11.63888888888889,7.861111111111111,5.333333333333333,11.333333333333334,17.305555555555557,.456,.790,17.1,3.0,2.2,.602,.597,15.7,1.4,2.0,.403,.730,13.7,3.6,2.3,4
LSU Fighting Tigers,.501,.339,.684,12.151515151515152,27.060606060606062,15.636363636363637,7.2727272727272725,6.181818181818182,14.424242424242424,15.636363636363637,.545,.690,16.9,1.8,2.8,.514,.646,15.4,1.3,3.3,.449,.784,13.4,2.1,1.4,1
Manhattan Jaspers,.488,.336,.691,10.454545454545455,21.818181818181817,13.93939393939394,8.0,2.787878787878788,14.575757575757576,22.96969696969697,.524,.703,16.3,3.5,4.1,.529,.696,13.4,0.9,2.3,.493,.813,13.2,1.7,1.4,0.5
Maryland Terrapins,.480,.376,.756,8.971428571428572,25.97142857142857,10.742857142857142,4.828571428571428,4.314285714285714,12.314285714285715,16.685714285714287,.468,.863,16.2,3.0,2.5,.455,.806,15.1,2.8,3.3,.530,.752,12.5,1.4,1.9,2
Michigan State Spartans,.508,.385,.632,11.179487179487179,26.205128205128204,16.564102564102566,5.205128205128205,4.512820512820513,11.307692307692308,18.923076923076923,.425,.715,15.3,5.1,1.8,.475,.826,14.5,4.3,2.4,.535,.490,11.9,1.7,1.9,5
NC State Wolfpack,.473,.357,.686,12.083333333333334,25.944444444444443,11.527777777777779,3.8333333333333335,5.111111111111111,10.416666666666666,17.694444444444443,.473,.738,15.7,3.5,1.9,.448,.838,12.8,1.0,1.0,.455,.733,12.1,3.7,2.1,3
New Mexico State Aggies,.495,.367,.694,12.588235294117647,22.676470588235293,11.941176470588236,6.4411764705882355,3.6470588235294117,13.823529411764707,15.911764705882353,.464,.766,13.2,1.0,1.8,.576,.759,12.8,1.3,1.9,.449,.705,12.4,2.7,2.3,1
UNC Tar Heels,.510,.358,.701,13.842105263157896,26.710526315789473,17.394736842105264,6.605263157894737,4.2105263157894735,12.657894736842104,19.42105263157895,.438,.865,14.1,4.5,1.9,.566,.678,12.9,0.9,1.5,.564,.641,11.4,1.1,1.6,3
Northern Iowa Panthers,.533,.398,.733,7.285714285714286,23.314285714285713,11.8,5.914285714285715,2.4,10.371428571428572,14.514285714285714,.633,.764,15.3,3.3,2.8,.529,.800,7.7,0.1,0.6,.511,.681,7.6,2.6,1.9,2
Notre Dame Fighting Irish,.582,.390,.742,8.236842105263158,24.157894736842106,15.157894736842104,6.7368421052631575,3.6315789473684212,9.394736842105264,14.210526315789474,.572,.780,16.5,6.7,2.2,.619,.636,12.9,0.8,1.6,.537,.781,12.5,1.5,1.2,4
Ohio State Buckeyes,.536,.370,.680,11.057142857142857,24.4,15.257142857142858,7.6,5.085714285714285,11.314285714285715,16.085714285714285,.479,.756,19.3,5.0,2.9,.549,.688,10.2,1.8,1.3,.458,.768,9.4,0.6,1.2,2
Oklahoma Sooners,.482,.343,.741,11.114285714285714,26.942857142857143,12.285714285714286,6.771428571428571,4.9714285714285715,11.971428571428572,16.285714285714285,.469,.823,17.4,1.9,1.9,.407,.648,11.7,2.2,2.1,.525,.691,11.6,1.5,1.9,3
Oklahoma State Cowboys,.497,.349,.726,8.96875,23.5,11.4375,7.90625,4.875,12.25,19.1875,.482,.791,17.2,2.0,3.2,.479,.840,15.0,1.7,1.9,.459,.414,9.8,3.4,1.6,1
Ole Miss Rebels,.468,.332,.773,12.647058823529411,25.11764705882353,13.235294117647058,6.617647058823529,3.764705882352941,11.117647058823529,19.647058823529413,.427,.903,16.6,2.4,2.0,.371,.750,12.0,4.8,2.0,.430,.747,11.1,1.3,1.5,1
Oregon Ducks,.514,.362,.760,10.333333333333334,25.72222222222222,14.11111111111111,5.75,4.361111111111111,11.694444444444445,18.194444444444443,.516,.925,20.7,3.8,2.4,.538,.731,13.0,1.6,2.2,.496,.825,11.5,1.8,2.0,2
Providence Friars,.489,.313,.707,12.088235294117647,24.029411764705884,13.941176470588236,7.117647058823529,4.5588235294117645,11.970588235294118,18.470588235294116,.508,.759,19.7,0.9,2.0,.505,.686,15.6,7.5,4.2,.473,.734,9.9,1.0,1.1,1
Purdue Boilermakers,.508,.327,.683,12.029411764705882,24.705882352941178,14.852941176470589,5.4411764705882355,5.205882352941177,13.058823529411764,18.88235294117647,.553,.669,11.9,0.9,2.1,.500,.730,10.7,2.6,1.9,.538,.724,9.3,2.6,1.5,1
Robert Morris Colonials,.474,.375,.709,10.485714285714286,22.714285714285715,12.228571428571428,8.571428571428571,2.857142857142857,13.342857142857143,18.571428571428573,.524,.750,15.6,1.8,1.4,.509,.779,15.1,2.1,2.6,.455,.789,14.3,1.4,2.4,1
San Diego State Aztecs,.461,.320,.630,12.194444444444445,23.083333333333332,10.472222222222221,6.861111111111111,4.972222222222222,11.38888888888889,14.055555555555555,.429,.671,11.1,1.9,2.4,.467,.704,10.7,1.5,1.3,.484,.645,10.3,2.4,1.5,2
SMU Mustangs,.509,.363,.703,11.411764705882353,25.176470588235293,15.411764705882353,6.970588235294118,4.294117647058823,12.529411764705882,16.205882352941178,.425,.889,14.5,5.1,2.6,.557,.642,11.9,1.1,1.5,.550,.640,11.1,1.0,1.8,1
Stephen F. Austin Lumberjacks,.551,.379,.736,12.147058823529411,22.441176470588236,17.529411764705884,7.617647058823529,3.5294117647058822,14.0,21.58823529411765,.613,.744,15.6,3.7,2.1,.560,.837,13.9,1.6,1.6,.533,.800,8.6,1.7,1.2,1
Texas Longhorns,.482,.339,.724,12.411764705882353,27.323529411764707,13.0,3.764705882352941,7.794117647058823,12.794117647058824,16.323529411764707,.421,.842,13.1,4.6,2.6,.443,.778,10.3,1.1,1.5,.513,.839,10.1,0.6,1.4,1
Texas Southern Tigers,.500,.322,.661,11.257142857142858,22.82857142857143,10.714285714285714,6.114285714285714,3.1142857142857143,12.971428571428572,17.4,.487,.675,14.2,4.2,2.9,.519,.562,12.6,1.6,2.5,.500,.771,11.8,1.9,2.7,1
UC-Irvine Anteaters,.493,.389,.684,9.676470588235293,25.558823529411764,14.117647058823529,5.705882352941177,4.9411764705882355,11.647058823529411,17.0,.544,.707,12.9,1.0,1.3,.640,.526,10.5,0.1,1.5,.427,.722,10.5,4.0,2.6,1
UCLA Bruins,.474,.368,.676,12.222222222222221,25.75,13.833333333333334,6.611111111111111,3.861111111111111,11.944444444444445,17.916666666666668,.503,.751,16.4,2.1,2.2,.402,.838,15.4,4.9,2.5,.481,.626,11.6,1.4,1.3,3
Utah Utes,.529,.404,.703,9.2,25.2,13.971428571428572,5.942857142857143,5.0,11.628571428571428,16.6,.554,.836,14.5,5.1,1.9,.459,.857,10.6,3.3,1.7,.389,.873,10.0,1.0,1.4,3
Valparaiso Crusaders,.494,.381,.675,11.676470588235293,25.852941176470587,13.029411764705882,5.970588235294118,4.617647058823529,12.411764705882353,16.558823529411764,.507,.829,16.8,1.2,1.4,.409,.639,10.7,1.8,1.6,.487,.718,10.3,1.7,1.5,1
VCU Rams,.469,.343,.657,12.333333333333334,23.13888888888889,12.666666666666666,9.5,4.25,10.63888888888889,19.166666666666668,.462,.691,16.2,1.6,1.2,.466,.785,12.4,1.8,1.0,.381,.802,8.5,2.7,2.2,1
Villanova Wildcats,.530,.389,.731,10.305555555555555,24.0,15.833333333333334,7.722222222222222,4.055555555555555,10.61111111111111,16.555555555555557,.500,.796,14.3,2.1,1.2,.419,.813,10.1,3.6,1.3,.558,.670,10.1,1.5,1.1,2
Virginia Cavaliers,.497,.352,.726,10.529411764705882,25.705882352941178,12.647058823529411,5.470588235294118,4.205882352941177,9.294117647058824,14.235294117647058,.463,.879,14.0,2.4,1.7,.479,.780,12.2,1.7,1.2,.584,.677,11.6,0.9,1.1,2
West Virginia Mountaineers,.455,.316,.662,16.428571428571427,19.914285714285715,14.114285714285714,10.742857142857142,2.742857142857143,12.942857142857143,23.457142857142856,.433,.702,14.2,4.6,2.0,.447,.702,11.6,1.3,2.2,.423,.770,8.1,1.8,1.2,3
Wichita State Shockers,.492,.357,.701,11.857142857142858,23.714285714285715,13.6,7.142857142857143,3.8285714285714287,9.342857142857143,16.771428571428572,.489,.758,14.7,2.5,1.1,.464,.796,13.6,5.2,1.7,.522,.645,11.4,0.5,1.1,3
Wisconsin Badgers,.548,.365,.763,9.575,23.875,12.6,4.35,3.175,7.4,12.525,.581,.780,18.8,2.6,1.6,.639,.708,13.9,1.2,0.9,.541,.744,12.4,2.0,1.3,6
Wofford Terriers,.494,.372,.688,9.257142857142858,23.285714285714285,13.17142857142857,6.514285714285714,2.4857142857142858,10.82857142857143,16.82857142857143,.420,.649,14.6,2.7,1.6,.508,.795,11.8,1.4,1.3,.500,.689,9.9,2.1,1.5,1
Wyoming Cowboys,.551,.326,.702,6.171428571428572,23.742857142857144,14.314285714285715,5.457142857142857,2.914285714285714,11.2,13.742857142857142,.538,.786,16.1,2.5,2.3,.524,.743,12.8,3.6,2.6,.415,.939,9.1,2.1,1.4,1
Xavier Musketeers,.537,.351,.730,9.837837837837839,24.81081081081081,16.10810810810811,6.027027027027027,2.864864864864865,12.08108108108108,17.864864864864863,.621,.764,12.3,2.4,2.0,.497,.746,11.0,1.9,1.4,.407,.872,10.6,2.1,1.4,3
