Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Akron Zips,.473,.361,.704,10.083333333333334,24.305555555555557,14.444444444444445,6.666666666666667,3.5833333333333335,12.0,19.22222222222222,.457,.717,11.7,2.1,2.1,.487,.729,10.2,0.8,0.9,.500,.893,10.0,1.4,1.2,1
Alabama-Birmingham Blazers,.503,.342,.717,11.35483870967742,24.419354838709676,13.548387096774194,5.290322580645161,3.129032258064516,12.483870967741936,16.580645161290324,.467,.807,17.8,1.9,2.9,.512,.663,14.0,0.9,1.5,.503,.779,11.8,7.7,3.5,0.5
Alabama State Hornets,.448,.283,.603,13.142857142857142,23.17142857142857,11.542857142857143,7.285714285714286,4.6571428571428575,15.742857142857142,22.2,.515,.709,12.4,0.5,1.1,.426,.513,10.7,1.5,2.1,.472,.653,8.8,0.8,1.6,0.5
Arizona Wildcats,.510,.397,.746,10.736842105263158,23.973684210526315,14.105263157894736,5.184210526315789,2.5789473684210527,12.736842105263158,18.605263157894736,.601,.746,19.5,1.1,2.6,.453,.828,9.7,2.4,1.9,.396,.747,8.1,2.6,1.4,4
Belmont Bruins,.522,.378,.736,12.885714285714286,23.057142857142857,16.428571428571427,9.657142857142857,3.3714285714285714,13.714285714285714,20.82857142857143,.542,.818,12.2,1.8,1.5,.544,.716,10.8,0.6,1.3,.511,.726,9.9,0.3,1.2,1
Boston University Terriers,.433,.355,.729,11.82857142857143,23.857142857142858,9.857142857142858,5.4,3.6857142857142855,11.942857142857143,18.142857142857142,.429,.860,19.2,1.6,2.1,.440,.760,14.3,1.4,2.9,.452,.704,10.9,0.4,1.7,1
Bucknell Bison,.467,.400,.788,7.9411764705882355,25.852941176470587,14.441176470588236,4.705882352941177,3.1176470588235294,11.176470588235293,18.0,.521,.816,14.9,1.4,1.7,.436,.817,11.7,1.1,1.1,.467,.859,8.7,0.6,0.8,1
Butler Bulldogs,.485,.352,.726,11.342105263157896,23.842105263157894,11.894736842105264,5.947368421052632,1.605263157894737,10.947368421052632,18.894736842105264,.508,.792,16.4,1.4,1.7,.462,.769,16.0,3.4,2.4,.596,.673,8.5,0.6,0.8,6
BYU Cougars,.504,.361,.765,11.35135135135135,27.16216216216216,14.54054054054054,8.054054054054054,4.054054054054054,10.91891891891892,17.486486486486488,.491,.894,28.9,4.3,3.5,.596,.829,12.5,2.6,0.9,.525,.674,11.1,1.5,1.5,3
Cincinnati Bearcats,.488,.338,.668,12.971428571428572,22.37142857142857,14.2,7.371428571428571,3.6857142857142855,11.457142857142857,17.285714285714285,.521,.579,11.9,1.2,1.3,.459,.762,11.6,1.9,1.3,.489,.722,9.7,1.5,1.2,2
Clemson Tigers,.495,.344,.701,11.294117647058824,23.323529411764707,13.088235294117647,8.0,4.735294117647059,13.205882352941176,18.352941176470587,.482,.732,14.5,3.3,2.1,.571,.711,12.4,0.8,1.5,.423,.705,11.1,3.0,1.2,1
Duke Blue Devils,.525,.374,.753,12.054054054054054,25.756756756756758,14.297297297297296,7.27027027027027,4.378378378378378,12.08108108108108,17.756756756756758,.501,.813,20.6,5.1,3.2,.569,.901,17.5,4.3,2.5,.497,.806,16.9,1.6,1.9,3
Florida Gators,.517,.352,.669,12.621621621621621,24.783783783783782,14.08108108108108,5.972972972972973,3.5405405405405403,12.216216216216216,14.72972972972973,.443,.778,14.6,3.4,2.4,.452,.823,14.2,2.6,1.4,.593,.451,11.6,0.8,1.7,4
Florida State Seminoles,.485,.334,.665,12.411764705882353,26.764705882352942,12.441176470588236,8.470588235294118,5.970588235294118,15.911764705882353,19.147058823529413,.466,.667,13.1,1.2,2.2,.554,.755,10.4,3.6,2.0,.426,.776,8.8,2.2,2.5,3
George Mason Patriots,.504,.395,.689,10.705882352941176,24.235294117647058,14.205882352941176,6.588235294117647,3.235294117647059,11.058823529411764,17.08823529411765,.506,.750,15.1,2.9,2.0,.529,.708,14.2,1.2,1.6,.542,.810,10.9,4.3,2.3,2
