Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Arizona Wildcats,.515,.390,.765,10.27027027027027,26.43243243243243,13.54054054054054,5.4324324324324325,3.2162162162162162,11.162162162162161,16.89189189189189,.514,.810,17.2,2.7,1.7,.545,.835,15.6,0.9,1.1,.521,.733,10.9,2.1,1.8,3
Arkansas Razorbacks,.500,.365,.761,11.13888888888889,24.916666666666668,13.805555555555555,7.722222222222222,4.722222222222222,11.88888888888889,20.52777777777778,.490,.908,14.4,1.2,1.7,.531,.866,13.4,2.2,1.8,.503,.752,12.8,2.0,1.9,2
Baylor Bears,.525,.359,.723,12.885714285714286,25.085714285714285,15.542857142857143,5.142857142857143,4.742857142857143,13.4,17.62857142857143,.541,.699,17.3,2.3,2.9,.450,.830,12.2,3.8,2.0,.471,.828,9.4,1.2,1.5,3
Bucknell Bison,.543,.379,.681,8.628571428571428,25.742857142857144,14.571428571428571,7.2,3.8285714285714287,13.314285714285715,18.714285714285715,.510,.814,15.9,3.4,3.1,.630,.561,15.0,1.2,2.1,.526,.832,11.9,2.4,1.6,1
Butler Bulldogs,.545,.366,.741,8.441176470588236,23.647058823529413,13.323529411764707,6.0588235294117645,2.823529411764706,10.176470588235293,18.823529411764707,.489,.784,16.0,1.2,1.9,.484,.761,11.4,3.1,1.7,.557,.756,10.1,1.5,1.5,3
Cincinnati Bearcats,.521,.346,.686,12.13888888888889,24.75,15.472222222222221,7.25,4.805555555555555,10.027777777777779,15.722222222222221,.521,.732,13.5,2.7,1.3,.530,.711,12.9,0.9,1.5,.581,.697,10.8,2.1,1.2,2
Creighton Bluejays,.565,.397,.682,8.257142857142858,26.685714285714287,17.085714285714285,6.085714285714285,2.914285714285714,12.428571428571429,16.62857142857143,.541,.701,18.2,2.4,2.2,.683,.517,12.9,1.2,1.7,.516,.692,12.9,8.5,3.7,1
Dayton Flyers,.515,.385,.690,8.65625,25.625,15.625,7.78125,4.0,11.75,18.78125,.488,.702,15.8,2.8,2.1,.553,.641,14.0,1.5,1.8,.532,.772,13.8,4.5,2.2,1
Duke Blue Devils,.536,.378,.762,10.54054054054054,25.7027027027027,13.08108108108108,6.108108108108108,4.648648648648648,11.378378378378379,18.243243243243242,.525,.856,19.5,2.5,1.6,.504,.849,16.8,2.1,2.6,.444,.811,14.5,3.5,2.2,2
Florida Gators,.503,.358,.729,11.555555555555555,25.416666666666668,12.5,7.555555555555555,4.638888888888889,11.972222222222221,18.36111111111111,.520,.883,14.0,1.5,1.3,.488,.883,11.4,0.6,0.9,.524,.723,11.1,0.6,1.1,4
Florida Gulf Coast Eagles,.569,.347,.702,11.147058823529411,26.176470588235293,15.5,6.088235294117647,3.411764705882353,12.382352941176471,18.676470588235293,.603,.791,18.5,4.1,2.1,.410,.632,11.9,3.1,2.7,.756,.621,10.5,0.5,1.3,1
Florida State Seminoles,.544,.347,.689,11.685714285714285,26.142857142857142,14.6,7.4,5.142857142857143,11.857142857142858,19.542857142857144,.516,.754,17.2,1.7,2.0,.593,.780,12.0,1.2,1.5,.547,.530,10.6,4.8,1.9,2
Gonzaga Bulldogs,.564,.382,.717,9.692307692307692,31.0,15.256410256410257,6.794871794871795,4.6923076923076925,11.487179487179487,16.923076923076923,.527,.867,16.8,4.7,2.1,.588,.594,12.2,1.9,1.8,.431,.733,10.6,1.5,0.8,6
Iona Gaels,.493,.397,.768,9.628571428571428,26.085714285714285,15.457142857142857,6.828571428571428,3.085714285714286,12.028571428571428,19.114285714285714,.555,.686,18.0,0.6,2.2,.474,.851,11.3,2.2,1.9,.411,.828,10.9,3.0,1.4,1
Iowa State Cyclones,.518,.400,.700,9.085714285714285,25.742857142857144,15.8,7.771428571428571,3.5428571428571427,10.142857142857142,15.914285714285715,.503,.802,16.4,6.2,1.2,.483,.675,15.1,1.8,2.3,.640,.795,15.1,2.7,1.7,2
Jacksonville State Gamecocks,.506,.377,.714,10.142857142857142,25.4,14.085714285714285,4.485714285714286,3.8285714285714287,13.628571428571428,17.942857142857143,.469,.795,12.5,3.9,2.5,.359,.815,11.3,2.3,1.8,.533,.730,11.0,1.6,2.8,1
