Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Arkansas-Pine Bluff Golden Lions,.445,.303,.668,12.411764705882353,25.41176470588235,12.382352941176471,6.735294117647059,3.5588235294117645,16.735294117647058,22.470588235294116,1
Baylor Bears,.536,.385,.725,12.305555555555555,26.805555555555557,14.11111111111111,6.583333333333333,6.722222222222222,13.63888888888889,17.75,4
Butler Bulldogs,.509,.342,.738,9.289473684210526,23.36842105263158,12.210526315789474,7.026315789473684,2.263157894736842,12.0,18.026315789473685,6
BYU Cougars,.516,.417,.790,10.194444444444445,26.805555555555557,15.75,8.527777777777779,3.5,11.583333333333334,17.25,2
California Golden Bears,.520,.374,.757,11.285714285714286,24.17142857142857,14.285714285714286,5.6571428571428575,2.4571428571428573,12.028571428571428,16.942857142857143,2
Clemson Tigers,.509,.342,.661,13.125,23.6875,14.15625,9.40625,4.71875,15.0,17.625,1
Cornell Big Red,.517,.430,.730,10.264705882352942,23.529411764705884,15.970588235294118,7.147058823529412,3.588235294117647,12.176470588235293,17.58823529411765,3
Duke Blue Devils,.470,.385,.759,14.225,24.775,13.875,6.65,4.05,10.725,18.05,7
Florida Gators,.506,.313,.703,13.382352941176471,23.823529411764707,14.088235294117647,7.147058823529412,2.764705882352941,12.441176470588236,14.735294117647058,1
Florida State Seminoles,.507,.334,.644,12.6875,25.15625,13.9375,8.34375,6.25,16.5,17.96875,1
Georgetown Hoyas,.547,.387,.711,9.794117647058824,23.5,15.411764705882353,6.970588235294118,4.735294117647059,13.911764705882353,17.029411764705884,1
Georgia Tech Yellow Jackets,.498,.363,.657,12.88888888888889,26.833333333333332,14.11111111111111,8.0,5.277777777777778,15.944444444444445,18.61111111111111,2
Gonzaga Bulldogs,.545,.353,.664,10.529411764705882,27.294117647058822,13.411764705882353,6.676470588235294,4.176470588235294,13.058823529411764,18.058823529411764,2
Houston Cougars,.455,.356,.710,12.571428571428571,21.285714285714285,12.428571428571429,9.4,2.942857142857143,9.0,18.62857142857143,1
Kansas Jayhawks,.527,.404,.699,13.0,27.47222222222222,16.916666666666668,8.36111111111111,6.444444444444445,13.055555555555555,18.27777777777778,2
Kansas State Wildcats,.492,.360,.668,15.108108108108109,23.72972972972973,14.621621621621621,7.405405405405405,5.054054054054054,14.297297297297296,22.37837837837838,4
Kentucky Wildcats,.545,.331,.668,14.157894736842104,27.526315789473685,15.078947368421053,7.342105263157895,7.184210526315789,14.157894736842104,16.86842105263158,4
Lehigh Mountain Hawks,.478,.399,.718,10.272727272727273,26.12121212121212,15.0,6.151515151515151,2.5757575757575757,13.0,17.848484848484848,1
Louisville Cardinals,.519,.337,.701,14.484848484848484,22.393939393939394,15.484848484848484,7.818181818181818,4.090909090909091,13.727272727272727,20.09090909090909,1
Marquette Golden Eagles,.479,.413,.741,10.088235294117647,21.41176470588235,15.176470588235293,7.911764705882353,2.1176470588235294,10.382352941176471,17.058823529411764,1
Maryland Terrapins,.500,.382,.729,12.757575757575758,25.727272727272727,16.515151515151516,7.757575757575758,4.666666666666667,11.606060606060606,16.78787878787879,2
Michigan State Spartans,.516,.344,.685,13.162162162162161,25.37837837837838,16.37837837837838,6.54054054054054,3.324324324324324,13.891891891891891,18.0,5
Minnesota Golden Gophers,.500,.399,.700,10.714285714285714,24.62857142857143,16.65714285714286,7.8,5.685714285714286,12.2,16.542857142857144,1
Missouri Tigers,.476,.368,.724,12.970588235294118,22.323529411764707,15.352941176470589,10.911764705882353,4.705882352941177,12.705882352941176,19.294117647058822,2
Montana Grizzlies,.523,.399,.723,8.84375,23.90625,12.375,6.4375,3.3125,12.1875,17.84375,1
Morgan State Bears,.465,.332,.700,15.35135135135135,24.864864864864863,12.45945945945946,6.5675675675675675,4.108108108108108,13.486486486486486,21.135135135135137,1
Murray State Racers,.552,.377,.695,12.194444444444445,24.444444444444443,15.444444444444445,9.63888888888889,5.444444444444445,14.63888888888889,17.166666666666668,2
New Mexico Lobos,.478,.369,.669,13.085714285714285,25.4,14.2,6.628571428571429,3.4285714285714284,11.057142857142857,17.571428571428573,2
New Mexico State Aggies,.517,.371,.700,10.529411764705882,25.11764705882353,14.235294117647058,5.970588235294118,3.264705882352941,12.852941176470589,17.5,1
Northern Iowa Panthers,.475,.354,.758,9.514285714285714,22.771428571428572,10.485714285714286,5.6571428571428575,2.0,10.628571428571428,15.885714285714286,3
Notre Dame Fighting Irish,.513,.388,.723,11.485714285714286,24.228571428571428,16.714285714285715,5.542857142857143,2.9714285714285715,10.342857142857143,15.142857142857142,1
Oakland Golden Grizzlies,.505,.322,.719,13.628571428571428,24.771428571428572,13.17142857142857,6.742857142857143,4.828571428571428,13.857142857142858,18.057142857142857,1
Ohio Bobcats,.464,.366,.719,11.972972972972974,25.08108108108108,14.162162162162161,7.513513513513513,2.6216216216216215,12.783783783783784,18.81081081081081,2
Ohio State Buckeyes,.548,.390,.696,8.783783783783784,24.56756756756757,14.72972972972973,7.081081081081081,4.243243243243243,11.162162162162161,15.27027027027027,3
Oklahoma State Cowboys,.525,.349,.714,9.909090909090908,25.515151515151516,12.515151515151516,6.484848484848484,2.5454545454545454,12.666666666666666,20.12121212121212,1
Old Dominion Monarchs,.492,.317,.648,15.0,23.72222222222222,15.38888888888889,7.833333333333333,2.9166666666666665,12.694444444444445,15.555555555555555,2
Pitt Panthers,.489,.344,.693,12.352941176470589,24.970588235294116,15.764705882352942,5.205882352941177,4.088235294117647,12.382352941176471,17.470588235294116,2
Purdue Boilermakers,.497,.318,.723,10.028571428571428,23.4,14.085714285714285,7.085714285714285,4.628571428571429,10.885714285714286,18.6,3
Richmond Spiders,.499,.355,.700,8.685714285714285,23.857142857142858,12.628571428571428,8.257142857142858,4.514285714285714,10.971428571428572,18.114285714285714,1
