Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Alabama A&M Bulldogs,.454,.302,.613,13.21875,24.59375,13.3125,10.5625,3.875,15.25,19.34375,1
Alabama-Birmingham Blazers,.498,.347,.696,11.818181818181818,21.21212121212121,15.636363636363637,11.575757575757576,3.0,13.454545454545455,19.575757575757574,2
Alabama Crimson Tide,.537,.394,.736,10.4375,26.40625,14.15625,5.125,4.46875,12.8125,14.71875,1
Arizona Wildcats,.507,.402,.776,13.324324324324325,23.45945945945946,16.486486486486488,8.0,3.891891891891892,14.81081081081081,16.10810810810811,4
Boston College Eagles,.540,.252,.712,14.133333333333333,23.7,17.566666666666666,7.233333333333333,4.1,13.433333333333334,15.1,2
Bucknell Bison,.489,.369,.701,9.272727272727273,22.363636363636363,12.606060606060606,7.9393939393939394,2.909090909090909,15.393939393939394,19.09090909090909,2
Charlotte 49ers,.467,.368,.684,14.482758620689655,24.103448275862068,14.10344827586207,8.689655172413794,3.1724137931034484,13.413793103448276,17.06896551724138,1
Chattanooga Mocs,.526,.303,.679,16.419354838709676,25.0,14.516129032258064,7.451612903225806,1.935483870967742,17.258064516129032,16.870967741935484,1
Cincinnati Bearcats,.479,.349,.690,14.272727272727273,26.78787878787879,14.93939393939394,5.424242424242424,6.818181818181818,13.181818181818182,17.757575757575758,2
Creighton Bluejays,.476,.414,.730,9.882352941176471,21.38235294117647,14.205882352941176,6.882352941176471,3.264705882352941,12.117647058823529,17.58823529411765,1
Delaware Fightin' Blue Hens,.487,.318,.655,10.870967741935484,24.64516129032258,12.903225806451612,6.161290322580645,2.838709677419355,16.70967741935484,19.483870967741936,1
Duke Blue Devils,.489,.380,.713,13.090909090909092,25.12121212121212,12.757575757575758,8.696969696969697,6.666666666666667,13.757575757575758,18.545454545454547,3
Eastern Kentucky Colonels,.533,.351,.670,11.612903225806452,23.967741935483872,15.483870967741936,7.483870967741935,3.935483870967742,14.548387096774194,19.322580645161292,1
Fairleigh Dickinson Knights,.501,.348,.666,12.363636363636363,24.0,15.090909090909092,7.181818181818182,4.393939393939394,14.121212121212121,18.90909090909091,1
Florida Gators,.533,.390,.707,11.4375,25.625,14.84375,7.125,4.5625,13.875,18.6875,2
George Washington Colonials,.515,.362,.693,13.0,23.6,16.133333333333333,9.766666666666667,4.266666666666667,14.933333333333334,17.6,1
Georgia Tech Yellow Jackets,.504,.333,.691,12.5,26.5,14.71875,8.28125,5.0625,15.09375,20.25,2
Gonzaga Bulldogs,.541,.380,.739,11.870967741935484,26.548387096774192,15.67741935483871,5.451612903225806,3.4193548387096775,13.419354838709678,17.29032258064516,2
Illinois Fighting Illini,.542,.392,.728,10.897435897435898,23.41025641025641,18.641025641025642,7.6923076923076925,3.1538461538461537,10.974358974358974,15.666666666666666,6
Iowa Hawkeyes,.496,.376,.691,11.242424242424242,25.0,15.181818181818182,7.484848484848484,5.2727272727272725,14.424242424242424,18.727272727272727,2
Kansas Jayhawks,.527,.367,.695,11.666666666666666,25.966666666666665,16.5,6.566666666666666,3.8333333333333335,14.433333333333334,19.133333333333333,1
Kentucky Wildcats,.523,.343,.663,12.264705882352942,22.941176470588236,14.970588235294118,9.147058823529411,4.323529411764706,13.088235294117647,17.11764705882353,4
Lafayette Leopards,.471,.302,.735,10.178571428571429,25.607142857142858,12.392857142857142,6.107142857142857,3.0714285714285716,17.714285714285715,19.571428571428573,1
Louisville Cardinals,.516,.398,.723,12.868421052631579,25.94736842105263,15.526315789473685,8.605263157894736,3.8947368421052633,14.078947368421053,18.44736842105263,5
LSU Fighting Tigers,.510,.359,.730,11.633333333333333,24.933333333333334,14.733333333333333,6.966666666666667,4.233333333333333,13.5,16.333333333333332,1
Michigan State Spartans,.552,.356,.777,12.030303030303031,24.272727272727273,17.12121212121212,7.818181818181818,2.6363636363636362,13.666666666666666,19.393939393939394,5
Milwaukee Panthers,.506,.356,.703,13.15625,22.75,14.0625,8.34375,3.5625,13.59375,19.0625,2
Minnesota Golden Gophers,.493,.349,.706,11.65625,22.4375,14.15625,9.125,4.53125,16.125,16.0,1
Mississippi State Bulldogs,.490,.337,.665,14.470588235294118,26.38235294117647,13.970588235294118,6.823529411764706,3.3529411764705883,14.794117647058824,15.647058823529411,2
Montana Grizzlies,.506,.354,.677,10.387096774193548,25.677419354838708,13.67741935483871,5.870967741935484,3.0,17.032258064516128,17.193548387096776,1
NC State Wolfpack,.515,.370,.705,10.714285714285714,21.314285714285713,15.114285714285714,7.428571428571429,4.457142857142857,12.428571428571429,18.8,3
Nevada Wolf Pack,.500,.270,.707,12.34375,27.34375,15.0,7.03125,5.21875,14.53125,15.75,2
New Mexico Lobos,.561,.391,.679,9.909090909090908,24.242424242424242,14.878787878787879,7.636363636363637,3.484848484848485,13.757575757575758,16.90909090909091,1
Niagara Purple Eagles,.485,.359,.760,15.7,25.033333333333335,15.766666666666667,6.866666666666666,3.2666666666666666,12.9,18.933333333333334,1
UNC Tar Heels,.541,.403,.725,13.567567567567568,26.945945945945947,19.08108108108108,9.783783783783784,3.8378378378378377,16.054054054054053,17.89189189189189,7
Northern Iowa Panthers,.531,.381,.698,8.84375,24.625,15.34375,6.0,4.3125,11.65625,17.375,1
Oakland Golden Grizzlies,.504,.339,.665,12.0,20.625,14.8125,7.125,2.40625,12.1875,17.53125,0.5
Ohio Bobcats,.528,.328,.698,10.875,21.9375,11.6875,8.53125,2.6875,13.21875,17.84375,1
Oklahoma Sooners,.521,.372,.690,12.969696969696969,22.545454545454547,15.484848484848484,8.818181818181818,4.090909090909091,13.606060606060606,18.393939393939394,2
Oklahoma State Cowboys,.529,.426,.780,11.272727272727273,22.696969696969695,16.848484848484848,7.333333333333333,2.6363636363636362,13.727272727272727,18.151515151515152,3
Old Dominion Monarchs,.494,.337,.699,12.029411764705882,24.41176470588235,16.235294117647058,9.676470588235293,4.4411764705882355,12.235294117647058,17.558823529411764,1
Pacific Tigers,.553,.382,.743,10.0,25.612903225806452,14.903225806451612,4.967741935483871,3.096774193548387,13.67741935483871,14.67741935483871,2
Penn Quakers,.484,.341,.659,12.482758620689655,24.896551724137932,14.482758620689655,8.03448275862069,3.206896551724138,15.689655172413794,19.655172413793103,1
Pitt Panthers,.510,.379,.659,14.275862068965518,23.75862068965517,15.137931034482758,6.517241379310345,4.137931034482759,14.448275862068966,17.103448275862068,1
Saint Mary's Gaels,.487,.349,.725,12.5,24.08823529411765,11.176470588235293,6.0,3.323529411764706,15.705882352941176,18.11764705882353,1
Southeastern Louisiana Lions,.507,.311,.647,10.636363636363637,20.181818181818183,11.757575757575758,9.090909090909092,3.696969696969697,13.93939393939394,17.363636363636363,1
Southern Illinois Salukis,.486,.365,.748,11.285714285714286,21.4,13.485714285714286,9.2,2.8857142857142857,12.82857142857143,19.542857142857144,2
Stanford Cardinal,.459,.342,.737,12.258064516129032,23.612903225806452,12.03225806451613,6.67741935483871,2.774193548387097,13.806451612903226,18.032258064516128,1
Syracuse Orange,.542,.313,.667,13.823529411764707,24.147058823529413,15.441176470588236,8.117647058823529,4.617647058823529,13.676470588235293,15.852941176470589,1
Texas Longhorns,.493,.388,.697,13.483870967741936,26.129032258064516,13.096774193548388,6.032258064516129,4.32258064516129,13.96774193548387,17.677419354838708,1
Texas Tech Red Raiders,.495,.396,.756,11.151515151515152,23.87878787878788,16.757575757575758,7.848484848484849,3.727272727272727,12.848484848484848,16.78787878787879,3
