Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Arizona Wildcats,.522,.381,.721,11.588235294117647,28.647058823529413,14.264705882352942,4.823529411764706,4.735294117647059,13.0,18.264705882352942,1
Austin Peay Governors,.514,.346,.670,11.722222222222221,25.11111111111111,13.305555555555555,6.944444444444445,2.8055555555555554,13.944444444444445,17.583333333333332,1
Baylor Bears,.505,.367,.725,13.735294117647058,23.529411764705884,17.735294117647058,7.911764705882353,3.9705882352941178,12.705882352941176,19.41176470588235,1
Buffalo Bulls,.494,.339,.710,12.142857142857142,26.8,12.6,6.857142857142857,3.5428571428571427,13.571428571428571,21.37142857142857,1
Butler Bulldogs,.499,.393,.731,11.090909090909092,24.90909090909091,14.181818181818182,6.878787878787879,3.242424242424242,10.151515151515152,19.575757575757574,2
California Golden Bears,.511,.363,.656,11.352941176470589,28.323529411764707,12.647058823529411,4.088235294117647,4.676470588235294,12.323529411764707,20.764705882352942,1
Chattanooga Mocs,.515,.359,.735,10.885714285714286,24.571428571428573,14.4,7.771428571428571,4.714285714285714,12.485714285714286,17.02857142857143,1
Cincinnati Bearcats,.477,.348,.705,13.363636363636363,25.757575757575758,15.393939393939394,7.787878787878788,5.818181818181818,11.0,15.545454545454545,1
Colorado Buffaloes,.444,.389,.735,13.117647058823529,29.058823529411764,13.558823529411764,5.205882352941177,4.911764705882353,13.352941176470589,18.764705882352942,1
Dayton Flyers,.516,.344,.668,9.909090909090908,28.424242424242426,14.545454545454545,5.9393939393939394,4.393939393939394,12.93939393939394,18.96969696969697,1
Duke Blue Devils,.510,.385,.723,11.833333333333334,24.166666666666668,13.277777777777779,6.277777777777778,4.277777777777778,9.833333333333334,16.75,3
Fairleigh Dickinson Knights,.504,.362,.697,10.515151515151516,23.060606060606062,14.303030303030303,7.575757575757576,2.6363636363636362,12.818181818181818,21.818181818181817,0.5
Florida Gulf Coast Eagles,.521,.353,.644,11.914285714285715,28.714285714285715,13.8,6.571428571428571,4.0285714285714285,12.514285714285714,19.257142857142856,1
Fresno State Bulldogs,.475,.343,.694,11.685714285714285,25.257142857142856,13.314285714285715,8.428571428571429,3.942857142857143,10.8,21.82857142857143,1
Gonzaga Bulldogs,.544,.381,.758,10.61111111111111,29.0,13.916666666666666,5.111111111111111,3.0833333333333335,11.61111111111111,17.305555555555557,3
Green Bay Phoenix,.490,.349,.657,12.722222222222221,25.75,13.916666666666666,9.944444444444445,4.611111111111111,12.25,20.11111111111111,1
Hampton Pirates,.469,.304,.659,13.96875,27.34375,11.90625,5.28125,3.65625,13.75,20.28125,1
