Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Albany (NY) Great Danes,.494,.374,.722,11.030303030303031,22.666666666666668,13.212121212121213,5.787878787878788,2.484848484848485,13.242424242424242,19.21212121212121,1
Arizona Wildcats,.533,.341,.750,12.258064516129032,25.096774193548388,16.483870967741936,6.096774193548387,3.3225806451612905,13.774193548387096,13.709677419354838,1
Arkansas Razorbacks,.516,.346,.703,11.2,24.02857142857143,14.885714285714286,6.857142857142857,6.314285714285714,15.2,17.485714285714284,1
Belmont Bruins,.546,.355,.692,11.303030303030303,25.90909090909091,15.545454545454545,6.090909090909091,3.1818181818181817,16.0,18.333333333333332,1
Boston College Eagles,.538,.349,.724,11.93939393939394,22.666666666666668,14.636363636363637,5.696969696969697,5.787878787878788,13.787878787878787,15.303030303030303,2
Butler Bulldogs,.498,.369,.760,9.055555555555555,20.61111111111111,12.13888888888889,5.416666666666667,1.7777777777777777,9.472222222222221,19.11111111111111,3
BYU Cougars,.525,.415,.660,12.176470588235293,25.264705882352942,15.941176470588236,6.029411764705882,3.4705882352941178,13.411764705882353,19.470588235294116,1
Central Connecticut Blue Devils,.466,.381,.730,11.794117647058824,22.91176470588235,12.470588235294118,6.0,3.3823529411764706,14.147058823529411,16.0,1
Creighton Bluejays,.507,.338,.754,10.303030303030303,22.424242424242426,13.363636363636363,6.363636363636363,2.515151515151515,12.636363636363637,16.727272727272727,1
Davidson Wildcats,.505,.369,.753,13.676470588235293,26.852941176470587,16.441176470588236,8.0,2.676470588235294,14.558823529411764,17.705882352941178,1
Duke Blue Devils,.506,.381,.689,11.484848484848484,23.818181818181817,13.121212121212121,7.303030303030303,4.757575757575758,15.424242424242424,17.484848484848484,1
Eastern Kentucky Colonels,.555,.348,.680,8.484848484848484,19.696969696969695,14.454545454545455,7.96969696969697,2.5454545454545454,13.515151515151516,13.606060606060606,1
Florida A&M Rattlers,.490,.360,.662,FLAG,FLAG,13.628571428571428,7.0,1.8,17.8,18.514285714285716,0.5
Florida Gators,.587,.409,.690,11.175,26.425,15.35,6.65,4.85,14.125,15.65,7
George Washington Colonials,.490,.368,.700,12.15625,21.90625,14.4375,9.125,4.4375,13.875,18.84375,1
Georgetown Hoyas,.578,.370,.711,11.054054054054054,22.72972972972973,14.72972972972973,5.1891891891891895,5.108108108108108,13.432432432432432,16.45945945945946,5
Georgia Tech Yellow Jackets,.536,.372,.681,13.90625,22.53125,15.34375,9.875,3.5625,15.71875,20.78125,1
