Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Arizona State Sun Devils,.506,.341,.671,12.15625,27.9375,13.59375,6.21875,3.21875,13.5625,19.84375,9
Auburn Tigers,.517,.376,.713,11.971428571428572,22.65714285714286,14.314285714285715,9.428571428571429,4.8,12.114285714285714,18.17142857142857,9
Baylor Bears,.509,.340,.674,13.375,24.8125,13.84375,6.125,4.75,13.25,18.71875,9
Belmont Bruins,.599,.374,.738,8.870967741935484,30.0,19.870967741935484,6.838709677419355,3.774193548387097,11.612903225806452,15.516129032258064,9
Bradley Braves,.470,.366,.693,9.147058823529411,25.235294117647058,12.058823529411764,5.382352941176471,3.764705882352941,12.647058823529411,17.5,9
Buffalo Bulls,.560,.336,.691,12.588235294117647,28.441176470588236,16.852941176470587,7.323529411764706,4.0588235294117645,11.823529411764707,18.147058823529413,9
Cincinnati Bearcats,.473,.350,.704,12.676470588235293,23.558823529411764,13.441176470588236,6.176470588235294,4.5,10.529411764705882,16.029411764705884,9
Colgate Raiders,.542,.388,.741,9.382352941176471,26.176470588235293,15.617647058823529,6.176470588235294,3.5294117647058822,13.029411764705882,15.647058823529411,9
Duke Blue Devils,.583,.302,.690,13.382352941176471,28.41176470588235,15.911764705882353,9.470588235294118,6.823529411764706,13.117647058823529,15.852941176470589,9
Fairleigh Dickinson Knights,.517,.403,.731,9.181818181818182,23.696969696969695,14.121212121212121,7.666666666666667,3.6363636363636362,13.424242424242424,16.78787878787879,9
Florida Gators,.497,.335,.718,10.617647058823529,22.941176470588236,12.235294117647058,7.176470588235294,3.7058823529411766,11.764705882352942,17.08823529411765,9
Florida State Seminoles,.510,.336,.741,11.441176470588236,25.941176470588236,12.882352941176471,6.970588235294118,4.264705882352941,13.5,19.147058823529413,9
Gardner-Webb Runnin' Bulldogs,.544,.391,.711,7.882352941176471,26.5,14.470588235294118,6.852941176470588,2.911764705882353,11.5,16.029411764705884,9
Georgia State Panthers,.523,.388,.663,8.090909090909092,24.727272727272727,12.424242424242424,7.96969696969697,4.757575757575758,11.636363636363637,17.333333333333332,9
Gonzaga Bulldogs,.623,.365,.767,9.545454545454545,29.09090909090909,18.0,7.545454545454546,5.393939393939394,10.363636363636363,16.060606060606062,9
