Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Albany (NY) Great Danes,.470,.360,.750,10.088235294117647,24.470588235294116,11.058823529411764,5.411764705882353,2.9705882352941178,12.588235294117647,17.058823529411764,1
American Eagles,.551,.379,.707,7.03030303030303,22.848484848484848,14.909090909090908,6.0,3.3333333333333335,14.06060606060606,17.181818181818183,1
Arizona State Sun Devils,.488,.390,.694,8.515151515151516,27.0,14.272727272727273,5.0606060606060606,5.515151515151516,11.424242424242424,19.242424242424242,1
Arizona Wildcats,.507,.364,.659,12.236842105263158,25.894736842105264,15.105263157894736,5.868421052631579,4.552631578947368,10.18421052631579,16.57894736842105,4
Baylor Bears,.491,.386,.680,13.81578947368421,24.5,14.81578947368421,5.184210526315789,5.315789473684211,11.578947368421053,17.05263157894737,3
BYU Cougars,.495,.355,.692,13.228571428571428,27.685714285714287,15.542857142857143,7.171428571428572,2.942857142857143,11.285714285714286,19.714285714285715,1
Cal Poly Mustangs,.448,.333,.688,11.088235294117647,21.147058823529413,11.588235294117647,5.823529411764706,2.735294117647059,8.911764705882353,18.264705882352942,1
Cincinnati Bearcats,.466,.335,.708,13.441176470588236,22.558823529411764,12.5,7.882352941176471,5.529411764705882,11.088235294117647,17.529411764705884,1
Coastal Carolina Chanticleers,.484,.338,.691,12.764705882352942,26.529411764705884,10.647058823529411,6.352941176470588,2.823529411764706,13.911764705882353,19.647058823529413,1
Colorado Buffaloes,.486,.318,.718,11.457142857142857,25.82857142857143,11.342857142857143,5.914285714285715,3.2857142857142856,13.314285714285715,16.457142857142856,1
Creighton Bluejays,.563,.414,.743,8.371428571428572,25.685714285714287,17.542857142857144,3.9714285714285715,1.4,9.771428571428572,17.65714285714286,2
Dayton Flyers,.504,.377,.681,11.18918918918919,23.64864864864865,13.108108108108109,6.0,2.5945945945945947,11.945945945945946,19.89189189189189,4
Delaware Fightin' Blue Hens,.495,.347,.711,11.0,25.114285714285714,10.771428571428572,5.942857142857143,3.5142857142857142,9.542857142857143,18.857142857142858,1
Duke Blue Devils,.503,.395,.729,11.714285714285714,22.771428571428572,14.542857142857143,6.9714285714285715,3.0,9.371428571428572,19.457142857142856,1
Eastern Kentucky Colonels,.564,.390,.752,7.147058823529412,18.852941176470587,14.647058823529411,8.794117647058824,1.9705882352941178,10.558823529411764,20.794117647058822,1
Florida Gators,.513,.359,.668,11.205128205128204,24.307692307692307,13.051282051282051,7.0256410256410255,3.0256410256410255,10.717948717948717,15.666666666666666,5
George Washington Colonials,.502,.364,.651,11.93939393939394,25.303030303030305,13.969696969696969,7.121212121212121,4.090909090909091,12.969696969696969,18.03030303030303,1
Gonzaga Bulldogs,.543,.397,.709,9.527777777777779,26.333333333333332,14.583333333333334,6.527777777777778,3.9444444444444446,11.63888888888889,18.305555555555557,2
Harvard Crimson,.496,.385,.724,10.46875,23.65625,14.03125,7.59375,4.84375,11.40625,17.6875,2
Iowa Hawkeyes,.506,.350,.735,13.545454545454545,26.818181818181817,16.12121212121212,7.090909090909091,4.96969696969697,11.242424242424242,18.272727272727273,0.5
Iowa State Cyclones,.544,.358,.693,10.416666666666666,28.11111111111111,18.416666666666668,5.944444444444445,2.9444444444444446,10.555555555555555,17.305555555555557,3
Kansas Jayhawks,.555,.340,.711,11.885714285714286,26.285714285714285,14.942857142857143,5.828571428571428,5.6,13.228571428571428,20.914285714285715,2
Kansas State Wildcats,.483,.331,.656,12.303030303030303,23.454545454545453,15.242424242424242,6.212121212121212,2.9696969696969697,12.242424242424242,21.636363636363637,1
Kentucky Wildcats,.500,.332,.682,14.05,26.125,11.15,4.725,5.9,11.725,18.3,6
Lafayette Leopards,.509,.398,.744,8.161290322580646,21.741935483870968,12.903225806451612,5.225806451612903,2.129032258064516,12.129032258064516,17.903225806451612,1
Louisville Cardinals,.527,.368,.661,13.594594594594595,24.135135135135137,15.35135135135135,10.0,4.675675675675675,10.567567567567568,19.54054054054054,3
Manhattan Jaspers,.487,.369,.663,12.575757575757576,24.818181818181817,13.121212121212121,8.272727272727273,6.0606060606060606,14.181818181818182,24.21212121212121,1
Maryland-Eastern Shore Hawks,.441,.323,.721,11.3,21.333333333333332,11.3,6.533333333333333,2.066666666666667,12.266666666666667,19.466666666666665,1
Memphis Tigers,.533,.330,.644,12.558823529411764,24.735294117647058,17.38235294117647,8.647058823529411,4.676470588235294,13.205882352941176,18.0,2
Mercer Bears,.530,.384,.736,11.305555555555555,25.86111111111111,16.27777777777778,5.861111111111111,4.083333333333333,11.666666666666666,18.47222222222222,2
Michigan State Spartans,.521,.392,.707,10.394736842105264,26.44736842105263,16.763157894736842,6.815789473684211,4.578947368421052,11.31578947368421,18.973684210526315,4
Michigan Wolverines,.527,.402,.763,8.54054054054054,22.81081081081081,14.18918918918919,5.162162162162162,2.3783783783783785,9.08108108108108,14.243243243243244,4
Mount St. Mary's Mountaineers,.502,.355,.739,9.93939393939394,21.96969696969697,11.787878787878787,7.03030303030303,3.0,11.757575757575758,18.666666666666668,0.5
NC State Wolfpack,.515,.305,.657,11.722222222222221,22.694444444444443,12.944444444444445,4.805555555555555,4.138888888888889,10.416666666666666,18.61111111111111,1
Nebraska Cornhuskers,.474,.333,.717,8.6875,24.40625,9.5,6.9375,3.09375,10.90625,20.625,1
New Mexico Lobos,.517,.332,.724,10.588235294117647,27.529411764705884,15.352941176470589,4.764705882352941,5.0588235294117645,10.617647058823529,16.970588235294116,1
New Mexico State Aggies,.532,.371,.686,11.88888888888889,25.5,13.166666666666666,4.694444444444445,6.222222222222222,12.694444444444445,17.055555555555557,1
UNC Tar Heels,.497,.336,.626,14.205882352941176,25.5,15.382352941176471,7.323529411764706,4.735294117647059,11.941176470588236,20.294117647058822,2
Ohio State Buckeyes,.511,.324,.689,9.885714285714286,24.02857142857143,12.028571428571428,7.714285714285714,4.485714285714286,11.257142857142858,16.485714285714284,1
Oklahoma Sooners,.487,.379,.749,12.06060606060606,25.575757575757574,14.636363636363637,6.787878787878788,3.272727272727273,11.393939393939394,18.939393939393938,1
Oklahoma State Cowboys,.513,.364,.719,9.764705882352942,25.61764705882353,13.617647058823529,7.647058823529412,4.705882352941177,10.470588235294118,20.0,1
Oregon Ducks,.510,.389,.772,10.470588235294118,23.61764705882353,14.470588235294118,7.735294117647059,3.323529411764706,11.441176470588236,21.323529411764707,2
Pitt Panthers,.501,.351,.712,12.0,23.86111111111111,15.63888888888889,7.055555555555555,2.9722222222222223,10.36111111111111,17.22222222222222,2
Providence Friars,.465,.347,.782,12.342857142857143,24.17142857142857,13.6,5.542857142857143,4.942857142857143,11.6,17.228571428571428,1
Saint Louis Billikens,.504,.316,.697,10.147058823529411,26.058823529411764,14.176470588235293,7.4411764705882355,4.0588235294117645,12.676470588235293,17.558823529411764,2
San Diego State Aztecs,.461,.358,.663,13.055555555555555,24.833333333333332,9.88888888888889,7.611111111111111,5.083333333333333,9.86111111111111,16.666666666666668,2
Stanford Cardinal,.499,.364,.702,9.63888888888889,25.27777777777778,11.527777777777779,5.305555555555555,4.277777777777778,11.36111111111111,18.194444444444443,3
Stephen F. Austin Lumberjacks,.529,.345,.711,12.885714285714286,21.0,16.4,7.3428571428571425,2.9714285714285715,11.228571428571428,20.857142857142858,2
Syracuse Orange,.477,.331,.708,13.117647058823529,22.176470588235293,11.823529411764707,7.970588235294118,5.029411764705882,9.0,16.058823529411764,2
Tennessee Volunteers,.510,.325,.719,13.54054054054054,24.945945945945947,12.756756756756756,5.1891891891891895,4.648648648648648,10.486486486486486,16.675675675675677,3
Texas Longhorns,.469,.327,.671,15.085714285714285,26.314285714285713,12.914285714285715,5.685714285714286,5.885714285714286,12.17142857142857,19.114285714285714,2
Texas Southern Tigers,.512,.360,.718,11.352941176470589,25.294117647058822,14.0,4.5588235294117645,3.6470588235294117,13.352941176470589,16.5,0.5
Tulsa Golden Hurricane,.492,.327,.676,10.823529411764707,25.38235294117647,12.558823529411764,6.823529411764706,3.735294117647059,11.588235294117647,21.323529411764707,1
UCLA Bruins,.530,.380,.749,9.945945945945946,25.405405405405407,17.18918918918919,9.216216216216216,3.0,10.243243243243244,17.62162162162162,3
UConn Huskies,.481,.387,.777,9.675,25.05,12.2,7.025,5.75,11.425,17.975,7
VCU Rams,.456,.349,.674,13.685714285714285,23.942857142857143,13.114285714285714,11.17142857142857,4.285714285714286,12.085714285714285,19.6,1
Villanova Wildcats,.538,.356,.716,11.147058823529411,26.0,15.382352941176471,6.9411764705882355,4.147058823529412,11.941176470588236,19.764705882352942,2
Virginia Cavaliers,.490,.369,.673,10.243243243243244,25.216216216216218,13.08108108108108,5.216216216216216,4.054054054054054,9.783783783783784,16.054054054054053,3
Weber State Wildcats,.523,.392,.741,8.548387096774194,25.806451612903224,13.129032258064516,4.225806451612903,3.967741935483871,12.32258064516129,18.0,1
Western Michigan Broncos,.535,.329,.724,9.787878787878787,24.848484848484848,11.393939393939394,5.878787878787879,3.3636363636363638,14.06060606060606,18.242424242424242,1
Wichita State Shockers,.526,.351,.725,11.63888888888889,26.72222222222222,13.63888888888889,6.861111111111111,5.111111111111111,10.38888888888889,16.97222222222222,2
Wisconsin Badgers,.513,.376,.746,8.868421052631579,24.44736842105263,12.31578947368421,4.815789473684211,3.3421052631578947,8.078947368421053,15.105263157894736,5
Wofford Terriers,.486,.360,.664,10.666666666666666,22.363636363636363,12.818181818181818,6.212121212121212,1.6363636363636365,10.636363636363637,17.515151515151516,1
Xavier Musketeers,.515,.348,.688,11.147058823529411,24.529411764705884,14.617647058823529,5.764705882352941,2.8529411764705883,12.382352941176471,19.823529411764707,0.5
