Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
James Madison Dukes,.462,.336,.699,10.13888888888889,19.416666666666668,11.75,7.555555555555555,4.611111111111111,11.13888888888889,17.22222222222222,.641,.688,12.2,0.7,1.7,.414,.691,12.1,0.8,1.7,.495,.747,11.1,4.9,2.4,1
Kansas Jayhawks,.529,.364,.737,10.783783783783784,25.81081081081081,15.54054054054054,7.027027027027027,6.675675675675675,13.972972972972974,16.756756756756758,.553,.870,15.9,2.0,2.1,.580,.714,13.7,0.9,2.0,.659,.789,11.9,2.6,1.6,3
Kansas State Wildcats,.472,.362,.685,13.428571428571429,19.285714285714285,15.914285714285715,7.057142857142857,3.6857142857142855,11.514285714285714,18.02857142857143,.494,.752,15.6,2.0,1.7,.377,.826,11.4,5.2,2.4,.467,.600,8.4,2.5,1.2,1
La Salle Explorers,.493,.377,.737,9.764705882352942,18.41176470588235,14.147058823529411,7.735294117647059,3.5,11.470588235294118,15.294117647058824,.425,.827,17.2,3.7,3.1,.491,.777,14.2,3.3,2.0,.490,.726,13.1,2.0,1.4,3
Liberty Flames,.457,.375,.730,10.194444444444445,22.13888888888889,12.305555555555555,5.472222222222222,2.9166666666666665,13.277777777777779,19.02777777777778,.463,.776,14.4,3.6,2.6,.480,.852,13.6,2.8,2.0,.442,.810,13.2,1.2,2.1,0.5
LIU-Brooklyn Blackbirds,.530,.380,.691,11.882352941176471,19.970588235294116,15.147058823529411,6.823529411764706,3.4411764705882355,14.294117647058824,17.558823529411764,.550,.693,18.9,1.3,3.4,.598,.617,18.5,1.1,1.4,.515,.726,16.1,2.5,2.1,0.5
Louisville Cardinals,.508,.333,.709,13.275,21.35,14.6,10.75,4.2,12.375,18.175,.458,.804,18.7,2.9,2.7,.476,.867,10.0,5.7,2.7,.524,.547,9.8,1.1,1.6,7
Marquette Golden Eagles,.516,.296,.730,11.942857142857143,19.942857142857143,13.8,6.6,3.5142857142857142,13.457142857142857,16.857142857142858,.528,.756,14.8,1.8,2.3,.594,.835,11.5,0.9,1.6,.494,.744,9.7,1.7,1.5,4
Memphis Tigers,.511,.372,.660,12.166666666666666,22.36111111111111,16.805555555555557,8.916666666666666,6.416666666666667,14.527777777777779,18.083333333333332,.544,.730,13.6,4.8,2.8,.439,.752,11.7,1.9,1.6,.464,.793,10.4,3.2,1.7,2
Miami (FL) Hurricanes,.506,.362,.684,9.916666666666666,22.833333333333332,11.333333333333334,6.194444444444445,4.416666666666667,10.472222222222221,14.583333333333334,.538,.777,14.5,4.6,2.3,.496,.752,13.1,2.6,2.0,.543,.661,12.9,0.8,1.8,3
