Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Air Force Falcons,.558,.404,.745,6.580645161290323,18.032258064516128,14.35483870967742,8.03225806451613,2.161290322580645,10.806451612903226,15.225806451612904,.612,.735,14.9,2.8,2.1,.605,.717,12.4,2.5,1.6,.505,.892,11.8,2.3,1.7,1
Alabama-Birmingham Blazers,.513,.343,.647,10.870967741935484,20.451612903225808,15.548387096774194,10.870967741935484,3.5806451612903225,12.741935483870968,18.06451612903226,.441,.797,14.8,2.3,1.6,.584,.614,13.1,1.8,2.1,.526,.649,9.3,1.4,1.8,1
Alabama Crimson Tide,.505,.345,.708,12.548387096774194,24.06451612903226,12.225806451612904,6.290322580645161,4.903225806451613,13.580645161290322,13.96774193548387,.608,.758,16.5,2.2,1.8,.481,.746,14.3,1.2,2.2,.418,.892,14.3,4.3,2.7,2
Albany (NY) Great Danes,.486,.379,.711,10.90625,22.75,12.59375,6.53125,2.53125,14.09375,18.9375,.504,.850,17.7,3.9,3.7,.508,.714,10.4,1.5,1.3,.419,.657,8.4,1.6,1.8,1
Arizona Wildcats,.482,.319,.709,13.727272727272727,20.818181818181817,14.909090909090908,9.757575757575758,3.787878787878788,13.242424242424242,16.636363636363637,.511,.611,17.5,2.9,2.2,.457,.726,13.0,1.8,1.8,.496,.780,12.1,1.7,2.1,2
Arkansas Razorbacks,.508,.336,.692,12.1875,22.75,15.46875,8.3125,6.0625,13.375,16.90625,.493,.750,18.4,3.3,2.2,.562,.732,16.1,1.7,2.1,.522,.723,9.7,0.8,1.4,1
Belmont Bruins,.564,.377,.691,11.741935483870968,23.70967741935484,16.70967741935484,7.741935483870968,3.5483870967741935,16.225806451612904,19.741935483870968,.536,.780,15.6,2.9,2.0,.579,.586,14.6,0.8,2.5,.547,.825,12.3,2.1,1.4,1
Boston College Eagles,.538,.361,.675,12.944444444444445,22.52777777777778,17.75,6.166666666666667,4.472222222222222,13.11111111111111,16.27777777777778,.587,.643,17.6,3.0,2.5,.537,.710,16.7,3.2,1.9,.460,.614,11.1,2.3,2.0,3
Bradley Braves,.480,.336,.718,12.696969696969697,24.90909090909091,16.151515151515152,8.909090909090908,4.575757575757576,15.06060606060606,18.606060606060606,.434,.782,15.7,0.7,2.4,.552,.676,13.4,0.8,2.1,.446,.695,10.6,2.7,1.9,3
Bucknell Bison,.501,.390,.696,9.625,22.625,14.28125,8.71875,1.71875,14.8125,17.53125,.473,.747,13.2,2.8,2.8,.583,.753,12.8,0.8,1.9,.390,.793,12.7,2.8,1.6,2
California Golden Bears,.478,.374,.733,9.709677419354838,22.612903225806452,12.96774193548387,5.225806451612903,2.6774193548387095,12.387096774193548,16.70967741935484,.500,.719,20.5,1.4,2.4,.451,.833,14.5,3.8,2.3,.383,.787,8.6,2.5,1.8,1
Davidson Wildcats,.510,.369,.761,12.67741935483871,26.516129032258064,18.29032258064516,4.870967741935484,1.6451612903225807,12.870967741935484,18.387096774193548,.492,.840,16.9,1.8,1.8,.546,.771,16.0,0.9,1.2,.511,.780,10.7,0.8,0.8,1
Duke Blue Devils,.541,.386,.761,9.722222222222221,23.72222222222222,15.166666666666666,9.36111111111111,5.611111111111111,13.777777777777779,17.25,.521,.863,26.8,2.6,2.5,.582,.744,18.8,1.1,2.5,.621,.664,8.7,1.5,1.4,3
Florida Gators,.559,.392,.744,10.794871794871796,25.153846153846153,16.666666666666668,7.615384615384615,5.3076923076923075,14.384615384615385,15.974358974358974,.629,.733,14.2,2.1,1.9,.333,.886,13.3,4.7,3.2,.527,.769,12.7,3.3,2.8,7
