Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Air Force Falcons,.598,.379,.711,6.0,15.482758620689655,13.310344827586206,7.758620689655173,2.3448275862068964,10.96551724137931,16.586206896551722,.615,.718,11.4,2.9,1.7,.530,.802,11.0,2.1,1.3,.701,.662,10.4,1.5,1.6,1
Alabama-Birmingham Blazers,.492,.330,.666,12.53125,22.4375,17.625,11.59375,3.59375,13.46875,21.28125,.434,.697,13.9,1.8,1.6,.505,.648,11.4,1.0,1.3,.498,.719,10.1,2.8,2.3,3
Alabama Crimson Tide,.489,.378,.709,11.090909090909092,23.696969696969695,11.969696969696969,6.454545454545454,3.3636363636363638,12.818181818181818,18.12121212121212,.471,.723,17.0,1.9,2.2,.556,.824,15.8,1.9,2.1,.518,.694,11.5,1.4,2.9,4
Alabama State Hornets,.463,.335,.656,11.612903225806452,22.774193548387096,10.161290322580646,7.064516129032258,3.064516129032258,17.322580645161292,18.741935483870968,.414,.841,13.4,3.3,2.7,.494,.755,12.1,1.2,2.1,.505,.708,7.2,1.5,2.3,1
Arizona State Sun Devils,.475,.337,.735,12.11111111111111,23.48148148148148,15.777777777777779,5.555555555555555,3.185185185185185,15.11111111111111,21.0,.548,.815,22.8,1.6,3.7,.429,.814,12.7,2.6,2.1,.414,.807,9.4,1.4,0.8,1
Boston College Eagles,.491,.326,.679,12.5,23.5,15.970588235294118,7.088235294117647,3.0,13.441176470588236,15.794117647058824,.562,.572,16.9,1.4,1.9,.502,.723,11.9,2.8,2.1,.496,.689,10.6,1.3,1.6,2
BYU Cougars,.547,.351,.724,10.533333333333333,23.366666666666667,14.833333333333334,6.933333333333334,3.2666666666666666,13.633333333333333,18.866666666666667,.601,.722,18.4,1.2,2.9,.553,.806,13.4,2.8,1.7,.546,.731,12.8,1.8,1.9,1
Charleston Southern Buccaneers,.471,.312,.635,10.392857142857142,21.678571428571427,13.285714285714286,7.321428571428571,3.6785714285714284,15.535714285714286,20.142857142857142,.540,.642,13.1,0.9,2.3,.343,.698,9.3,5.8,3.3,.516,.682,8.7,1.3,1.8,1
Cincinnati Bearcats,.492,.387,.669,13.125,24.28125,16.15625,7.53125,5.25,12.28125,19.375,.502,.681,13.6,1.3,1.5,.551,.843,13.4,1.9,1.1,.430,.833,11.9,2.2,1.1,2
Dayton Flyers,.520,.321,.665,12.393939393939394,25.96969696969697,14.818181818181818,4.545454545454546,2.8484848484848486,14.151515151515152,17.484848484848484,.403,.743,14.6,5.2,2.8,.531,.726,13.3,1.9,2.7,.663,.503,13.1,0.6,2.0,1
DePaul Blue Demons,.498,.362,.697,11.9375,24.28125,13.65625,5.5,2.3125,13.1875,17.5625,.490,.795,16.5,2.0,2.1,.570,.482,13.5,0.3,1.7,.568,.871,12.6,2.5,1.3,2
Duke Blue Devils,.525,.364,.736,12.81081081081081,23.7027027027027,14.486486486486486,9.18918918918919,6.486486486486487,13.81081081081081,18.89189189189189,.470,.953,15.9,1.6,1.9,.515,.710,15.1,1.8,2.2,.423,.742,12.6,1.9,1.7,5
Eastern Washington Eagles,.523,.367,.706,9.3,21.3,16.0,6.4,1.6333333333333333,15.1,20.166666666666668,.520,.792,14.7,3.0,3.2,.542,.740,12.9,2.6,1.4,.524,.826,11.0,3.0,1.6,1
