Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Creighton Bluejays,.563,.414,.743,8.371428571428572,25.685714285714287,17.542857142857144,3.9714285714285715,1.4,9.771428571428572,17.65714285714286,.567,.864,26.7,1.6,1.8,.250,.816,10.4,0.8,0.6,.451,.753,8.1,4.4,1.7,2
Dayton Flyers,.504,.377,.681,11.18918918918919,23.64864864864865,13.108108108108109,6.0,2.5945945945945947,11.945945945945946,19.89189189189189,.500,.712,12.2,1.5,1.2,.530,.763,11.9,2.3,1.4,.519,.676,11.2,1.6,1.6,4
Delaware Fightin' Blue Hens,.495,.347,.711,11.0,25.114285714285714,10.771428571428572,5.942857142857143,3.5142857142857142,9.542857142857143,18.857142857142858,.469,.710,19.7,3.6,2.2,.535,.743,19.4,1.8,2.0,.444,.691,18.0,5.4,2.5,1
Duke Blue Devils,.503,.395,.729,11.714285714285714,22.771428571428572,14.542857142857143,6.9714285714285715,3.0,9.371428571428572,19.457142857142856,.504,.748,19.1,1.2,2.3,.494,.807,16.1,2.1,1.5,.507,.827,11.6,4.4,1.6,1
Eastern Kentucky Colonels,.564,.390,.752,7.147058823529412,18.852941176470587,14.647058823529411,8.794117647058824,1.9705882352941178,10.558823529411764,20.794117647058822,.436,.841,18.7,4.2,1.9,.609,.832,13.8,2.9,2.0,.599,.591,9.8,1.4,1.3,1
Florida Gators,.513,.359,.668,11.205128205128204,24.307692307692307,13.051282051282051,7.0256410256410255,3.0256410256410255,10.717948717948717,15.666666666666666,.606,.679,13.8,1.6,2.2,.415,.725,13.1,3.6,1.7,.506,.842,12.4,1.1,1.2,5
George Washington Colonials,.502,.364,.651,11.93939393939394,25.303030303030305,13.969696969696969,7.121212121212121,4.090909090909091,12.969696969696969,18.03030303030303,.433,.743,14.1,1.8,2.2,.498,.660,12.7,1.6,1.9,.564,.667,12.7,2.6,2.2,1
Gonzaga Bulldogs,.543,.397,.709,9.527777777777779,26.333333333333332,14.583333333333334,6.527777777777778,3.9444444444444446,11.63888888888889,18.305555555555557,.587,.825,14.4,1.1,1.6,.452,.873,14.4,3.6,1.7,.540,.786,11.0,1.7,1.0,2
Harvard Crimson,.496,.385,.724,10.46875,23.65625,14.03125,7.59375,4.84375,11.40625,17.6875,.485,.763,14.2,3.8,2.3,.383,.733,11.1,4.5,2.3,.541,.767,10.5,0.6,1.3,2
Iowa Hawkeyes,.506,.350,.735,13.545454545454545,26.818181818181817,16.12121212121212,7.090909090909091,4.96969696969697,11.242424242424242,18.272727272727273,.456,.714,17.0,3.6,1.7,.631,.807,12.8,1.8,1.8,.412,.671,7.8,3.9,1.3,0.5
Iowa State Cyclones,.544,.358,.693,10.416666666666666,28.11111111111111,18.416666666666668,5.944444444444445,2.9444444444444446,10.555555555555555,17.305555555555557,.570,.761,17.8,1.8,2.3,.511,.635,17.1,5.9,2.9,.542,.721,16.7,3.6,2.4,3
Kansas Jayhawks,.555,.340,.711,11.885714285714286,26.285714285714285,14.942857142857143,5.828571428571428,5.6,13.228571428571428,20.914285714285715,.493,.775,17.1,1.5,2.3,.553,.763,13.5,1.0,1.1,.639,.685,11.2,1.4,2.4,2
Kansas State Wildcats,.483,.331,.656,12.303030303030303,23.454545454545453,15.242424242424242,6.212121212121212,2.9696969696969697,12.242424242424242,21.636363636363637,.450,.734,15.5,2.5,2.2,.562,.700,11.7,0.6,2.2,.446,.684,9.9,2.7,1.6,1
Kentucky Wildcats,.500,.332,.682,14.05,26.125,11.15,4.725,5.9,11.725,18.3,.517,.706,15.0,1.4,2.5,.470,.706,14.3,1.7,1.9,.473,.790,13.7,1.9,1.6,6
Lafayette Leopards,.509,.398,.744,8.161290322580646,21.741935483870968,12.903225806451612,5.225806451612903,2.129032258064516,12.129032258064516,17.903225806451612,.538,.872,16.4,1.6,2.8,.545,.695,12.8,1.2,2.3,.504,.863,11.5,2.4,1.2,1
Louisville Cardinals,.527,.368,.661,13.594594594594595,24.135135135135137,15.35135135135135,10.0,4.675675675675675,10.567567567567568,19.54054054054054,.517,.705,18.2,4.6,2.8,.609,.464,14.0,1.2,1.4,.523,.829,12.3,2.2,1.5,3
Manhattan Jaspers,.487,.369,.663,12.575757575757576,24.818181818181817,13.121212121212121,8.272727272727273,6.0606060606060606,14.181818181818182,24.21212121212121,.427,.827,18.8,0.8,1.8,.477,.660,11.9,4.0,2.4,.552,.514,10.1,0.7,1.4,1
Maryland-Eastern Shore Hawks,.441,.323,.721,11.3,21.333333333333332,11.3,6.533333333333333,2.066666666666667,12.266666666666667,19.466666666666665,.478,.787,14.0,1.5,2.1,.301,.882,13.4,2.2,1.9,.535,.695,12.7,1.7,2.0,1
Memphis Tigers,.533,.330,.644,12.558823529411764,24.735294117647058,17.38235294117647,8.647058823529411,4.676470588235294,13.205882352941176,18.0,.496,.774,14.1,4.5,2.1,.538,.844,11.8,2.4,1.6,.583,.590,11.5,1.8,2.2,2
Mercer Bears,.530,.384,.736,11.305555555555555,25.86111111111111,16.27777777777778,5.861111111111111,4.083333333333333,11.666666666666666,18.47222222222222,.413,.850,14.6,5.6,2.4,.571,.716,10.1,0.4,0.8,.598,.385,8.9,2.0,0.9,2
Michigan State Spartans,.521,.392,.707,10.394736842105264,26.44736842105263,16.763157894736842,6.815789473684211,4.578947368421052,11.31578947368421,18.973684210526315,.507,.810,16.7,2.7,1.7,.536,.790,16.4,1.3,2.0,.495,.660,11.2,4.5,2.1,4
Michigan Wolverines,.527,.402,.763,8.54054054054054,22.81081081081081,14.18918918918919,5.162162162162162,2.3783783783783785,9.08108108108108,14.243243243243244,.500,.824,17.5,3.3,1.9,.562,.757,13.1,1.2,1.2,.460,.767,12.9,2.9,1.7,4
Mount St. Mary's Mountaineers,.502,.355,.739,9.93939393939394,21.96969696969697,11.787878787878787,7.03030303030303,3.0,11.757575757575758,18.666666666666668,.471,.789,17.6,1.3,2.1,.517,.741,17.2,5.5,2.9,.479,.789,11.1,1.7,1.6,0.5
NC State Wolfpack,.515,.305,.657,11.722222222222221,22.694444444444443,12.944444444444445,4.805555555555555,4.138888888888889,10.416666666666666,18.61111111111111,.580,.690,24.9,1.1,2.4,.476,.704,10.5,0.9,0.9,.430,.696,8.5,3.5,1.7,1
Nebraska Cornhuskers,.474,.333,.717,8.6875,24.40625,9.5,6.9375,3.09375,10.90625,20.625,.479,.819,18.1,1.6,2.8,.473,.721,12.8,1.6,1.6,.440,.672,9.9,1.5,2.3,1
New Mexico Lobos,.517,.332,.724,10.588235294117647,27.529411764705884,15.352941176470589,4.764705882352941,5.0588235294117645,10.617647058823529,16.970588235294116,.558,.735,20.4,1.6,2.0,.466,.792,16.0,4.9,2.0,.544,.667,13.3,1.1,1.8,1
New Mexico State Aggies,.532,.371,.686,11.88888888888889,25.5,13.166666666666666,4.694444444444445,6.222222222222222,12.694444444444445,17.055555555555557,.500,.727,16.8,3.5,2.6,.502,.643,11.2,2.0,1.6,.540,.623,11.1,0.6,2.0,1
UNC Tar Heels,.497,.336,.626,14.205882352941176,25.5,15.382352941176471,7.323529411764706,4.735294117647059,11.941176470588236,20.294117647058822,.493,.877,17.5,4.2,2.1,.466,.537,14.2,1.7,1.4,.500,.621,10.4,1.5,1.1,2
Ohio State Buckeyes,.511,.324,.689,9.885714285714286,24.02857142857143,12.028571428571428,7.714285714285714,4.485714285714286,11.257142857142858,16.485714285714284,.485,.732,15.2,0.8,1.7,.520,.755,11.0,1.5,1.0,.522,.741,9.8,4.7,2.6,1
Oklahoma Sooners,.487,.379,.749,12.06060606060606,25.575757575757574,14.636363636363637,6.787878787878788,3.272727272727273,11.393939393939394,18.939393939393938,.512,.750,16.5,1.9,1.8,.469,.798,15.6,1.1,1.3,.460,.804,11.0,2.1,1.6,1
Oklahoma State Cowboys,.513,.364,.719,9.764705882352942,25.61764705882353,13.617647058823529,7.647058823529412,4.705882352941177,10.470588235294118,20.0,.514,.728,18.0,4.8,2.6,.525,.768,17.2,2.9,1.6,.530,.739,13.9,1.6,1.9,1
Oregon Ducks,.510,.389,.772,10.470588235294118,23.61764705882353,14.470588235294118,7.735294117647059,3.323529411764706,11.441176470588236,21.323529411764707,.528,.881,18.9,1.9,1.1,.514,.767,13.2,1.6,1.8,.562,.873,12.7,1.7,1.5,2
Pitt Panthers,.501,.351,.712,12.0,23.86111111111111,15.63888888888889,7.055555555555555,2.9722222222222223,10.36111111111111,17.22222222222222,.484,.754,17.1,4.3,2.6,.590,.667,13.0,0.5,1.5,.490,.670,10.5,2.6,1.4,2
Providence Friars,.465,.347,.782,12.342857142857143,24.17142857142857,13.6,5.542857142857143,4.942857142857143,11.6,17.228571428571428,.451,.853,21.8,5.9,2.4,.494,.746,14.0,1.7,1.6,.438,.743,12.3,1.2,1.7,1
Saint Louis Billikens,.504,.316,.697,10.147058823529411,26.058823529411764,14.176470588235293,7.4411764705882355,4.0588235294117645,12.676470588235293,17.558823529411764,.506,.749,14.0,1.2,2.4,.526,.600,13.9,4.8,2.9,.580,.753,10.3,2.0,1.5,2
San Diego State Aztecs,.461,.358,.663,13.055555555555555,24.833333333333332,9.88888888888889,7.611111111111111,5.083333333333333,9.86111111111111,16.666666666666668,.432,.834,17.6,3.2,1.4,.444,.634,11.7,2.1,2.3,.533,.750,8.5,0.4,0.9,2
Stanford Cardinal,.499,.364,.702,9.63888888888889,25.27777777777778,11.527777777777779,5.305555555555555,4.277777777777778,11.36111111111111,18.194444444444443,.526,.767,18.8,2.1,2.4,.485,.687,14.0,3.1,2.9,.489,.785,12.3,2.1,1.9,3
Stephen F. Austin Lumberjacks,.529,.345,.711,12.885714285714286,21.0,16.4,7.3428571428571425,2.9714285714285715,11.228571428571428,20.857142857142858,.465,.667,14.5,2.9,1.7,.551,.799,14.2,2.0,1.2,.599,.733,13.1,2.1,1.6,2
Syracuse Orange,.477,.331,.708,13.117647058823529,22.176470588235293,11.823529411764707,7.970588235294118,5.029411764705882,9.0,16.058823529411764,.461,.725,16.5,1.3,2.5,.429,.765,12.9,5.5,1.7,.478,.841,12.1,1.1,0.8,2
Tennessee Volunteers,.510,.325,.719,13.54054054054054,24.945945945945947,12.756756756756756,5.1891891891891895,4.648648648648648,10.486486486486486,16.675675675675677,.502,.788,18.7,2.5,2.1,.531,.696,15.1,2.0,2.1,.544,.793,10.3,1.5,1.0,3
Texas Longhorns,.469,.327,.671,15.085714285714285,26.314285714285713,12.914285714285715,5.685714285714286,5.885714285714286,12.17142857142857,19.114285714285714,.579,.744,12.8,0.9,1.6,.398,.748,12.7,4.0,2.4,.371,.760,11.6,2.8,1.4,2
Texas Southern Tigers,.512,.360,.718,11.352941176470589,25.294117647058822,14.0,4.5588235294117645,3.6470588235294117,13.352941176470589,16.5,.526,.741,21.6,1.2,2.6,.429,.741,12.6,1.4,1.3,.518,.639,11.4,1.6,2.0,0.5
Tulsa Golden Hurricane,.492,.327,.676,10.823529411764707,25.38235294117647,12.558823529411764,6.823529411764706,3.735294117647059,11.588235294117647,21.323529411764707,.480,.781,15.5,1.8,1.4,.552,.560,12.0,1.1,1.4,.473,.681,9.6,3.2,2.3,1
UCLA Bruins,.530,.380,.749,9.945945945945946,25.405405405405407,17.18918918918919,9.216216216216216,3.0,10.243243243243244,17.62162162162162,.551,.836,17.4,2.3,1.5,.480,.737,14.6,6.5,3.1,.607,.780,11.4,1.7,1.0,3
UConn Huskies,.481,.387,.777,9.675,25.05,12.2,7.025,5.75,11.425,17.975,.448,.870,18.0,4.9,2.9,.491,.787,13.1,0.4,1.5,.398,.798,12.1,3.4,1.9,7
VCU Rams,.456,.349,.674,13.685714285714285,23.942857142857143,13.114285714285714,11.17142857142857,4.285714285714286,12.085714285714285,19.6,.506,.694,15.8,2.0,1.8,.514,.548,11.8,0.7,1.7,.413,.732,10.4,1.2,1.4,1
Villanova Wildcats,.538,.356,.716,11.147058823529411,26.0,15.382352941176471,6.9411764705882355,4.147058823529412,11.941176470588236,19.764705882352942,.514,.815,14.4,1.6,1.7,.565,.718,14.3,2.6,2.2,.551,.744,14.1,1.4,1.7,2
Virginia Cavaliers,.490,.369,.673,10.243243243243244,25.216216216216218,13.08108108108108,5.216216216216216,4.054054054054054,9.783783783783784,16.054054054054053,.434,.875,12.7,2.7,1.4,.487,.640,12.0,2.3,1.3,.587,.627,8.6,0.4,1.1,3
Weber State Wildcats,.523,.392,.741,8.548387096774194,25.806451612903224,13.129032258064516,4.225806451612903,3.967741935483871,12.32258064516129,18.0,.526,.823,19.2,3.9,2.8,.594,.702,11.5,0.7,1.5,.511,.765,10.9,2.2,1.5,1
Western Michigan Broncos,.535,.329,.724,9.787878787878787,24.848484848484848,11.393939393939394,5.878787878787879,3.3636363636363638,14.06060606060606,18.242424242424242,.530,.771,19.1,1.8,2.8,.562,.770,16.1,1.1,1.9,.606,.653,11.8,2.9,3.3,1
Wichita State Shockers,.526,.351,.725,11.63888888888889,26.72222222222222,13.63888888888889,6.861111111111111,5.111111111111111,10.38888888888889,16.97222222222222,.579,.844,16.4,0.8,1.9,.553,.842,13.1,3.1,1.7,.516,.830,11.6,5.4,1.3,2
Wisconsin Badgers,.513,.376,.746,8.868421052631579,24.44736842105263,12.31578947368421,4.815789473684211,3.3421052631578947,8.078947368421053,15.105263157894736,.582,.765,13.9,1.3,1.0,.465,.899,12.8,1.3,0.7,.550,.686,12.4,1.4,1.1,5
Wofford Terriers,.486,.360,.664,10.666666666666666,22.363636363636363,12.818181818181818,6.212121212121212,1.6363636363636365,10.636363636363637,17.515151515151516,.441,.675,15.7,3.0,1.9,.491,.772,12.5,1.3,1.4,.494,.672,11.1,2.0,2.0,1
Xavier Musketeers,.515,.348,.688,11.147058823529411,24.529411764705884,14.617647058823529,5.764705882352941,2.8529411764705883,12.382352941176471,19.823529411764707,.491,.668,17.0,4.2,2.6,.524,.769,11.7,1.0,1.9,.558,.690,10.6,2.2,1.8,0.5
