Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Albany (NY) Great Danes,.470,.360,.750,10.088235294117647,24.470588235294116,11.058823529411764,5.411764705882353,2.9705882352941178,12.588235294117647,17.058823529411764,.409,.852,15.5,2.6,2.0,.442,.767,11.8,2.7,1.9,.515,.693,11.1,1.8,2.9,1
American Eagles,.551,.379,.707,7.03030303030303,22.848484848484848,14.909090909090908,6.0,3.3333333333333335,14.06060606060606,17.181818181818183,.539,.753,13.8,1.7,1.8,.586,.726,12.2,3.0,3.0,.457,.781,11.4,2.1,1.7,1
Arizona State Sun Devils,.488,.390,.694,8.515151515151516,27.0,14.272727272727273,5.0606060606060606,5.515151515151516,11.424242424242424,19.242424242424242,.443,.719,18.6,4.6,3.5,.510,.717,15.1,1.4,1.5,.545,.693,11.5,0.5,1.5,1
Arizona Wildcats,.507,.364,.659,12.236842105263158,25.894736842105264,15.105263157894736,5.868421052631579,4.552631578947368,10.18421052631579,16.57894736842105,.469,.781,16.3,2.8,1.7,.513,.422,12.4,2.0,1.4,.550,.757,11.5,1.0,1.7,4
Baylor Bears,.491,.386,.680,13.81578947368421,24.5,14.81578947368421,5.184210526315789,5.315789473684211,11.578947368421053,17.05263157894737,.515,.640,13.7,1.0,1.3,.366,.803,11.7,0.9,0.4,.477,.879,11.5,4.7,2.1,3
BYU Cougars,.495,.355,.692,13.228571428571428,27.685714285714287,15.542857142857143,7.171428571428572,2.942857142857143,11.285714285714286,19.714285714285715,.476,.881,23.2,1.5,1.9,.506,.576,14.0,4.6,2.6,.418,.689,13.7,4.3,2.0,1
Cal Poly Mustangs,.448,.333,.688,11.088235294117647,21.147058823529413,11.588235294117647,5.823529411764706,2.735294117647059,8.911764705882353,18.264705882352942,.458,.709,13.5,1.6,1.4,.526,.686,11.7,1.2,1.3,.365,.700,9.1,1.4,0.6,1
Cincinnati Bearcats,.466,.335,.708,13.441176470588236,22.558823529411764,12.5,7.882352941176471,5.529411764705882,11.088235294117647,17.529411764705884,.506,.845,20.6,2.5,2.1,.532,.460,11.1,1.7,2.0,.411,.769,7.3,2.0,1.5,1
Coastal Carolina Chanticleers,.484,.338,.691,12.764705882352942,26.529411764705884,10.647058823529411,6.352941176470588,2.823529411764706,13.911764705882353,19.647058823529413,.502,.699,15.8,0.9,1.4,.488,.849,14.7,3.1,2.8,.395,.755,13.8,2.5,2.7,1
Colorado Buffaloes,.486,.318,.718,11.457142857142857,25.82857142857143,11.342857142857143,5.914285714285715,3.2857142857142856,13.314285714285715,16.457142857142856,.515,.857,14.7,3.8,1.8,.515,.810,14.1,0.6,1.5,.443,.818,13.7,3.3,2.5,1
