Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Arizona State Sun Devils,.506,.341,.671,12.15625,27.9375,13.59375,6.21875,3.21875,13.5625,19.84375,.463,.687,16.1,2.3,2.9,.467,.732,13.4,5.1,1.9,.550,.600,11.8,3.3,3.1,9
Auburn Tigers,.517,.376,.713,11.971428571428572,22.65714285714286,14.314285714285715,9.428571428571429,4.8,12.114285714285714,18.17142857142857,.495,.813,15.8,1.8,1.7,.416,.823,15.2,5.7,2.3,.577,.713,11.7,1.9,1.7,9
Baylor Bears,.509,.340,.674,13.375,24.8125,13.84375,6.125,4.75,13.25,18.71875,.755,.667,14.6,1.6,1.6,.428,.827,14.6,3.3,2.6,.521,.646,10.7,1.2,1.7,9
Belmont Bruins,.599,.374,.738,8.870967741935484,30.0,19.870967741935484,6.838709677419355,3.774193548387097,11.612903225806452,15.516129032258064,.670,.846,21.4,2.6,2.1,.544,.693,16.3,4.1,2.2,.619,.779,14.9,2.7,1.6,9
Bradley Braves,.470,.366,.693,9.147058823529411,25.235294117647058,12.058823529411764,5.382352941176471,3.764705882352941,12.647058823529411,17.5,.359,.741,14.7,3.1,2.4,.503,.675,12.2,1.0,1.9,.475,.654,9.4,1.9,1.0,9
Buffalo Bulls,.560,.336,.691,12.588235294117647,28.441176470588236,16.852941176470587,7.323529411764706,4.0588235294117645,11.823529411764707,18.147058823529413,.545,.791,18.3,3.0,1.4,.498,.679,14.4,0.7,1.7,.570,.708,14.0,2.9,1.5,9
Cincinnati Bearcats,.473,.350,.704,12.676470588235293,23.558823529411764,13.441176470588236,6.176470588235294,4.5,10.529411764705882,16.029411764705884,.413,.775,18.8,3.6,2.8,.512,.707,10.1,1.1,1.4,.498,.660,9.3,1.5,1.1,9
Colgate Raiders,.542,.388,.741,9.382352941176471,26.176470588235293,15.617647058823529,6.176470588235294,3.5294117647058822,13.029411764705882,15.647058823529411,.552,.777,16.4,1.6,2.5,.483,.821,15.8,5.8,3.0,.424,.681,13.1,1.5,1.6,9
Duke Blue Devils,.583,.302,.690,13.382352941176471,28.41176470588235,15.911764705882353,9.470588235294118,6.823529411764706,13.117647058823529,15.852941176470589,.536,.662,22.9,4.1,3.2,.760,.654,22.1,2.1,2.3,.397,.759,13.7,1.9,2.8,9
Fairleigh Dickinson Knights,.517,.403,.731,9.181818181818182,23.696969696969695,14.121212121212121,7.666666666666667,3.6363636363636362,13.424242424242424,16.78787878787879,.477,.885,16.4,2.4,2.0,.474,.874,13.5,4.5,2.1,.529,.658,12.5,1.5,1.9,9
Florida Gators,.497,.335,.718,10.617647058823529,22.941176470588236,12.235294117647058,7.176470588235294,3.7058823529411766,11.764705882352942,17.08823529411765,.458,.892,12.0,2.1,2.0,.373,.763,9.6,0.6,0.4,.441,.714,9.0,0.9,1.0,9
Florida State Seminoles,.510,.336,.741,11.441176470588236,25.941176470588236,12.882352941176471,6.970588235294118,4.264705882352941,13.5,19.147058823529413,.528,.766,12.9,0.3,1.3,.534,.785,11.2,2.5,1.9,.455,.774,9.1,3.8,2.0,9
Gardner-Webb Runnin' Bulldogs,.544,.391,.711,7.882352941176471,26.5,14.470588235294118,6.852941176470588,2.911764705882353,11.5,16.029411764705884,.540,.742,18.3,2.9,2.4,.482,.706,15.1,3.0,2.0,.580,.655,13.7,0.5,1.5,9
Georgia State Panthers,.523,.388,.663,8.090909090909092,24.727272727272727,12.424242424242424,7.96969696969697,4.757575757575758,11.636363636363637,17.333333333333332,.495,.665,18.4,3.7,3.7,.500,.640,12.2,1.5,0.9,.590,.661,12.0,0.9,0.7,9
Gonzaga Bulldogs,.623,.365,.767,9.545454545454545,29.09090909090909,18.0,7.545454545454546,5.393939393939394,10.363636363636363,16.060606060606062,.621,.741,20.1,1.6,1.8,.712,.691,16.5,1.8,1.4,.563,.856,15.3,3.0,1.3,9
Houston Cougars,.508,.359,.702,12.411764705882353,28.5,14.794117647058824,6.4411764705882355,4.5,11.352941176470589,19.058823529411764,.497,.866,16.7,2.7,1.5,.440,.630,13.6,0.9,0.9,.470,.685,8.9,3.4,2.2,9
Iona Gaels,.533,.351,.741,8.8125,26.375,13.125,6.78125,2.78125,12.3125,17.25,.568,.818,17.9,1.8,1.8,.546,.756,15.5,5.0,2.8,.500,.724,13.3,1.2,2.4,9
Iowa Hawkeyes,.515,.361,.740,10.393939393939394,25.333333333333332,15.727272727272727,6.181818181818182,3.272727272727273,12.151515151515152,16.03030303030303,.538,.649,14.9,2.4,2.8,.604,.806,12.9,0.9,1.3,.346,.880,11.3,3.4,1.7,9
Iowa State Cyclones,.550,.365,.732,9.441176470588236,25.823529411764707,15.235294117647058,7.0,4.647058823529412,10.794117647058824,14.764705882352942,.563,.883,18.6,2.0,2.7,.439,.724,13.4,2.2,1.9,.477,.625,12.1,2.4,1.7,9
