Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
UConn Huskies,.500,.365,.793,9.305555555555555,26.805555555555557,13.583333333333334,5.833333333333333,5.055555555555555,10.694444444444445,18.25,.479,.657,12.8,2.1,1.5,.416,.860,12.5,4.7,2.4,.387,.855,12.3,2.3,1.6,2
UNC Asheville Bulldogs,.513,.323,.694,11.647058823529411,25.941176470588236,12.411764705882353,9.176470588235293,3.2941176470588234,13.058823529411764,17.264705882352942,.405,.822,13.5,1.9,2.6,.521,.632,12.0,1.3,1.7,.591,.795,11.5,2.7,1.7,1
UNC Wilmington Seahawks,.512,.340,.703,12.030303030303031,25.454545454545453,13.272727272727273,7.454545454545454,4.333333333333333,11.333333333333334,24.03030303030303,.628,.811,16.2,1.6,1.3,.348,.816,12.7,3.3,1.8,.489,.689,11.4,2.3,1.5,1
USC Trojans,.494,.387,.676,11.794117647058824,27.529411764705884,14.823529411764707,6.323529411764706,5.323529411764706,12.205882352941176,17.352941176470587,.500,.738,13.4,4.7,2.4,.523,.653,12.1,0.4,1.4,.500,.704,11.6,5.4,2.7,1
Utah Utes,.561,.366,.721,9.63888888888889,27.444444444444443,15.472222222222221,5.527777777777778,4.138888888888889,12.527777777777779,15.25,.646,.689,17.2,1.9,2.1,.365,.792,11.6,1.7,1.2,.578,.617,10.8,1.4,2.0,2
Vanderbilt Commodores,.501,.382,.695,9.484848484848484,29.09090909090909,14.757575757575758,4.212121212121212,5.515151515151516,11.696969696969697,19.151515151515152,.437,.799,14.1,5.2,2.8,.595,.536,13.9,1.2,2.0,.390,.750,9.7,1.1,0.8,0.5
VCU Rams,.501,.352,.692,12.083333333333334,25.333333333333332,14.305555555555555,8.583333333333334,3.75,11.25,19.61111111111111,.459,.814,17.4,2.2,1.5,.495,.857,11.3,5.1,2.6,.426,.656,11.2,1.2,1.3,2
Villanova Wildcats,.574,.362,.782,8.775,25.85,15.925,7.05,3.4,11.0,17.025,.595,.752,15.5,1.9,1.7,.603,.845,13.6,2.2,1.3,.500,.836,12.5,4.2,1.5,7
Virginia Cavaliers,.526,.402,.752,8.72972972972973,23.405405405405407,14.891891891891891,5.378378378378378,3.2162162162162162,9.324324324324325,16.10810810810811,.498,.897,18.2,3.1,1.4,.577,.746,13.8,0.8,1.1,.375,.803,11.0,4.4,1.8,4
Weber State Wildcats,.561,.371,.676,8.571428571428571,28.457142857142856,13.628571428571428,5.0,3.4,13.2,17.457142857142856,.557,.617,17.9,2.8,2.2,.613,.697,17.1,1.1,2.4,.648,.760,8.2,0.8,1.1,1
West Virginia Mountaineers,.503,.325,.673,15.942857142857143,23.485714285714284,14.571428571428571,9.8,2.657142857142857,14.228571428571428,23.4,.527,.785,13.7,1.2,1.5,.467,.693,13.3,1.4,2.3,.459,.744,9.5,3.3,1.7,1
Wichita State Shockers,.493,.324,.717,11.628571428571428,25.65714285714286,13.971428571428572,7.285714285714286,3.5714285714285716,9.885714285714286,20.142857142857142,.495,.793,14.0,3.2,1.5,.396,.817,12.2,5.5,1.7,.667,.750,8.7,1.7,0.7,2
Wisconsin Badgers,.466,.349,.703,11.371428571428572,23.714285714285715,11.428571428571429,5.857142857142857,3.257142857142857,11.028571428571428,16.8,.400,.736,15.7,3.0,2.3,.395,.763,13.1,2.4,1.5,.538,.643,12.4,1.3,2.2,3
Xavier Musketeers,.498,.363,.730,12.823529411764707,27.970588235294116,16.11764705882353,7.235294117647059,2.9705882352941178,12.617647058823529,19.941176470588236,.449,.770,15.1,2.2,1.6,.443,.727,11.0,3.6,2.1,.426,.854,10.8,4.1,1.9,2
Yale Bulldogs,.517,.363,.670,13.566666666666666,26.7,15.066666666666666,5.666666666666667,4.566666666666666,13.266666666666667,17.666666666666668,.475,.806,16.0,3.8,3.0,.537,.669,15.7,2.8,2.5,.571,.585,12.7,1.2,1.3,2
