Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Arizona Wildcats,.522,.381,.721,11.588235294117647,28.647058823529413,14.264705882352942,4.823529411764706,4.735294117647059,13.0,18.264705882352942,.551,.745,15.3,0.8,1.9,.425,.756,15.0,2.2,2.1,.539,.793,14.8,1.1,1.9,1
Austin Peay Governors,.514,.346,.670,11.722222222222221,25.11111111111111,13.305555555555555,6.944444444444445,2.8055555555555554,13.944444444444445,17.583333333333332,.599,.621,18.8,1.5,2.7,.452,.834,16.9,2.6,2.7,.516,.673,11.2,2.7,2.6,1
Baylor Bears,.505,.367,.725,13.735294117647058,23.529411764705884,17.735294117647058,7.911764705882353,3.9705882352941178,12.705882352941176,19.41176470588235,.469,.774,15.9,2.3,2.7,.451,.853,11.3,1.7,1.3,.510,.630,11.2,0.5,1.2,1
Buffalo Bulls,.494,.339,.710,12.142857142857142,26.8,12.6,6.857142857142857,3.5428571428571427,13.571428571428571,21.37142857142857,.468,.767,13.7,4.2,2.3,.510,.739,13.1,2.5,2.9,.563,.733,11.8,1.1,1.4,1
Butler Bulldogs,.499,.393,.731,11.090909090909092,24.90909090909091,14.181818181818182,6.878787878787879,3.242424242424242,10.151515151515152,19.575757575757574,.449,.841,16.2,1.5,1.5,.477,.761,15.7,1.1,1.6,.466,.676,13.8,4.7,2.3,2
California Golden Bears,.511,.363,.656,11.352941176470589,28.323529411764707,12.647058823529411,4.088235294117647,4.676470588235294,12.323529411764707,20.764705882352942,.486,.649,15.3,4.4,2.6,.482,.654,14.6,2.0,3.1,.432,.798,13.5,1.2,1.3,1
Chattanooga Mocs,.515,.359,.735,10.885714285714286,24.571428571428573,14.4,7.771428571428571,4.714285714285714,12.485714285714286,17.02857142857143,.528,.727,12.6,3.9,3.1,.527,.786,12.1,2.5,2.1,.545,.691,11.1,1.0,1.2,1
Cincinnati Bearcats,.477,.348,.705,13.363636363636363,25.757575757575758,15.393939393939394,7.787878787878788,5.818181818181818,11.0,15.545454545454545,.416,.788,13.0,4.8,1.8,.421,.840,10.7,1.5,0.9,.518,.687,10.4,2.1,1.3,1
Colorado Buffaloes,.444,.389,.735,13.117647058823529,29.058823529411764,13.558823529411764,5.205882352941177,4.911764705882353,13.352941176470589,18.764705882352942,.536,.749,16.3,1.8,1.3,.438,.748,13.6,0.7,1.9,.420,.701,10.3,2.2,2.2,1
Dayton Flyers,.516,.344,.668,9.909090909090908,28.424242424242426,14.545454545454545,5.9393939393939394,4.393939393939394,12.93939393939394,18.96969696969697,.479,.689,15.6,1.8,1.8,.500,.846,12.6,2.3,1.7,.484,.667,11.7,4.3,1.9,1
Duke Blue Devils,.510,.385,.723,11.833333333333334,24.166666666666668,13.277777777777779,6.277777777777778,4.277777777777778,9.833333333333334,16.75,.502,.837,21.6,3.5,2.0,.464,.682,17.3,2.0,2.0,.528,.889,11.8,1.5,0.8,3
Fairleigh Dickinson Knights,.504,.362,.697,10.515151515151516,23.060606060606062,14.303030303030303,7.575757575757576,2.6363636363636362,12.818181818181818,21.818181818181817,.444,.796,15.2,3.7,3.2,.590,.722,14.7,1.4,1.4,.552,.693,11.5,2.7,1.8,0.5
Florida Gulf Coast Eagles,.521,.353,.644,11.914285714285715,28.714285714285715,13.8,6.571428571428571,4.0285714285714285,12.514285714285714,19.257142857142856,.548,.672,17.1,1.3,1.8,.496,.717,12.7,2.3,1.3,.502,.650,11.1,3.3,2.3,1
Fresno State Bulldogs,.475,.343,.694,11.685714285714285,25.257142857142856,13.314285714285715,8.428571428571429,3.942857142857143,10.8,21.82857142857143,.451,.752,20.7,4.5,2.2,.520,.661,10.5,0.7,1.9,.558,.585,10.1,0.4,1.0,1
Gonzaga Bulldogs,.544,.381,.758,10.61111111111111,29.0,13.916666666666666,5.111111111111111,3.0833333333333335,11.61111111111111,17.305555555555557,.526,.857,20.4,1.5,2.1,.621,.769,17.6,1.8,2.6,.553,.781,10.7,2.0,1.7,3
Green Bay Phoenix,.490,.349,.657,12.722222222222221,25.75,13.916666666666666,9.944444444444445,4.611111111111111,12.25,20.11111111111111,.496,.596,17.3,3.6,1.7,.500,.690,13.6,1.5,2.1,.468,.732,12.7,3.3,2.2,1
Hampton Pirates,.469,.304,.659,13.96875,27.34375,11.90625,5.28125,3.65625,13.75,20.28125,.413,.722,18.1,4.0,2.8,.628,.483,17.0,2.0,2.7,.371,.844,13.0,1.8,1.7,1
Hawaii Rainbow Warriors,.543,.322,.684,10.588235294117647,26.764705882352942,15.441176470588236,7.5588235294117645,3.6470588235294117,13.029411764705882,20.441176470588236,.597,.772,15.6,1.2,1.8,.581,.680,14.1,2.4,1.5,.435,.801,13.2,5.5,2.8,2
Holy Cross Crusaders,.472,.326,.687,7.9714285714285715,22.085714285714285,13.714285714285714,6.257142857142857,2.4571428571428573,11.028571428571428,16.714285714285715,.524,.682,12.0,1.5,1.6,.492,.632,11.8,2.8,1.7,.513,.792,10.6,2.5,2.1,1
Indiana Hoosiers,.562,.415,.733,11.82857142857143,24.97142857142857,16.0,6.828571428571428,3.914285714285714,13.542857142857143,18.485714285714284,.488,.829,17.3,5.6,2.5,.500,.852,15.8,1.7,1.9,.564,.691,13.3,2.0,2.7,3
Iona Gaels,.525,.370,.711,10.545454545454545,26.363636363636363,16.696969696969695,7.515151515151516,4.090909090909091,12.787878787878787,19.454545454545453,.519,.836,22.6,6.2,3.6,.514,.594,14.2,0.4,2.1,.527,.806,13.0,1.8,1.6,1
Iowa Hawkeyes,.487,.374,.717,11.878787878787879,26.21212121212121,15.848484848484848,6.757575757575758,4.7272727272727275,10.272727272727273,16.303030303030305,.484,.813,18.9,1.1,1.2,.460,.852,16.1,1.4,1.4,.503,.605,8.9,3.7,1.5,2
Iowa State Cyclones,.567,.387,.702,8.685714285714285,26.857142857142858,16.485714285714284,6.228571428571429,4.057142857142857,11.371428571428572,15.485714285714286,.605,.807,20.5,3.3,2.6,.536,.729,13.8,6.9,1.6,.553,.736,12.9,1.5,2.3,3
Kansas Jayhawks,.533,.418,.713,10.578947368421053,27.394736842105264,15.894736842105264,6.657894736842105,4.157894736842105,12.578947368421053,18.92105263157895,.547,.785,16.9,1.3,1.5,.548,.612,13.8,2.6,1.9,.459,.739,12.9,4.6,1.9,4
Kentucky Wildcats,.529,.366,.690,12.527777777777779,26.22222222222222,14.222222222222221,5.722222222222222,5.75,10.805555555555555,20.416666666666668,.502,.783,20.0,2.2,2.3,.486,.856,17.3,7.0,2.0,.640,.706,10.2,0.3,1.2,2
Little Rock Trojans,.490,.384,.729,9.0,25.142857142857142,12.885714285714286,6.571428571428571,3.0285714285714285,10.142857142857142,18.285714285714285,.502,.837,13.2,4.7,1.7,.481,.783,12.5,1.5,1.3,.578,.650,10.2,1.6,1.5,2
Maryland Terrapins,.562,.361,.768,8.86111111111111,26.916666666666668,13.555555555555555,5.833333333333333,5.388888888888889,12.722222222222221,16.805555555555557,.495,.868,14.8,4.9,2.7,.568,.761,12.5,0.4,1.5,.629,.748,12.3,1.9,2.2,3
Miami (FL) Hurricanes,.532,.375,.749,9.428571428571429,25.057142857142857,12.514285714285714,6.142857142857143,3.6285714285714286,10.942857142857143,16.6,.568,.838,16.3,1.6,1.3,.543,.800,12.6,4.5,2.5,.535,.816,11.1,1.2,1.3,3
Michigan State Spartans,.514,.434,.729,11.857142857142858,29.685714285714287,20.542857142857144,4.457142857142857,5.057142857142857,11.6,19.17142857142857,.481,.853,19.2,7.8,2.7,.482,.840,14.4,1.5,0.9,.570,.752,10.7,1.3,1.1,1
Michigan Wolverines,.527,.380,.738,8.055555555555555,23.944444444444443,14.916666666666666,5.638888888888889,2.25,9.666666666666666,15.5,.546,.794,16.5,4.9,1.7,.484,.658,11.8,3.1,1.9,.366,.813,11.6,4.5,2.0,1
Middle Tennessee Blue Raiders,.481,.390,.616,10.542857142857143,26.114285714285714,13.0,6.142857142857143,3.5142857142857142,11.971428571428572,20.0,.476,.763,14.4,1.2,1.1,.525,.494,13.7,2.2,1.8,.517,.685,12.0,2.0,1.9,2
UNC Tar Heels,.539,.327,.747,14.2,26.4,17.7,6.725,4.425,10.775,17.95,.617,.794,18.2,1.5,1.8,.507,.872,13.4,3.8,1.5,.460,.796,13.4,3.7,1.2,6
Northern Illinois Huskies,.469,.349,.684,12.235294117647058,26.91176470588235,13.882352941176471,7.352941176470588,3.4705882352941178,12.647058823529411,20.205882352941178,.487,.673,11.9,0.9,1.9,.373,.763,11.0,3.7,2.1,.468,.744,11.0,1.0,1.0,2
Northern Iowa Panthers,.516,.374,.757,5.416666666666667,24.88888888888889,11.916666666666666,5.666666666666667,2.611111111111111,9.916666666666666,15.555555555555555,.521,.720,14.2,5.3,2.6,.568,.813,11.5,0.9,0.7,.553,.805,11.3,2.3,1.4,1
Notre Dame Fighting Irish,.529,.374,.742,10.583333333333334,24.555555555555557,13.333333333333334,5.472222222222222,3.9722222222222223,9.972222222222221,15.11111111111111,.525,.813,15.8,4.7,2.2,.560,.628,14.0,1.1,2.4,.522,.574,12.0,0.8,0.9,4
Oklahoma Sooners,.482,.422,.722,11.0,27.324324324324323,14.513513513513514,6.675675675675675,5.081081081081081,13.08108108108108,17.027027027027028,.552,.880,25.0,2.0,3.1,.380,.805,13.0,3.4,1.6,.403,.670,12.6,4.5,2.4,5
Oregon Ducks,.531,.343,.715,11.631578947368421,24.736842105263158,13.605263157894736,7.2368421052631575,5.815789473684211,11.342105263157896,17.763157894736842,.523,.806,16.7,3.1,2.3,.497,.773,14.8,2.3,2.1,.473,.712,13.4,2.0,1.9,4
Oregon State Beavers,.472,.371,.671,10.53125,23.90625,13.5,7.375,3.3125,11.28125,20.0625,.520,.642,16.0,5.0,2.3,.479,.735,13.1,1.1,1.4,.429,.691,10.6,0.8,0.8,1
Pitt Panthers,.507,.346,.752,12.636363636363637,25.454545454545453,16.575757575757574,4.909090909090909,3.6666666666666665,11.636363636363637,17.606060606060606,.544,.777,15.7,2.3,2.5,.537,.780,14.4,3.0,2.4,.404,.758,10.2,5.0,1.3,1
Providence Friars,.480,.321,.725,11.485714285714286,24.6,15.714285714285714,6.542857142857143,3.5142857142857142,11.342857142857143,16.885714285714286,.517,.782,21.1,1.1,1.9,.477,.695,16.4,6.2,3.5,.491,.717,11.4,1.0,1.8,2
Purdue Boilermakers,.528,.367,.744,11.428571428571429,29.8,17.571428571428573,4.2,4.714285714285714,11.971428571428572,17.34285714285714,.594,.709,15.0,1.1,2.0,.474,.820,11.3,2.9,1.7,.519,.713,10.2,1.8,2.6,1
Seton Hall Pirates,.488,.347,.658,12.882352941176471,26.970588235294116,13.382352941176471,7.382352941176471,4.5588235294117645,13.794117647058824,18.705882352941178,.390,.760,18.2,5.1,3.5,.480,.752,14.1,2.5,2.0,.548,.690,12.4,1.4,1.7,1
Southern Jaguars,.486,.346,.670,10.428571428571429,25.514285714285716,10.885714285714286,7.371428571428571,3.5142857142857142,11.17142857142857,19.428571428571427,.442,.790,16.6,1.3,1.7,.370,.636,12.4,2.2,2.4,.552,.902,9.7,0.5,0.9,0.5
Stephen F. Austin Lumberjacks,.545,.363,.735,11.911764705882353,23.029411764705884,18.676470588235293,9.117647058823529,3.588235294117647,12.088235294117647,20.58823529411765,.627,.818,18.1,4.5,1.7,.525,.710,13.8,1.5,0.9,.593,.800,13.3,1.4,1.6,2
Stony Brook Seawolves,.511,.368,.673,12.878787878787879,26.87878787878788,16.393939393939394,6.181818181818182,4.545454545454546,11.484848484848484,15.848484848484848,.630,.624,19.8,1.6,1.3,.382,.778,14.9,3.1,2.5,.503,.455,10.6,1.2,1.3,1
Syracuse Orange,.473,.360,.688,12.027027027027026,23.62162162162162,13.324324324324325,8.108108108108109,4.378378378378378,11.891891891891891,16.16216216216216,.525,.663,17.5,4.3,2.8,.388,.720,13.4,2.1,2.1,.339,.806,12.9,2.2,1.5,5
Temple Owls,.449,.337,.684,11.242424242424242,25.87878787878788,13.484848484848484,5.242424242424242,3.121212121212121,9.242424242424242,16.21212121212121,.426,.780,15.9,2.6,2.2,.461,.688,11.0,0.6,0.9,.500,.388,10.3,1.4,1.4,1
Texas A&M Aggies,.513,.341,.672,12.432432432432432,27.054054054054053,16.54054054054054,7.027027027027027,3.5945945945945947,11.72972972972973,18.054054054054053,.491,.715,15.6,2.1,1.8,.459,.702,15.3,0.6,1.6,.655,.625,11.3,0.7,1.6,3
Texas Longhorns,.484,.341,.666,11.0,23.515151515151516,11.424242424242424,5.0606060606060606,4.363636363636363,10.333333333333334,20.848484848484848,.440,.811,15.0,5.0,1.8,.629,.407,11.1,0.5,2.2,.488,.844,10.7,2.2,1.1,1
Texas Tech Red Raiders,.492,.346,.742,10.1875,23.75,13.0625,5.9375,4.1875,12.03125,18.40625,.471,.848,10.9,2.2,0.8,.441,.784,10.8,1.6,1.7,.524,.874,10.3,0.8,1.1,1
Tulsa Golden Hurricane,.511,.326,.677,10.09375,25.0,13.59375,6.75,2.75,10.8125,17.59375,.507,.786,15.4,2.4,1.8,.509,.632,15.1,4.1,2.1,.389,.739,12.0,0.8,1.0,0.5
